Date,Open,High,Low,Close,Volume
2008-06-17,8.15,8.15,8.15,8.15,0
2008-06-18,8.15,8.15,8.15,8.15,0
2008-06-19,8.15,8.15,8.15,8.15,0
2008-06-20,8.15,8.15,8.15,8.15,0
2008-06-23,8.15,8.15,8.15,8.15,0
2008-06-24,8.15,8.15,8.15,8.15,0
2008-06-25,8.15,8.15,8.15,8.15,0
2008-06-26,8.15,8.15,8.15,8.15,0
2008-06-27,8.15,8.15,8.15,8.15,0
2008-06-30,8.15,8.15,8.15,8.15,0
2008-07-01,8.15,8.15,8.15,8.15,0
2008-07-02,8.15,8.15,8.15,8.15,0
2008-07-03,8.15,8.15,8.15,8.15,0
2008-07-07,8.15,8.15,8.15,8.15,0
2008-07-08,8.15,8.15,8.15,8.15,0
2008-07-09,8.15,8.15,8.15,8.15,0
2008-07-10,8.15,8.15,8.15,8.15,0
2008-07-11,8.15,8.15,8.15,8.15,0
2008-07-14,8.15,8.15,8.15,8.15,0
2008-07-15,8.15,8.15,8.15,8.15,0
2008-07-16,8.15,8.15,8.15,8.15,0
2008-07-17,8.15,8.15,8.15,8.15,0
2008-07-18,8.15,8.15,8.15,8.15,0
2008-07-21,8.15,8.15,8.15,8.15,0
2008-07-22,8.15,8.15,8.15,8.15,0
2008-07-23,8.15,8.15,8.15,8.15,0
2008-07-24,8.15,8.15,8.15,8.15,0
2008-07-25,5.35,5.35,5.35,5.35,400
2008-07-28,5.35,5.35,5.35,5.35,0
2008-07-29,5.35,5.35,5.35,5.35,0
2008-07-30,5.35,5.35,5.35,5.35,0
2008-07-31,5.35,5.35,5.35,5.35,0
2008-08-01,5.35,5.35,5.35,5.35,0
2008-08-04,5.35,5.35,5.35,5.35,0
2008-08-05,5.35,5.35,5.35,5.35,0
2008-08-06,5.35,5.35,5.35,5.35,0
2008-08-07,5.35,5.35,5.35,5.35,0
2008-08-08,5.35,5.35,5.35,5.35,0
2008-08-11,5.35,5.35,5.35,5.35,0
2008-08-12,5.35,5.35,5.35,5.35,0
2008-08-13,5.35,5.35,5.35,5.35,0
2008-08-14,5.35,5.35,5.35,5.35,0
2008-08-15,5.35,5.35,5.35,5.35,0
2008-08-18,5.35,5.35,5.35,5.35,0
2008-08-19,5.35,5.35,5.35,5.35,0
2008-08-20,5.35,5.35,5.35,5.35,0
2008-08-21,5.35,5.35,5.35,5.35,0
2008-08-22,5.35,5.35,5.35,5.35,0
2008-08-25,5.35,5.35,5.35,5.35,0
2008-08-26,5.35,5.35,5.35,5.35,0
2008-08-27,5.35,5.35,5.35,5.35,0
2008-08-28,5.35,5.35,5.35,5.35,0
2008-08-29,6.7,6.7,6.7,6.7,200
2008-09-02,6.7,6.7,6.7,6.7,0
2008-09-03,6.7,6.7,6.7,6.7,0
2008-09-04,6.7,6.7,6.7,6.7,0
2008-09-05,6.7,6.7,6.7,6.7,0
2008-09-08,6.7,6.7,6.7,6.7,0
2008-09-09,6.7,6.7,6.7,6.7,0
2008-09-10,6.7,6.7,6.7,6.7,0
2008-09-11,6.7,6.7,6.7,6.7,0
2008-09-12,6.84,6.84,6.84,6.84,1000
2008-09-15,6.84,6.84,6.84,6.84,0
2008-09-16,6.84,6.84,6.84,6.84,0
2008-09-17,6.84,6.84,6.84,6.84,0
