Date,Open,High,Low,Close,Volume
2026-01-02,83.71,84.67,83.28,84.65,1407200
2026-01-05,84.6,87.505,84.6,86.74,3230700
2026-01-06,86.79,88.525,86.05,88.47,3881200
2026-01-07,88.1,88.29,87.14,87.43,2215900
2026-01-08,87.14,88.49,86.63,87.73,2340500
2026-01-09,88.21,88.77,86.56,86.89,2570200
2026-01-12,79.26,81.49,78.684,79.63,9407900
2026-01-13,79.5,80.01,77.955,78.06,6406000
2026-01-14,77.41,78.33,74.95,77.82,6002700
2026-01-15,78.34,79.02,77.445,77.7,2781700
2026-01-16,79.2,81.84,79.2,80.19,5909900
2026-01-20,77.73,78.78,75.68,76.08,5632600
2026-01-21,75.94,77.82,75.37,77.13,3280300
2026-01-22,77.86,79.52,77.43,78.1,4384000
2026-01-23,77.05,77.27,75.72,76.61,6294100
2026-01-26,77.03,77.575,76.095,77.51,8463300
2026-01-27,76.39,77.04,72.11,73,10048800
2026-01-28,74,74.95,73.25,73.42,7180200
2026-01-29,73.9,74.15,72.94,73.37,5886600
2026-01-30,72.92,73.62,71.858,72.63,7036400
2026-02-02,72.225,73.93,72.225,73.52,3805700
2026-02-03,73.48,74.73,72.94,73.9,4976300
2026-02-04,73.96,75.805,73.85,75.22,5122300
2026-02-05,74.62,75.07,72.43,73.99,4616700
2026-02-06,74.83,75.828,74.73,75.16,2945600
2026-02-09,74.71,75.43,73.865,73.95,7628300
2026-02-10,74.53,75.04,73.095,73.9,6185100
2026-02-11,74.22,74.77,72,72.93,6799900
2026-02-12,73.58,74.53,69.965,71.11,6939000
2026-02-13,71.36,72.12,70.31,71.38,4331000
2026-02-17,70.6,73.39,70.54,72.31,5470900
2026-02-18,72.77,73,71.97,72.85,3458400
2026-02-19,72.64,72.84,71.4,72.26,4099600
2026-02-20,71.88,73.42,71.29,73.37,3677800
2026-02-23,72.36,73.255,68.2,68.88,6762900
2026-02-24,68.64,71.18,68.36,70.77,5307300
2026-02-25,71.72,73.235,71.38,72.81,4462600
2026-02-26,73.54,74.81,73.12,73.98,4676200
2026-02-27,71.32,71.88,68.435,69.11,6615200
2026-03-02,67.73,69.28,67.02,68.64,3787300
2026-03-03,67.16,69.88,66.384,68.66,5883000
2026-03-04,69.15,69.99,68.69,69.27,2974200
