Date,Open,High,Low,Close,Volume
2022-01-03,78.28,78.99,78.09,78.95,1951100
2022-01-04,79.45,81.19,79.32,80.88,2537000
2022-01-05,81.15,81.59,79.93,80.2,2825600
2022-01-06,80,80.92,79.6,79.67,2006500
2022-01-07,79.68,80.94,79.65,80.46,3688100
2022-01-10,80.69,80.8,77.57,79.31,2610100
2022-01-11,79.51,79.8,77.83,78.43,2772300
2022-01-12,78.51,79.31,77.58,78.19,3320200
2022-01-13,78.66,80.98,78.58,80.42,2372900
2022-01-14,78.91,79.95,78.64,79.79,2334500
2022-01-18,79.39,80.15,78.38,78.92,2573100
2022-01-19,78.5,79,77.38,77.69,2005900
2022-01-20,77.5,79.37,77.41,78.03,3066400
2022-01-21,78.32,78.93,77.08,77.41,3234100
2022-01-24,75.87,77.54,73.97,77.17,3126500
2022-01-25,76.02,77.91,74.21,77.07,2585800
2022-01-26,77.61,79.28,76.13,77.06,2659000
2022-01-27,77.67,79.06,76.27,76.66,2228700
2022-01-28,76.51,77.76,75.35,77.63,2305000
2022-01-31,76.76,78.25,76.73,78.15,2215200
2022-02-01,79,79.88,78.52,79.46,2457100
2022-02-02,79,80.32,78.94,79.99,2297400
2022-02-03,79.65,80.13,79.02,79.23,1634800
2022-02-04,78.55,79.37,77.26,78.76,1805700
2022-02-07,79.39,80.63,79.18,79.92,2836400
2022-02-08,75.04,81.62,74.8,81.34,5428100
2022-02-09,81.75,84.39,81.2,81.39,4061200
2022-02-10,81.42,83.05,80.66,82.94,2852700
2022-02-11,83.02,84.27,82.07,82.57,2677500
2022-02-14,82.9,83.38,80.82,81.99,3162000
2022-02-15,83,84.52,82.86,84.35,2427400
2022-02-16,84.22,85.99,84.22,85.57,2594600
2022-02-17,84.77,85.26,83.94,84.26,2193800
2022-02-18,83.95,85.36,83.19,83.55,2034100
2022-02-22,83.82,84.8,82.77,84.24,2214100
2022-02-23,84.58,85.32,83.62,84.09,2682300
2022-02-24,83.1,85.26,82.13,84.96,3450600
2022-02-25,85.44,87.3,85.11,87.25,2444100
2022-02-28,86.22,87.55,85.73,87.1,2798800
2022-03-01,86.74,87.27,85.21,86.15,2570200
2022-03-02,86.5,89.22,86.44,88.37,3393500
2022-03-03,88.63,89.12,86.58,87.08,2011000
2022-03-04,85.74,86.18,82.83,84.96,3960900
2022-03-07,84.84,84.86,77.59,77.75,5409500
2022-03-08,77.76,79.32,75.23,75.31,6094400
2022-03-09,78,80.65,77.77,79.76,3307300
2022-03-10,78.08,80.42,77.71,79.98,2338800
2022-03-11,80.74,81.37,77.71,77.82,1768600
2022-03-14,78.4,78.75,75.96,76.76,1737500
2022-03-15,78.03,79.31,77.38,77.79,2113500
2022-03-16,78.3,80.11,78.13,80.08,2381100
2022-03-17,79.3,79.98,78.78,79.75,2082100
2022-03-18,79.72,81.38,78.63,81.24,4020200
2022-03-21,81.21,81.82,79.46,80.75,2087000
2022-03-22,81.24,82.02,80.65,81.11,1755500
2022-03-23,80.64,80.88,79.76,80.43,1976600
2022-03-24,80.81,81.76,80.21,81.53,1350600
2022-03-25,81.68,82.2,80.24,80.91,1297200
2022-03-28,80.67,81.17,79.82,80.94,1244400
2022-03-29,82.02,83.52,81.99,83.1,1810000
2022-03-30,82.5,84.04,82.47,82.99,2903800
2022-03-31,82.43,83.02,81.63,81.65,2229300
2022-04-01,81.81,82.47,81.39,82.41,2725500
2022-04-04,82.37,83.68,81.58,82.88,2389900
2022-04-05,82.56,83.43,81.61,82.5,1774500
2022-04-06,82.25,83.22,81.31,83.04,2278100
2022-04-07,83.26,83.73,82.81,83.68,3071200
2022-04-08,84.73,86.57,84.15,85.57,3078000
2022-04-11,85.37,86.11,84.57,84.71,2910800
2022-04-12,84.7,86.33,84.23,84.57,2772400
2022-04-13,85.08,86.72,84.66,86.67,1921300
2022-04-14,86.91,87.65,86.25,86.27,1593500
2022-04-18,85.25,86.32,85.01,85.91,1633500
2022-04-19,86.1,88.46,85.58,88.1,1954300
2022-04-20,88.9,89.6,88.35,89.1,1797100
2022-04-21,90,91.53,89.23,89.74,3290600
2022-04-22,89.44,90.18,88.67,88.8,2367600
2022-04-25,88.68,89.94,87.39,89.74,2360800
2022-04-26,89.89,89.89,87.56,87.65,1881600
2022-04-27,87.61,89.28,87.11,87.72,2116800
2022-04-28,88.24,88.44,87.07,88.32,1844000
2022-04-29,88.23,88.89,85.24,85.48,3457000
2022-05-02,86.39,86.4,83.35,85.14,2545900
2022-05-03,85.72,86.23,84.1,85.76,2299400
2022-05-04,85.5,86.36,83.9,86.2,3093600
2022-05-05,84.88,85.41,82.96,83.63,2732700
2022-05-06,83.38,83.67,81.09,82.48,2389300
2022-05-09,81.41,82.77,80.63,81.08,3430900
2022-05-10,89,90.74,85.5,86.05,6798900
2022-05-11,86.37,87.29,83.66,84.06,4074800
2022-05-12,84.14,84.14,81.14,82.61,2663800
2022-05-13,83.41,85.71,83.37,84.73,2017100
2022-05-16,84.71,85.28,84.14,84.54,1419700
2022-05-17,85.33,86.06,84.64,85.92,1490700
2022-05-18,84.91,85.27,80.38,80.71,1983300
2022-05-19,79.87,80.42,78.03,79.08,2667000
2022-05-20,79.6,79.89,75.25,76.98,3277400
2022-05-23,77.67,78.61,76.34,78.59,1612400
2022-05-24,77.83,78.02,75.76,77.11,2749600
2022-05-25,77.15,79.67,77.07,79.14,2323600
2022-05-26,81.87,83.64,81.22,82.84,2635200
2022-05-27,82.86,84.67,82.84,84.48,1927000
2022-05-31,84.12,84.72,83.03,84.18,2564700
2022-06-01,84.12,84.61,82.68,83.25,1923500
2022-06-02,83.46,84.34,82.79,84.32,1461900
2022-06-03,83.77,84.38,83.4,84.25,1536600
2022-06-06,85.01,85.72,84.08,84.72,1092500
2022-06-07,83.39,85.22,83.26,85.11,1229000
2022-06-08,84.43,85.99,84.4,85.16,1843800
2022-06-09,84.84,85.11,82.46,82.49,1446200
2022-06-10,80.79,82.77,80.12,81.91,2083900
2022-06-13,80.09,81.43,79.27,79.72,1999600
2022-06-14,79.97,81.03,79.74,80.14,2179600
2022-06-15,80.82,82.28,79.81,80.78,1662900
2022-06-16,79.55,79.55,77.79,78.44,2064800
2022-06-17,78.69,79.47,78.22,78.77,4620700
2022-06-21,80.09,80.5,79.12,80.07,1814700
2022-06-22,79.12,79.32,77.9,78.3,2405500
2022-06-23,79.91,80.92,78.82,80.83,2233300
2022-06-24,81.56,85.62,81.22,85.57,2761500
2022-06-27,85.93,86.77,84.74,86.1,2416900
2022-06-28,86.47,87.32,84.79,85.05,1906200
2022-06-29,86.25,86.88,85.21,85.3,2425500
2022-06-30,84.23,85.08,82.93,84.71,2443500
2022-07-01,84.61,86.44,84.53,86.32,2649900
2022-07-05,85.29,85.88,84.74,85.2,3203900
2022-07-06,85.1,85.72,84.56,84.82,3259600
2022-07-07,85.26,86.1,84.4,86.05,2703400
2022-07-08,86.22,87.43,85.86,86.15,1962600
2022-07-11,85.77,86.82,85.41,86.34,1414800
2022-07-12,86.32,87.64,86.04,86.39,1537700
2022-07-13,85.49,87.08,84.91,86.27,1503200
2022-07-14,85.09,86.88,84.95,86.74,1586300
2022-07-15,88.03,88.24,87.34,87.62,1846500
2022-07-18,88.18,88.54,86,86.35,2504600
2022-07-19,87.3,88.27,86.35,87.36,2741000
2022-07-20,87.73,88.84,87.73,88.23,2009700
2022-07-21,87.84,88.13,86.58,86.92,2569700
2022-07-22,87.08,87.74,86.13,86.86,2343200
2022-07-25,87.2,87.95,86.89,87.86,1496200
