Date,Open,High,Low,Close,Volume
2021-01-04,22.1979,22.2734,21.9184,22.2356,86700816
2021-01-05,22.281,22.4698,22.0468,22.0997,83054520
2021-01-06,22.213,22.6586,22.1828,22.5302,73455520
2021-01-07,22.6737,22.7266,22.4169,22.5906,71265359
2021-01-08,22.0091,22.0619,21.7145,21.9184,72471656
2021-01-11,21.7069,21.9184,21.6616,21.8051,40833484
2021-01-12,21.8051,21.8051,21.5332,21.7145,57515222
2021-01-13,21.7447,21.7523,21.503,21.6088,51383116
2021-01-14,21.639,22.4849,21.5483,22.1224,84548919
2021-01-15,21.8656,22.1224,21.7674,22.0317,53824704
2021-01-19,22.1148,22.1903,21.8278,21.8656,53971536
2021-01-20,21.9033,21.9109,21.7069,21.8731,43086270
2021-01-21,21.8353,21.9637,21.7296,21.7749,37102320
2021-01-22,21.7598,21.9411,21.5786,21.8505,45975370
2021-01-25,21.7221,22.0393,21.5181,21.9864,68733209
2021-01-26,21.9789,22.5378,21.9562,22.4698,66887024
2021-01-27,21.9335,22.8097,21.8731,22.0091,97381127
2021-01-28,21.926,22.4471,21.7372,21.7523,69698670
2021-01-29,21.7372,21.9335,21.5786,21.6239,66272688
2021-02-01,21.858,21.8882,21.3973,21.639,56774709
2021-02-02,21.7372,21.7674,21.435,21.5559,56673026
2021-02-03,21.5332,21.6767,21.4879,21.5332,53468813
2021-02-04,21.5408,21.8202,21.503,21.8202,42001782
2021-02-05,21.8882,21.9562,21.7976,21.8505,36503739
2021-02-08,21.8807,21.8958,21.6163,21.7296,42459356
2021-02-09,21.6465,21.7372,21.571,21.6163,43411312
2021-02-10,21.6314,21.6465,21.5106,21.5634,55965612
2021-02-11,21.5332,21.6767,21.4955,21.6692,44673216
2021-02-12,21.6012,21.7825,21.5937,21.7523,38015880
2021-02-16,21.7523,22.0393,21.6994,21.8807,51239727
2021-02-17,21.7674,22.4622,21.7523,22.3338,67769867
2021-02-18,22.3187,22.3489,22.0619,22.077,35751575
2021-02-19,22.1224,22.1526,21.8882,21.9033,39326772
2021-02-22,21.8958,22.3338,21.8882,22.145,46173044
2021-02-23,22.3943,22.5151,21.9864,22.0393,62175305
2021-02-24,22.1299,22.3489,22.0544,22.1903,45852636
2021-02-25,22.0242,22.0997,21.5937,21.6239,77501929
2021-02-26,21.6616,21.7447,21.065,21.065,102619798
2021-03-01,21.2689,21.4879,21.1631,21.216,58790102
2021-03-02,21.2085,21.4955,21.2085,21.3142,47299370
2021-03-03,21.284,21.8505,21.284,21.6918,75820581
2021-03-04,21.7296,22.145,21.639,21.8429,80437237
2021-03-05,21.9109,22.4622,21.8882,22.3716,77737336
2021-03-08,22.3112,22.9532,22.2205,22.6511,74116593
2021-03-09,22.5831,22.7644,22.364,22.3867,63488580
2021-03-10,22.6133,22.7795,22.3338,22.6511,57977033
2021-03-11,22.5906,22.6586,22.281,22.3112,48327854
2021-03-12,22.5831,23.3157,22.4471,22.5151,92827229
2021-03-15,22.6737,22.7115,22.4169,22.6057,56121050
2021-03-16,22.4698,22.6888,22.4245,22.6511,50311735
2021-03-17,22.7492,22.8323,22.5151,22.7719,52881354
2021-03-18,22.7115,23.0363,22.6511,22.6662,41438817
2021-03-19,22.6662,22.7039,22.3716,22.4773,97559734
2021-03-22,22.4924,22.6662,22.3414,22.6511,41525936
2021-03-23,22.6208,22.8625,22.5151,22.6586,48880756
2021-03-24,22.6435,22.8776,22.636,22.6511,44403518
2021-03-25,22.6586,22.8021,22.5151,22.719,49001902
2021-03-26,22.8701,23.1118,22.719,22.8927,83378238
2021-03-29,22.9607,23.1495,22.8248,23.0816,49355145
2021-03-30,23.1193,23.2175,22.9607,23.21,46516092
2021-03-31,23.1495,23.1495,22.8097,22.8625,59981040
2021-04-01,22.8399,23.0211,22.6813,23.0136,42999548
2021-04-05,23.1269,23.2931,23.1118,23.1949,50996905
2021-04-06,23.1949,23.3988,23.1798,23.3988,44574314
2021-04-07,23.4214,23.5272,23.2628,23.361,53821262
2021-04-08,22.8852,22.9154,22.6057,22.6586,66037678
2021-04-09,22.6964,22.8021,22.5906,22.6888,44111311
2021-04-12,22.6662,22.7795,22.5831,22.6284,32913051
2021-04-13,22.5529,22.5529,22.2885,22.3792,54794270
2021-04-14,22.3565,22.5076,22.1299,22.4547,41425180
2021-04-15,22.4924,22.5378,22.4169,22.4698,35073819
2021-04-16,22.5906,22.6813,22.5378,22.6208,39935944
2021-04-19,22.6586,22.719,22.5151,22.6511,39439974
2021-04-20,22.636,22.6737,22.5453,22.5755,35799239
2021-04-21,22.6284,22.8399,22.5906,22.7417,45489198
2021-04-22,23.6405,24.0861,23.5272,23.6858,143684584
2021-04-23,23.7764,23.9502,23.716,23.716,53428961
2021-04-26,23.7009,23.7009,23.3308,23.3459,60190761
2021-04-27,23.2931,23.3233,23.1344,23.2402,44211273
2021-04-28,23.3912,23.5272,23.3384,23.3837,37193014
2021-04-29,23.5121,23.8142,23.497,23.6707,50944740
2021-04-30,23.6858,23.7387,23.4517,23.7236,41484362
2021-05-03,24.003,24.0559,23.7689,23.7915,49589228
2021-05-04,23.8671,24.2296,23.8293,24.1843,68700639
2021-05-05,24.1767,24.3051,24.0257,24.1918,41937965
2021-05-06,24.1994,24.4864,23.9502,24.4789,38556072
2021-05-07,24.3202,24.4411,24.2145,24.29,38330065
2021-05-10,24.4184,24.8489,24.3656,24.645,54262286
2021-05-11,24.5393,24.6752,24.2296,24.3656,44221335
2021-05-12,24.2825,24.3958,24.1163,24.1465,41682300
2021-05-13,24.0408,24.4335,23.9124,24.3278,35838562
2021-05-14,24.4184,24.5846,24.3353,24.3505,28044703
2021-05-17,25.3097,25.5891,23.5952,23.6934,227010260
2021-05-18,22.568,22.6586,21.8202,22.3187,327097378
2021-05-19,21.9411,22.0393,21.6541,21.8731,162369932
2021-05-20,21.9109,22.432,21.8353,22.3867,108488825
2021-05-21,22.6662,22.8399,22.5529,22.6662,98754380
2021-05-24,22.6964,22.7795,22.4547,22.4698,63020282
2021-05-25,22.4396,22.4698,22.077,22.2961,77290883
2021-05-26,22.281,22.3867,22.1903,22.3187,43765747
2021-05-27,22.3943,22.5831,22.3338,22.4396,62823932
2021-05-28,22.4396,22.4396,22.1828,22.2281,54191320
2021-06-01,22.2508,22.3036,22.0695,22.145,52162290
2021-06-02,22.1299,22.3867,22.0166,22.364,53003692
2021-06-03,22.2508,22.3338,22.0468,22.077,60788150
2021-06-04,22.0846,22.1601,22.0468,22.1073,45228105
2021-06-07,22.1299,22.1526,21.9109,21.9637,43812219
2021-06-08,21.926,21.9335,21.6994,21.8882,81796720
2021-06-09,21.8656,22.0393,21.8127,21.9109,38698004
2021-06-10,21.9109,22.1224,21.9033,22.0393,46019327
2021-06-11,22.0695,22.1677,22.0015,22.145,41163954
2021-06-14,22.077,22.1148,21.8731,21.9713,36006312
2021-06-15,21.9486,22.1299,21.9335,22.1148,34705350
2021-06-16,22.1148,22.1601,21.8958,21.9486,40251454
2021-06-17,21.9335,22.0166,21.6843,21.7069,47283350
2021-06-18,21.6239,21.7296,21.4577,21.639,86995009
2021-06-21,21.6918,21.8656,21.6541,21.8505,44495668
2021-06-22,21.858,21.9033,21.7296,21.7372,41524215
2021-06-23,21.7523,21.8429,21.6314,21.639,31479689
2021-06-24,21.6843,21.7825,21.6088,21.7447,47503266
2021-06-25,21.6767,21.8656,21.6465,21.8202,37039297
2021-06-28,21.8353,21.8353,21.7145,21.7372,35873515
2021-06-29,21.7523,21.9335,21.639,21.6465,42715947
2021-06-30,21.6465,21.7976,21.639,21.7372,43623814
2021-07-01,21.8202,22.0695,21.7976,21.9864,34947642
2021-07-02,21.9864,22.1677,21.9789,22.077,37964376
2021-07-06,22.1148,22.1526,21.8656,21.9184,53233538
2021-07-07,21.926,21.9562,21.7976,21.8505,44484282
2021-07-08,21.352,21.4275,21.216,21.284,52985421
2021-07-09,21.3369,21.5559,21.3293,21.4879,45214865
