Date,Open,High,Low,Close,Volume
2004-01-02,2.116875,2.463125,2.11375,2.375,8720000
2004-01-05,2.39625,2.6025,2.35875,2.45125,5232000
2004-01-06,2.473125,2.489375,2.250625,2.3375,3886400
2004-01-07,2.361875,2.403125,2.285,2.3625,1838400
2004-01-08,2.335,2.3875,2.225,2.293125,3619200
2004-01-09,2.266875,2.301875,2.185,2.201875,2048000
2004-01-12,2.234375,2.28,2.094375,2.140625,2732800
2004-01-13,2.17375,2.23,2.08125,2.166875,4089600
2004-01-14,2.21875,2.26875,2.175,2.198125,2995200
2004-01-15,2.228125,2.25625,2.15625,2.16875,1569600
2004-01-16,2.1875,2.21875,2.07875,2.1275,1099200
2004-01-20,2.171875,2.25,2.159375,2.186875,4126400
2004-01-21,2.218125,2.218125,2.03375,2.061875,6716800
2004-01-22,2.119375,2.125,1.9875,2.020625,2944000
2004-01-23,2.051875,2.09625,1.990625,2.03125,1091200
2004-01-26,2.03125,2.09375,2,2.07375,1606400
2004-01-27,2.0875,2.0875,1.98125,1.991875,1531200
2004-01-28,2,2.003125,1.76875,1.7925,6846400
2004-01-29,1.8375,1.871875,1.753125,1.818125,2633600
2004-01-30,1.8,1.818125,1.75625,1.8125,1446400
2004-02-02,1.78125,1.825,1.7625,1.810625,1564800
2004-02-03,1.78125,1.8125,1.69375,1.76875,2761600
2004-02-04,1.775,1.778125,1.694375,1.709375,1526400
2004-02-05,1.711875,1.718125,1.546875,1.6325,10072000
2004-02-06,1.671875,1.671875,1.596875,1.64375,6715200
2004-02-09,1.66875,1.855625,1.665625,1.78625,7320000
2004-02-10,1.80875,1.8125,1.76625,1.78125,1760000
2004-02-11,1.81125,1.8425,1.78125,1.8125,1041600
2004-02-12,1.794375,1.8375,1.76625,1.78,801600
2004-02-13,1.803125,1.821875,1.7775,1.7775,1416000
2004-02-17,1.8275,1.8275,1.7225,1.801875,1120000
2004-02-18,1.828125,2.029375,1.80625,2.01625,5049600
2004-02-19,2.05,2.115625,2.015,2.03625,3172800
2004-02-20,2.073125,2.073125,1.88125,1.9425,2758400
2004-02-23,1.98125,2.053125,1.975,2.048125,2622400
2004-02-24,1.734375,1.87375,1.705625,1.76875,10030400
2004-02-25,1.75,1.7875,1.719375,1.755,2641600
2004-02-26,1.755,1.843125,1.725,1.83125,1280000
2004-02-27,1.84375,1.84375,1.809375,1.825625,988800
2004-03-01,1.825625,1.843125,1.7325,1.8125,1947200
2004-03-02,1.815625,1.90125,1.806875,1.890625,1580800
2004-03-03,1.89125,1.9125,1.845,1.88,363200
2004-03-04,1.845625,1.909375,1.845625,1.90625,532800
2004-03-05,1.90625,1.96875,1.79375,1.951875,1062400
2004-03-08,1.951875,1.983125,1.9375,1.940625,779200
2004-03-09,1.96625,1.975,1.915625,1.94,556800
2004-03-10,1.925,1.98125,1.90625,1.915625,2448000
2004-03-11,1.895,1.90625,1.80375,1.81875,859200
2004-03-12,1.849375,2.02625,1.830625,1.913125,1187200
2004-03-15,1.91875,1.94625,1.8375,1.855625,376000
2004-03-16,1.86875,1.8875,1.833125,1.833125,974400
2004-03-17,1.850625,1.915,1.8375,1.895625,374400
2004-03-18,1.89375,1.91875,1.84375,1.905625,400000
2004-03-19,1.890625,1.92375,1.85,1.876875,99200
2004-03-22,1.878125,1.878125,1.80125,1.819375,2040000
2004-03-23,1.818125,1.83375,1.793125,1.81875,726400
2004-03-24,1.788125,1.806875,1.69375,1.71875,2825600
2004-03-25,1.7375,1.795625,1.7375,1.78125,1097600
2004-03-26,1.79625,1.796875,1.736875,1.7725,1033600
2004-03-29,1.73875,1.793125,1.671875,1.765,3342400
2004-03-30,1.75,1.795,1.738125,1.755,544000
2004-03-31,1.75625,1.796875,1.74125,1.778125,684800
2004-04-01,1.795625,1.79625,1.74375,1.795625,635200
2004-04-02,1.79375,1.800625,1.7675,1.790625,473600
2004-04-05,1.790625,1.790625,1.753125,1.76,612800
2004-04-06,1.75375,1.759375,1.725,1.734375,769600
2004-04-07,1.71875,1.74875,1.71875,1.724375,256000
2004-04-08,1.75,1.790625,1.743125,1.790625,1206400
2004-04-12,1.75625,1.859375,1.75625,1.83125,1065600
2004-04-13,1.863125,1.86875,1.76875,1.78375,777600
2004-04-14,1.796875,1.796875,1.73,1.73,603200
2004-04-15,1.728125,1.75,1.728125,1.75,635200
2004-04-16,1.748125,1.749375,1.7225,1.749375,283200
2004-04-19,1.75625,1.776875,1.73625,1.736875,308800
2004-04-20,1.75625,1.75625,1.7375,1.7375,198400
2004-04-21,1.81625,1.843125,1.7375,1.7375,347200
2004-04-22,1.75,1.759375,1.734375,1.755625,452800
2004-04-23,1.775,1.775,1.7375,1.7675,712000
2004-04-26,1.759375,1.78125,1.71875,1.735625,1139200
2004-04-27,1.7625,1.9125,1.7625,1.90125,1072000
2004-04-28,1.859375,1.945625,1.815,1.925,2798400
2004-04-29,1.884375,1.935,1.719375,1.721875,4304000
2004-04-30,1.990625,2.001875,1.765625,1.8125,3881600
2004-05-03,1.79625,1.8125,1.776875,1.78875,1120000
2004-05-04,1.754375,1.828125,1.75,1.795625,683200
