Date,Open,High,Low,Close,Volume
1998-01-02,2.1875,2.3125,2.1875,2.3125,40800
1998-01-05,2.3125,2.3125,2.1875,2.25,74400
1998-01-06,2.1875,2.28125,2.125,2.234375,1110400
1998-01-07,2.234375,2.3125,2.1875,2.234375,120000
1998-01-08,2.234375,2.46875,2.21875,2.371094,348800
1998-01-09,2.382813,2.46875,2.328125,2.359375,432000
1998-01-12,2.125,2.296875,2.125,2.1875,129600
1998-01-13,2.28125,2.3125,2.203125,2.25,88000
1998-01-14,2.3125,2.3125,2.1875,2.21875,10400
1998-01-15,2.28125,2.28125,2.21875,2.21875,24800
1998-01-16,2.25,2.25,2.21875,2.21875,14400
1998-01-20,2.28125,2.28125,2.15625,2.15625,44000
1998-01-21,2.164063,2.265625,2.164063,2.234375,203200
1998-01-22,2.21875,2.25,2.171875,2.21875,71200
1998-01-23,2.1875,2.1875,2.15625,2.15625,144800
1998-01-26,2.117188,2.15625,2.109375,2.117188,830400
1998-01-27,2.109375,2.171875,2.109375,2.15625,108800
1998-01-28,2.140625,2.296875,2.140625,2.28125,379200
1998-01-29,2.28125,2.375,2.25,2.265625,278400
1998-01-30,2.25,2.265625,2.1875,2.25,146400
1998-02-02,2.382813,2.4375,2.25,2.265625,606400
1998-02-03,2.328125,2.421875,2.265625,2.375,192800
1998-02-04,2.375,2.375,2.25,2.3125,168000
1998-02-05,2.3125,2.3125,2.25,2.28125,141600
1998-02-06,2.257813,2.328125,2.257813,2.3125,479200
1998-02-09,2.328125,2.375,2.28125,2.335938,166400
1998-02-10,2.34375,2.390625,2.28125,2.390625,228000
1998-02-11,2.40625,2.40625,2.296875,2.296875,221600
1998-02-12,2.328125,2.390625,2.3125,2.320313,400800
1998-02-13,2.328125,2.390625,2.28125,2.28125,380000
1998-02-17,2.28125,2.375,2.28125,2.335938,176800
1998-02-18,2.34375,2.34375,2.210938,2.265625,328800
1998-02-19,2.25,2.3125,2.171875,2.171875,256800
1998-02-20,2.21875,2.21875,2.125,2.125,160800
1998-02-23,2.125,2.1875,2.125,2.164063,322400
1998-02-24,2.15625,2.1875,2.15625,2.1875,252000
1998-02-25,2.1875,2.28125,2.15625,2.28125,323200
1998-02-26,2.25,2.34375,2.21875,2.34375,164000
1998-02-27,2.328125,2.351563,2.28125,2.351563,399200
1998-03-02,2.328125,2.359375,2.296875,2.296875,482400
1998-03-03,2.296875,2.375,2.296875,2.3125,444000
1998-03-04,2.3125,2.3125,2.265625,2.3125,168000
1998-03-05,2.25,2.3125,2.25,2.277344,148800
1998-03-06,2.34375,2.375,2.265625,2.375,404000
1998-03-09,2.34375,2.390625,2.265625,2.359375,300800
1998-03-10,2.34375,2.359375,2.335938,2.335938,309600
1998-03-11,2.34375,2.359375,2.320313,2.335938,104000
1998-03-12,2.34375,2.375,2.335938,2.375,181600
1998-03-13,2.375,2.375,2.34375,2.359375,148800
1998-03-16,2.359375,2.359375,2.34375,2.359375,211200
1998-03-17,2.328125,2.359375,2.328125,2.359375,62400
1998-03-18,2.375,2.375,2.328125,2.375,407200
1998-03-19,2.390625,2.40625,2.375,2.398438,236800
1998-03-20,2.390625,2.5,2.390625,2.5,472000
1998-03-23,2.421875,2.515625,2.421875,2.484375,316800
1998-03-24,2.4375,2.484375,2.375,2.421875,258400
1998-03-25,2.40625,2.4375,2.40625,2.4375,152000
1998-03-26,2.4375,2.46875,2.40625,2.421875,172800
1998-03-27,2.414063,2.46875,2.375,2.46875,244000
1998-03-30,2.40625,2.453125,2.40625,2.421875,162400
1998-03-31,2.421875,2.46875,2.421875,2.421875,502400
1998-04-01,2.421875,2.515625,2.421875,2.46875,587200
1998-04-02,2.453125,2.484375,2.453125,2.46875,542400
1998-04-03,2.453125,2.488281,2.453125,2.46875,117600
