Date,Open,High,Low,Close,Volume
2018-01-02,50,50.1,49.65,49.92,2503400
2018-01-03,49.92,50.63,49.76,50.46,3410700
2018-01-04,50.72,51.64,50.72,51.07,3809900
2018-01-05,51.29,51.34,50.66,51.23,3345000
2018-01-08,51.35,51.56,51.11,51.5,3524300
2018-01-09,51.79,52.67,51.74,52.09,4102000
2018-01-10,52.18,53.36,52.14,52.71,4035700
2018-01-11,53.04,53.28,52.74,53.16,3624500
2018-01-12,53.46,53.91,52.91,53.14,4418400
2018-01-16,53.23,53.6,52.79,53.08,4033100
2018-01-17,53.36,53.48,52.71,53.28,4853200
2018-01-18,54.3,55.7,53.07,54.14,7884400
2018-01-19,54.4,55.14,54.29,54.8,5762900
2018-01-22,54.81,55.13,54.36,54.88,3551100
2018-01-23,54.62,55.3,54.5,54.87,5095800
2018-01-24,55.15,55.55,54.86,55,4533900
2018-01-25,55.28,55.29,54.46,54.69,4944400
2018-01-26,54.84,55.45,54.59,55.45,4263900
2018-01-29,55.35,55.85,55.29,55.39,3917200
2018-01-30,54.91,55.65,54.83,55.03,4390800
2018-01-31,55.03,55.64,54.93,55.19,3703100
2018-02-01,55.03,55.79,55.03,55.7,3413300
2018-02-02,55.57,55.99,54.94,55.11,4409800
2018-02-05,54.37,55.04,52.75,52.89,6967900
2018-02-06,51.72,53.83,51.09,53.71,7401400
2018-02-07,53.44,54.35,53.3,53.82,4510800
2018-02-08,53.55,53.57,51.04,51.07,4861700
2018-02-09,51.93,52.84,50.76,52.42,7494000
2018-02-12,52.71,53.65,52.4,53,3681700
2018-02-13,52.66,53.43,52.52,53.33,2240700
2018-02-14,53.24,54.83,53.15,54.74,3118100
2018-02-15,55,55.44,54.55,54.83,3804500
2018-02-16,54.58,55.26,54.55,54.96,2857700
2018-02-20,54.75,55.29,54.37,54.6,2901200
2018-02-21,54.68,55.85,54.57,55.09,3799100
2018-02-22,55.43,55.59,54.18,54.32,3684300
2018-02-23,54.55,55.37,54.47,55.36,3275000
2018-02-26,55.56,55.82,55.08,55.79,3247600
2018-02-27,55.45,56.19,54.95,54.95,3660000
2018-02-28,55.14,55.81,54.33,54.35,4090000
2018-03-01,54.32,54.78,53.44,53.89,4181600
2018-03-02,53.6,54.42,52.79,54.29,3584000
2018-03-05,53.73,55.08,53.35,54.92,3018500
2018-03-06,55.2,55.29,54.39,55.25,2954700
2018-03-07,54.67,55.17,54.22,55.02,3022400
2018-03-08,55.22,55.36,54.23,55.02,2176100
2018-03-09,55.51,56.08,55.13,56.03,2543600
2018-03-12,56.11,56.31,55.52,55.6,2878700
2018-03-13,55.9,55.96,55.21,55.38,3552500
2018-03-14,55.63,55.63,54.28,54.62,3271600
2018-03-15,54.99,54.99,54.17,54.61,2686900
2018-03-16,54.67,55.49,54.52,55.04,7622000
2018-03-19,54.99,55.18,54.23,54.96,4405400
2018-03-20,55.16,55.46,54.58,54.65,3209100
2018-03-21,54.76,55.38,54.21,54.72,3029500
2018-03-22,53.96,54.27,52.1,52.31,5162700
2018-03-23,52.49,52.49,50.57,50.68,5643400
2018-03-26,51.57,52.32,50.96,52.22,4246400
2018-03-27,53.35,53.4,51.19,51.58,7194300
2018-03-28,51.7,51.99,50.96,51.53,4406400
2018-03-29,51.83,52.36,51.35,52.04,3627300
2018-04-02,51.87,52.24,50.13,50.93,5051200
2018-04-03,51.14,52.07,51,51.94,4278300
2018-04-04,51.16,52.8,51.05,52.67,4261900
2018-04-05,52.96,53.13,52.34,52.89,4770100
2018-04-06,52.09,52.37,50.58,51.12,4134500
2018-04-09,51.51,52.77,51.4,51.64,3956100
2018-04-10,52.49,52.77,51.92,52.57,3798300
2018-04-11,52.1,52.56,51.92,52.2,2860600
2018-04-12,52.63,53.4,52.48,53.05,3112600
2018-04-13,53.46,53.5,51.71,51.95,2683400
2018-04-16,52.4,52.48,51.76,52,2757200
