Date,Open,High,Low,Close,Volume
2018-01-02,248.96,255.69,248.96,254.73,304500
2018-01-03,255.05,257.63,254.64,256.64,187900
2018-01-04,257.75,259.4,254.01,254.01,250900
2018-01-05,255.26,258.37,253.08,257.73,166500
2018-01-08,257.2,259.41,254.77,258.68,230900
2018-01-09,260,262.64,258.72,262.14,141700
2018-01-10,261.75,262.72,256.79,257.92,332600
2018-01-11,258.54,260.77,256.75,260.66,218200
2018-01-12,260.26,264.21,258.38,263.18,177500
2018-01-16,263.38,266.63,261.96,262.93,320200
2018-01-17,265.11,272.46,263.23,272.31,344200
2018-01-18,269.7,276.67,269.59,275.3,612500
2018-01-19,276.11,279.12,275.3,276.42,337400
2018-01-22,276.9,277.1,274.06,274.75,196200
2018-01-23,275.04,275.85,273.23,273.9,367300
2018-01-24,275.04,276.28,273.47,275.08,413500
2018-01-25,276.84,281.14,274.87,278.15,263000
2018-01-26,278.86,287.18,276.74,284.59,331500
2018-01-29,283.11,288.78,282.06,287.65,316000
2018-01-30,284.87,287,280.03,281.56,334100
2018-01-31,282.62,282.93,276.89,277.75,222900
2018-02-01,276.44,280.71,274.6,278.68,347700
2018-02-02,276.41,278.8,272.34,272.36,194500
2018-02-05,271,274.3,259.47,261.45,295000
2018-02-06,257.83,263.22,253.79,261.95,431600
2018-02-07,261.68,268.31,260.68,263.09,286000
2018-02-08,263.3,263.52,249.11,249.14,328400
2018-02-09,251.53,254.98,245.19,252.75,246100
2018-02-12,254.11,257.84,250.25,255.2,225200
2018-02-13,253.85,257.33,252.81,254.95,170300
2018-02-14,253.13,262.03,251.8,260.96,161200
2018-02-15,263.03,266.58,259.01,265.61,220500
2018-02-16,265.94,269.9,263.81,267.89,183800
2018-02-20,266.19,270.8,266.19,269.07,264700
2018-02-21,268.7,274.74,268.7,270,318400
2018-02-22,261.1,261.1,244.13,249.44,930300
2018-02-23,250.36,256.1,244.8,255.27,536900
2018-02-26,255.34,257.45,251.29,256.26,399100
2018-02-27,255.96,258.74,253.64,253.72,476000
2018-02-28,253.72,254.37,249.78,249.83,451400
2018-03-01,249.36,250.77,241.26,242.67,368100
2018-03-02,241.65,246,240.88,245.61,363200
2018-03-05,244.8,251.36,241.98,250.51,265800
2018-03-06,251.23,254.71,248.04,254.32,259800
2018-03-07,252.67,259.93,252.67,257.65,376400
2018-03-08,258.66,262.41,257.01,261.41,375300
2018-03-09,263.53,270.85,263.52,269.26,319200
2018-03-12,268.53,269.74,264.07,266.38,381200
2018-03-13,267.26,269.65,264.33,267.35,300500
2018-03-14,267.85,269.99,264.97,265.69,282300
2018-03-15,265.7,269.17,265.15,265.93,287600
2018-03-16,266.38,268.15,263.19,264.76,761200
2018-03-19,264.03,264.03,258.88,262.14,260300
2018-03-20,262.03,266.47,255.23,265.28,308700
2018-03-21,265.28,265.28,259.46,260.05,267000
2018-03-22,257.14,261.84,256.81,256.81,657100
2018-03-23,257,257,252.57,252.86,383400
2018-03-26,254.53,259.59,253.04,259.13,268100
2018-03-27,260.5,262.77,256.54,257.65,373200
2018-03-28,257.48,257.71,252.96,253.1,329800
2018-03-29,254.23,257.54,251.3,254.98,285100
2018-04-02,254.51,254.97,246.62,250.04,341400
2018-04-03,251,252.94,246.64,251.34,266900
2018-04-04,247.92,253.34,244.59,252.64,251800
2018-04-05,253.77,256.04,251.98,252.06,254400
2018-04-06,250.4,251.96,242.79,246.68,215100
2018-04-09,246.87,252.79,245.95,248.26,209100
2018-04-10,251.74,257.25,249.97,255.62,245500
2018-04-11,253.68,255.96,253.15,255.3,201400
2018-04-12,256.93,258.92,255.5,258.22,209900
2018-04-13,259.34,259.34,255.73,257.52,252100
2018-04-16,260.17,264.47,257.8,262.52,201800
2018-04-17,264,267.37,260.22,266.46,219400
2018-04-18,266.21,270.46,264.43,268.7,158500
2018-04-19,267.93,270.05,266.52,269.64,155300
2018-04-20,269.5,271.79,267.6,271.03,241900
2018-04-23,270.66,273.54,268.38,271.7,263200
2018-04-24,272.64,272.64,260.17,263.37,280700
2018-04-25,262.95,264.75,260.88,264.49,332200
