Date,Open,High,Low,Close,Volume
2022-01-03,231.07,232.28,228.76,231.95,3018000
2022-01-04,232.01,235.64,231.57,234.17,3327600
2022-01-05,234.81,236.33,228.77,228.86,3885800
2022-01-06,222.74,232.66,222.74,231.35,4193200
2022-01-07,230.18,233.2,229.1,230.78,3052900
2022-01-10,228.53,228.64,223.02,227.42,4858100
2022-01-11,228.09,228.71,224,227.55,3048900
2022-01-12,228.19,230.14,224.1,224.47,4233300
2022-01-13,225.28,226.8,223.75,225.83,3459000
2022-01-14,222.42,224.3,218.39,221.4,5282600
2022-01-18,218.78,220.95,217.28,220.01,4652500
2022-01-19,221.75,228.3,220.64,223.84,4091200
2022-01-20,225.02,229.31,221.14,221.72,4307900
2022-01-21,220,220.89,214.22,217.25,7859300
2022-01-24,215.39,221.03,211.92,220.58,5617700
2022-01-25,218.36,218.68,212.91,214.68,4929100
2022-01-26,215.62,217.17,210.38,211.71,4207500
2022-01-27,215.33,217.32,211.39,212.18,4004300
2022-01-28,214.29,217.79,210.52,217.67,2906200
2022-01-31,216.91,220.73,216.33,220.43,4151100
2022-02-01,221.99,222.52,216.33,219.23,4117400
2022-02-02,218.26,220.09,215.33,217.61,4588500
2022-02-03,214.25,218.32,212.57,213.22,6357800
2022-02-04,214.12,215.5,210.54,214.04,3754700
2022-02-07,214.73,215.16,210.3,211.29,4402800
2022-02-08,211.08,214.66,210.65,212.95,2926600
2022-02-09,214.99,217.18,214.05,216.64,2562700
2022-02-10,214.38,217.5,212.71,213.84,3038100
2022-02-11,214.16,214.75,210.79,211.56,2852400
2022-02-14,211.19,211.5,205.71,208.57,4066700
2022-02-15,209.32,209.32,205.8,207.18,4739300
2022-02-16,206.88,208.85,204.8,207.81,3340600
2022-02-17,206.59,206.95,203.87,204,3865900
2022-02-18,204.52,206.63,203.48,204.39,3321700
2022-02-22,202.63,203.18,194.5,196.35,5621300
2022-02-23,196.9,197.87,189.61,189.9,4471300
2022-02-24,184.49,191.76,184,191.55,3917700
2022-02-25,191.51,199.5,191.32,199.22,4098500
2022-02-28,197.36,201.18,195.84,199.77,6192200
2022-03-01,226.83,227.1,218.55,219.43,15776100
2022-03-02,222,226.12,218.66,224.9,6357700
2022-03-03,226.12,229.19,222.37,223.84,4604600
2022-03-04,222.73,225.09,221.64,224.1,3996100
2022-03-07,224.1,224.61,210.57,211.04,5743400
2022-03-08,211.23,213.91,206.7,208.81,4463200
2022-03-09,213.72,218.42,213.44,216,3183200
2022-03-10,213.6,215.48,210.08,214.78,3155300
2022-03-11,215.66,216.53,206.8,206.97,4042600
2022-03-14,208.21,210.91,204.95,208.76,3168500
2022-03-15,210.51,216.2,210.51,215.35,2866700
2022-03-16,216.93,218.7,211.74,215.59,3029800
2022-03-17,215,220.9,214.48,220.63,3655400
2022-03-18,218.89,226.14,218.08,226.05,6544800
2022-03-21,226.03,228.46,221.32,223,3023500
2022-03-22,223.71,224.63,221.75,222.77,2464000
2022-03-23,222.27,222.73,215.94,216.72,2993500
2022-03-24,217.03,218.71,216.16,217.04,2240400
2022-03-25,218.05,219.93,216.33,218.61,2465700
2022-03-28,218.06,219.52,216.45,219.52,2212000
2022-03-29,222,224.57,220.2,222.93,3072200
2022-03-30,221.67,223.69,220.63,221.96,2464900
2022-03-31,218.33,220.2,212.06,212.22,4615500
2022-04-01,213.32,214.13,209.61,210.54,3217100
2022-04-04,210.19,214.61,206.19,214.41,3167000
2022-04-05,213.49,218.37,213.18,214.79,2538500
2022-04-06,211.67,217.09,211,215.94,3678500
2022-04-07,219,229.81,218.43,228.19,7938100
2022-04-08,233,236.07,230.62,233.34,6631200
2022-04-11,233.26,235.96,228.91,229.31,3172200
2022-04-12,232.3,235.41,230.39,231.34,3366600
2022-04-13,230.3,235.19,229.51,233.82,2451300
2022-04-14,233.91,238.19,233.11,237.2,3909700
2022-04-18,235.54,241.26,235.08,239.39,3341800
2022-04-19,240.31,247.2,239.47,246.05,4715700
2022-04-20,248.62,250.97,246.44,249.32,3735500
2022-04-21,250.85,254.87,247.61,248.17,3967700
2022-04-22,246.55,247.2,241.43,241.68,3431300
2022-04-25,239.99,242.92,238.27,241.66,3265100
2022-04-26,239.56,242.5,236.41,236.5,2915500
2022-04-27,236.45,237.53,230.47,230.97,2995300
2022-04-28,234.43,237.62,230.78,236.39,2317800
2022-04-29,234.49,235.83,228.21,228.65,3220700
2022-05-02,230.15,233,225.16,229.78,3049000
2022-05-03,231.04,234.49,229.5,232.54,3027600
2022-05-04,231.85,238.59,229.14,237.43,3256300
2022-05-05,235.61,235.86,228.3,230.76,3466500
2022-05-06,225.85,229.66,222.65,225.21,3683300
2022-05-09,223.2,228.18,222.32,224.2,4672300
2022-05-10,226.59,228.75,216.69,219.11,3748000
2022-05-11,219.4,220.92,212.38,213.49,3193600
2022-05-12,213.36,220.82,213.06,217.27,3547400
2022-05-13,219.99,223.3,217.81,219.73,3146700
2022-05-16,220.11,221.65,216.27,219.25,3345600
2022-05-17,210.63,215.58,209.13,215.28,6641600
2022-05-18,163.07,168,155.2,161.61,50936800
2022-05-19,161.27,161.43,151.28,153.43,23319000
2022-05-20,153.62,155.8,150.89,155.36,12300200
2022-05-23,154.99,156.11,153.28,153.9,7700100
2022-05-24,151.58,152.09,145.51,149.95,10936600
2022-05-25,150.24,156.98,149.52,156.42,8107700
2022-05-26,157.98,163.33,157.85,163.2,7369700
2022-05-27,163.24,167.2,163.2,167.14,6315500
2022-05-31,166.51,166.79,161.43,161.88,8942100
2022-06-01,161.88,163.16,156.48,156.52,4480900
2022-06-02,156.56,161.06,156.08,160.91,4366000
2022-06-03,159.19,162.86,159,161.04,4187700
2022-06-06,161.4,162.05,158.75,159.67,3772300
2022-06-07,148,157.95,147.15,155.98,33299700
2022-06-08,154.43,159.63,153.35,156.7,6576000
2022-06-09,156.75,158.29,154.49,154.55,5744300
