Date,Open,High,Low,Close,Volume
2012-01-03,20.6,20.92,19.36,19.84,2162700
2012-01-04,19.8,19.8,18.68,18.76,2574025
2012-01-05,18.64,19.12,18.36,19.04,3215925
2012-01-06,19.16,20.6,19.04,19.96,3090550
2012-01-09,20.36,20.56,19.8,20.4,1570200
2012-01-10,20.36,20.88,19.88,20.6,2954700
2012-01-11,20.44,21.04,20.28,20.92,1092175
2012-01-12,21,21,20.48,20.52,1997450
2012-01-13,20.32,20.76,20.04,20.28,1141150
2012-01-17,20.52,20.64,19.6,19.72,1839800
2012-01-18,19.72,20.32,19.56,20.08,2112000
2012-01-19,20.36,20.96,20.08,20.64,1753625
2012-01-20,20.64,20.68,20.04,20.4,1455150
2012-01-23,20.44,20.72,20.2,20.36,981575
2012-01-24,20.2,21.48,20.08,21.32,2497100
2012-01-25,21.36,22.2,21.2,22,3341050
2012-01-26,22.24,22.36,21.36,21.64,1754800
2012-01-27,21.44,22,21.32,21.92,1034950
2012-01-30,21.6,21.76,21.16,21.32,1367200
2012-01-31,21.52,21.84,20.88,21.16,1067075
2012-02-01,21.32,22.12,21.08,21.88,2203625
2012-02-02,21.88,22.08,21.2,21.72,1461675
2012-02-03,22,24.08,21.88,23.88,5702100
2012-02-06,24.08,24.2,22.84,23.76,3911875
2012-02-07,23.44,23.76,23.28,23.4,2084250
2012-02-08,23.44,23.8,23.28,23.44,1291100
2012-02-09,23.44,23.64,22.2,22.32,3434475
2012-02-10,22.08,23.04,21.92,22.88,3377700
2012-02-13,23.16,23.44,22.92,23.08,1247725
2012-02-14,23.04,23.24,22.4,22.68,2208625
2012-02-15,22.76,23,22.36,22.8,3008200
2012-02-16,22.92,23.32,22.72,22.72,2144475
2012-02-17,22.92,23.04,22.4,22.64,1598425
2012-02-21,22.8,22.92,22.12,22.4,2044525
2012-02-22,22.6,22.6,21.96,22.2,3825525
2012-02-23,22.2,22.88,22,22.48,3083100
2012-02-24,22.6,23.6,22.48,23.12,2729975
2012-02-27,22.76,23.12,22.52,22.6,3937775
2012-02-28,22.2,23,22.2,22.84,3046100
2012-02-29,22.8,23.16,22.48,22.6,2398800
2012-03-01,22.72,23.04,22.4,22.92,2877475
2012-03-02,22.72,23.08,22.44,22.64,1058800
2012-03-05,22.52,23.16,21.92,22.08,2451750
