Date,Open,High,Low,Close,Volume
2013-01-02,20,20.02,19.28,19.4,4800250
2013-01-03,19.44,19.46,19.06,19.26,4222300
2013-01-04,19.26,19.56,19.1,19.46,3458850
2013-01-07,19.14,19.2,18.82,19.12,2985100
2013-01-08,19.02,19.04,18.28,18.66,4393500
2013-01-09,18.74,19.2,18.7,18.78,9524000
2013-01-10,18.9,19.68,18.88,19.46,7235150
2013-01-11,19.44,19.72,19.06,19.08,3797000
2013-01-14,19.6,19.6,18.98,19.02,3952550
2013-01-15,18.88,19.2,18.56,19.16,3359850
2013-01-16,19.02,19.06,18.54,18.66,2043000
2013-01-17,18.74,18.96,18.62,18.82,3424350
2013-01-18,18.74,19,18.7,18.8,1587300
2013-01-22,18.82,18.98,18.58,18.84,1942350
2013-01-23,18.84,19.14,18.84,19.08,1689400
2013-01-24,19.08,20.18,19,19.46,6297400
2013-01-25,19.5,19.6,19.24,19.42,1611900
2013-01-28,19.42,19.64,19.16,19.52,2319450
2013-01-29,19.62,19.62,19.38,19.5,1387250
2013-01-30,19.58,20.14,19.54,19.8,5873100
2013-01-31,19.74,20.2,19.68,20.06,3508250
2013-02-01,20.2,20.2,19.7,19.78,2688700
2013-02-04,19.64,20,19.6,19.8,3297000
2013-02-05,19.9,20,19.52,19.58,1479800
2013-02-06,19.5,19.7,19.38,19.4,1955150
2013-02-07,19.36,19.56,19.2,19.56,2661250
2013-02-08,19.68,20,19.68,19.8,1648300
2013-02-11,19.82,20.46,19.72,20.2,3781500
2013-02-12,20.2,20.38,20.1,20.3,2147750
2013-02-13,20.32,20.62,20.24,20.58,2077400
2013-02-14,20.48,20.62,20.42,20.48,1830500
2013-02-15,20.7,20.92,20.56,20.7,3655500
2013-02-19,20.78,20.78,20.4,20.54,3131750
2013-02-20,20.6,20.84,20.06,20.16,2648850
2013-02-21,20.06,20.24,19.82,20.16,1740800
2013-02-22,20.2,20.3,19.88,19.9,4264700
2013-02-25,20.02,20.18,19.5,19.52,3476800
2013-02-26,19.24,19.72,19.24,19.32,3193350
2013-02-27,19.3,19.98,19.3,19.78,2424600
2013-02-28,19.78,19.84,19.6,19.6,1437650
2013-03-01,19.64,19.82,19.46,19.62,2515350
2013-03-04,19.72,20.34,19.4,20.28,3668950
2013-03-05,20.44,20.64,20.2,20.62,2373550
2013-03-06,20.66,20.84,20.46,20.72,3996750
