Date,Open,High,Low,Close,Volume
2019-01-02,59.1411,63.7833,58.3222,62.9244,530100
2019-01-03,62.2222,64.2611,60.7756,63.1044,288000
2019-01-04,64.9889,67.3333,64.0889,65.7889,431100
2019-01-07,66.6667,70.1133,66.6667,68.8789,330300
2019-01-08,69.9122,70.8878,69.4467,69.7222,307800
2019-01-09,70,70.7711,66.4156,67.7578,621000
2019-01-10,68.0844,69.5244,67.7722,68.8889,171000
2019-01-11,67.8967,68.8333,66.42,68.7944,219600
2019-01-14,68.03,68.6889,67.7722,68.3344,93600
2019-01-15,68.3333,69.8889,67.6111,68.3344,361800
2019-01-16,68.2789,70,67.7967,70,144900
2019-01-17,69.3333,72.2222,69.3333,71.8856,344700
2019-01-18,72.2222,73.9011,71.7122,72.2222,290700
2019-01-22,71.4744,71.8922,69.65,70.8322,359100
2019-01-23,71.1111,72.1511,68.3333,70.1067,225900
2019-01-24,69.4211,70.4044,68.8889,69.4444,53100
2019-01-25,70.0111,71.4767,70.0111,71.1111,106200
2019-01-28,70.1244,72.5767,69.7056,71.9556,199800
2019-01-29,73.1089,73.8889,71.3444,73.6222,216900
2019-01-30,74.4444,77.1322,73.9778,77.1322,355500
2019-01-31,77.7778,78.6667,76.9133,77.2678,306900
2019-02-01,79,82.4744,77.2489,78.21,287100
2019-02-04,77.8944,80.9444,77.8944,80.5556,330300
2019-02-05,79.5289,81.5989,79.5289,80.85,209700
2019-02-06,82.1067,82.1067,79.8944,79.8944,90000
2019-02-07,80.2433,80.2433,78.4244,78.8711,162000
2019-02-08,78.8144,78.8144,75.7667,77.7956,143100
2019-02-11,77.8556,78.6422,75.8667,76.1111,111600
2019-02-12,76.8733,80,76.3,79.2222,200700
2019-02-13,80,81.2144,79.7556,80.5356,128700
2019-02-14,80.4444,82.3956,80,82.2222,140400
2019-02-15,83.3111,83.8511,82.2222,83.75,231300
2019-02-19,83.3333,86.7311,83.09,86.6667,261000
2019-02-20,86.0044,88.7756,86.0044,87.7556,243000
2019-02-21,86.6667,87.3333,85.5556,86.5833,162900
2019-02-22,86.6589,87.0933,84.8144,84.8144,125100
2019-02-25,85.1633,85.3667,83,83.4456,140400
2019-02-26,84.1789,84.2933,82.6378,83.3333,134100
2019-02-27,84.0467,85.8111,84,85,116100
2019-02-28,85.2322,85.84,82.6244,82.6244,132300
2019-03-01,84.1978,84.8633,83.1167,83.6256,58500
2019-03-04,83.7778,84.7889,82.6667,83.4289,118800
2019-03-05,84.2656,84.2656,82.3833,82.7578,54000
2019-03-06,82.4256,82.4256,80.6956,80.6956,86400
2019-03-07,80.59,80.59,78.1667,79.7756,111600
2019-03-08,78.7911,79.1122,76.6744,79.1122,187200
2019-03-11,78.8889,81.3333,78.7778,80.58,87300
2019-03-12,81.1111,81.6756,79.8511,79.8511,96300
2019-03-13,80.35,83,80.35,81.3967,161100
2019-03-14,80.8878,82.4611,80.8878,82.4611,127800
2019-03-15,82.9411,83.3889,80.7222,80.8889,205200
2019-03-18,82.0989,83.2222,81.6811,83,108900
2019-03-19,83.8722,86.1367,83.4011,85.6744,128700
2019-03-20,85.5,86.3333,84.5311,85.34,102600
2019-03-21,85.7778,85.9,83,83,105300
2019-03-22,84.1956,84.1956,80.2567,81.1111,63900
2019-03-25,80.3111,82.7778,79.8567,82.7778,126900
2019-03-26,83.8056,85.5589,82.1878,85.5589,193500
2019-03-27,85.4167,86.6622,85,86.4389,121500
2019-03-28,85.2222,86.6622,84.6111,85.6889,102600
2019-03-29,86.5556,86.7967,85.1922,85.9611,133200
2019-04-01,86.8778,89.4011,86.65,88.68,128700
2019-04-02,89.4978,90.2233,88.0422,88.5833,181800
2019-04-03,88.0111,88.06,86.5456,86.9056,74700
2019-04-04,86.8889,87.6933,85.4722,86.4233,100800
2019-04-05,86.6678,90.1111,86.6678,90.1111,108000
2019-04-08,90.5444,90.81,89.4444,90.0422,84600
2019-04-09,90.8144,94.6444,90.2689,94.2222,241200
2019-04-10,94.3889,99.3333,94.3889,98.4556,290700
2019-04-11,98.8,101.74,96.9889,97.6478,301500
2019-04-12,99.3478,101.6667,98.1489,100.1156,264600
2019-04-15,100.5556,101.1111,99.0422,99.3467,101700
2019-04-16,100,100.3333,97.7778,98,177300
2019-04-17,98.0922,99.9722,97.2511,99.8122,67500
2019-04-18,100.3256,100.38,99.3333,99.7733,178200
2019-04-22,99.1289,99.8889,98.8322,99.8889,71100
2019-04-23,99.8889,101.6722,99.1611,99.5767,255600
2019-04-24,100.3633,100.3633,99.1111,99.5478,56700
2019-04-25,99.8889,100.0033,98.3889,98.6178,142200
2019-04-26,97.3333,98.0056,90.0667,93.7278,291600
2019-04-29,93.3511,94.8889,90.41,91.3333,177300
2019-04-30,91.3333,91.3333,85.89,89.1489,429300
2019-05-01,88.8889,89.7778,87.7778,89.0689,136800
2019-05-02,90.4889,91.8789,89.0556,89.7,171000
2019-05-03,89.3444,90,88.9689,89.6978,67500
2019-05-06,88.9444,89.5,88.4744,88.7933,81900
2019-05-07,88.5856,88.5856,85.6389,87.8078,109800
2019-05-08,88.1667,88.8222,87.5567,88.7722,69300
2019-05-09,87.7778,88.4556,85.36,87.5622,117900
2019-05-10,87.4667,89.9233,86.1122,88.9422,87300
2019-05-13,88.7222,88.7222,86.6078,87.2844,70200
2019-05-14,87.2222,92.1667,87.2222,91.5622,171000
2019-05-15,91.5,94.9533,91.2044,93.5944,141300
2019-05-16,93.2667,94.4444,92.7556,94.2589,41400
2019-05-17,94.4444,97.6944,93.66,96.2678,142200
2019-05-20,97,97,93.5144,93.9456,80100
2019-05-21,93.5633,95.2244,93.3333,94.4667,67500
2019-05-22,93.8878,94.5422,90.9878,92.13,124200
2019-05-23,91.1111,91.1111,87.02,87.2922,101700
2019-05-24,87.7456,87.9722,85.89,87.0622,65700
2019-05-28,87.5378,90.6111,87.2222,89.0878,102600
2019-05-29,89.3389,91.3333,88.8789,89.9922,82800
2019-05-30,89.2222,89.2333,86.0556,86.29,71100
2019-05-31,85.2,85.2,80.8944,81.89,258300
2019-06-03,81.6667,82.2089,79.3078,80.6578,96300
2019-06-04,81.4444,83.7267,80.2222,83.6667,193500
2019-06-05,83.6267,83.6267,80.5556,81.9178,189000
2019-06-06,81.7167,83.3333,81.7167,82.9967,111600
2019-06-07,83.4444,84.0967,82.0111,84.0333,132300
2019-06-10,83.0822,85.2556,82.5933,83.44,81000
2019-06-11,84.7778,85.5722,83.4444,83.4567,131400
2019-06-12,83.3889,83.5556,79.1667,80.1322,110700
2019-06-13,81.9111,83.0533,79.7056,80.8822,186300
2019-06-14,81.5311,82.2222,80.8889,82.2222,71100
2019-06-17,82.2133,82.2133,78.6356,80.3333,72000
2019-06-18,80.4444,83.8333,80.4444,83.5556,76500
2019-06-19,84.29,85.7211,83.7133,85.5856,87300
2019-06-20,86.7122,88.7789,86.1111,87.8778,136800
2019-06-21,86.1111,87.9189,85.1156,85.1156,45900
2019-06-24,86.1111,88.3811,85.7778,88.3811,114300
2019-06-25,87.8444,89,87.0344,88.0522,99000
2019-06-26,89,90.5156,88.8044,88.8044,199800
2019-06-27,88.32,88.6667,85.7922,87.2167,66600
2019-06-28,87.7889,87.9889,87.2711,87.4433,56700
2019-07-01,88.8889,90.2989,87.6667,90.2556,190800
2019-07-02,90.2344,90.8989,86.74,86.74,162900
2019-07-03,86.67,88.4178,86.67,87.8322,69300
2019-07-05,88.0989,89.2556,88.0556,88.8889,31500
2019-07-08,89.1333,90.41,88.3967,89.0222,108000
2019-07-09,87.8244,88.1433,87.2711,87.3411,43200
2019-07-10,88.8878,89.3878,87.6089,88.8944,44100
2019-07-11,90,90,87.9411,88.1111,64800
2019-07-12,89.1267,89.1267,87.6667,87.8044,40500
2019-07-15,87.2278,87.5678,87.2222,87.3333,36000
2019-07-16,86.7778,87.0456,85.6011,86.0922,44100
2019-07-17,85.4711,85.5556,85,85.0478,58500
2019-07-18,84.7356,84.78,83.89,84.7356,40500
2019-07-19,84.4444,85.4056,84.4444,84.6111,53100
2019-07-22,84.0022,86.2267,83.4522,84.3267,72900
2019-07-23,83.8889,84.1667,82.78,83.7778,88200
2019-07-24,78.4,84.0533,78.4,82.9111,63000
2019-07-25,83.7,84.1111,82.4433,83.0878,90900
2019-07-26,82.79,83.3333,82.3489,82.45,28800
2019-07-29,83.3333,83.3333,81.1489,83.1667,79200
2019-07-30,81.6744,84.4444,81.6667,84.4444,88200
2019-07-31,85.5367,90.1389,85.5367,88.5778,250200
2019-08-01,87.0544,87.0544,79.3622,80.8333,337500
2019-08-02,81.6667,81.6667,78,79.1111,125100
