Date,Open,High,Low,Close,Volume
2011-12-07,27.5,27.76,24,27.45,1413600
2011-12-08,26.06,27.78,25.76,26.55,719600
2011-12-09,27.93,28,26.7,27.91,716200
2011-12-12,28.28,28.28,27,27.45,393300
2011-12-13,28.53,28.53,27.01,27.5,452500
2011-12-14,28.19,28.19,26.85,27.12,444400
2011-12-15,27.87,29.1,27.6,28.33,1417600
2011-12-16,29.92,29.92,28,28.46,966700
2011-12-19,28.69,29.46,28.41,28.97,1048500
2011-12-20,29.5,30.62,29.47,30.25,2017200
2011-12-21,30,30,27.51,27.67,2871800
2011-12-22,27.12,27.6,23.99,24.53,6294100
2011-12-23,24.71,27.14,24.5,26.02,2744200
2011-12-27,25.36,26.1,24.63,25.94,2887400
2011-12-28,25.25,25.98,24.94,25.77,2098600
2011-12-29,25.54,25.66,24.79,24.82,2247300
2011-12-30,24.97,25.55,24.64,25.21,1798400
