Date,Open,High,Low,Close,Volume
2022-01-03,197.24,198.87,193.62,194.58,933500
2022-01-04,192.06,196.79,192.03,195.12,1082400
2022-01-05,196.64,197.87,187.16,187.48,1421400
2022-01-06,189.5,190.89,187.22,190.02,1077700
2022-01-07,190.5,192.32,187.94,191.58,975500
2022-01-10,190.29,190.85,185.22,189.21,1170700
2022-01-11,189.75,193.82,187.4,193.68,865800
2022-01-12,193,193,180.45,180.83,2838700
2022-01-13,181.45,182.3,176.86,177.31,1890400
2022-01-14,176.22,176.43,173.27,174.97,1766800
2022-01-18,173.29,173.79,169.27,170.76,2478800
2022-01-19,172.29,172.89,167.64,167.79,1560900
2022-01-20,169.91,171.54,164.19,164.79,1371800
2022-01-21,162.61,163.49,159.47,159.68,1978300
2022-01-24,155.24,159.94,150.69,159.32,3065100
2022-01-25,155.97,160,152.93,157.65,1607500
2022-01-26,160.15,162.81,155.18,156.62,2308100
2022-01-27,156.42,156.5,145.79,149.85,3511300
2022-01-28,149.47,150.07,143.64,149.81,2642600
2022-01-31,149.81,154.66,149.76,154.43,3252200
2022-02-01,154.24,156.42,152.45,155.75,2150000
2022-02-02,156.25,157.4,154.35,156.85,1625800
2022-02-03,152.9,154.18,147.68,147.97,2111200
2022-02-04,149.15,150.45,147.03,148.7,2080000
2022-02-07,149.49,154.24,148.27,151.84,3357300
2022-02-08,151.82,152.64,149.16,151.28,2694700
2022-02-09,153.73,156,152.94,153.26,2270500
2022-02-10,151.05,154.23,147.14,147.83,2720100
2022-02-11,148.78,149.47,143.44,144.25,2244300
2022-02-14,144.31,145.91,142.81,144.14,2057200
2022-02-15,146.8,148.7,145.94,146.58,1849500
2022-02-16,145.4,147.08,145.15,146.15,1423300
2022-02-17,144.52,146.01,142.82,143.42,2244000
2022-02-18,143.01,144.53,141.53,143.47,1785400
2022-02-22,142.74,145.18,141.28,142.21,1428000
2022-02-23,143.7,145.12,139.27,139.69,1659300
2022-02-24,135.45,143.5,134.13,142.74,2896800
2022-02-25,144.4,145.69,142.94,145.26,1790200
2022-02-28,142.54,145.11,141.75,144.56,1551900
2022-03-01,143.76,144.5,138.76,139.56,1934500
2022-03-02,141.38,143.97,140.31,142.98,1234200
2022-03-03,144.09,144.33,140.23,142.92,1319300
2022-03-04,141.57,141.8,137.76,138.75,2047100
2022-03-07,139.02,139.47,134.17,134.46,1963000
2022-03-08,134.39,138.84,133.07,134.88,1732700
2022-03-09,138.65,140.6,138.37,138.88,1653400
2022-03-10,136.91,139,135.1,138.58,1653300
2022-03-11,139.64,140.11,136.22,136.33,1237900
2022-03-14,136.63,138.91,135.55,136.94,1665900
2022-03-15,138.03,140.53,137.26,139.39,1774100
2022-03-16,141.89,146.9,141,145.15,2115100
2022-03-17,144.09,147.36,143.74,146.99,1977000
2022-03-18,146.77,148,145.24,146.75,5104600
2022-03-21,146.78,147.89,144.35,145.67,1252200
2022-03-22,146.73,149.76,146.12,149.44,1452600
2022-03-23,148.45,148.65,146.16,146.43,1089900
2022-03-24,147.37,148.96,145.7,148.77,936900
2022-03-25,149.32,150.66,147.88,148.92,973200
2022-03-28,148,150.34,147.57,150.27,1053600
2022-03-29,152.74,155.61,152.2,155,1261200
2022-03-30,155.15,155.96,152.24,153.1,1103200
2022-03-31,153.67,154.46,151.1,151.19,1752200
2022-04-01,152.4,153.54,151.67,152.86,1207700
