Date,Open,High,Low,Close,Volume
2019-01-02,16.362,16.802,16.172,16.446,7585500
2019-01-03,16.416,16.482,16.062,16.136,10809500
2019-01-04,16.4,16.686,16.18,16.468,10217500
2019-01-07,16.448,16.902,16.406,16.71,12700500
2019-01-08,16.826,16.912,16.486,16.7,10014000
2019-01-09,16.816,17.22,16.816,16.924,6544500
2019-01-10,16.716,16.94,16.464,16.934,6331000
2019-01-11,16.92,17.262,16.878,17.062,6023000
2019-01-14,16.938,17.504,16.906,17.182,12025500
2019-01-15,17.17,17.488,17.016,17.39,8319000
2019-01-16,17.382,17.63,17.36,17.426,6461000
2019-01-17,17.284,17.718,17.142,17.7,6077500
2019-01-18,17.806,18.028,17.742,17.896,6277000
2019-01-22,17.822,18.1,17.784,17.872,5847500
2019-01-23,18,18.018,17.604,17.804,5129500
2019-01-24,17.686,17.782,17.24,17.518,6618500
2019-01-25,17.676,17.928,17.628,17.92,7451500
2019-01-28,17.784,17.872,17.61,17.822,5962000
2019-01-29,17.9,18.05,17.69,17.98,5295000
2019-01-30,18.044,18.132,17.868,17.924,8871500
2019-01-31,17.288,17.514,16.524,17.08,33385000
2019-02-01,17.194,17.696,16.938,17.394,12705500
2019-02-04,17.384,17.778,17.2,17.772,7207000
2019-02-05,17.796,18.026,17.704,17.918,7713000
2019-02-06,17.918,18.226,17.708,18.206,6167500
2019-02-07,18.12,18.152,17.838,18.15,7866000
2019-02-08,18.04,18.53,17.99,18.464,9401500
2019-02-11,18.6,18.962,18.54,18.838,9177500
2019-02-12,18.906,19.148,18.85,19.112,8196500
2019-02-13,19.116,19.236,18.898,19.166,8218000
2019-02-14,19.05,19.26,18.9,19.156,7353000
2019-02-15,19.238,19.528,19.122,19.516,7288000
2019-02-19,19.32,19.472,19.07,19.414,6234000
2019-02-20,19.352,19.606,19.352,19.51,6023500
2019-02-21,19.492,19.606,19.332,19.402,4359000
2019-02-22,19.41,19.46,19.108,19.208,6575000
2019-02-25,19.306,19.344,18.912,18.96,4743500
2019-02-26,18.892,19.046,18.858,18.96,5228500
2019-02-27,18.944,19.182,18.868,19.072,5825000
2019-02-28,18.996,19.164,18.862,19.07,6788000
2019-03-01,19.174,19.272,18.702,18.992,6448000
2019-03-04,19.05,19.178,18.57,18.776,7906500
2019-03-05,18.802,18.986,18.692,18.702,3741500
2019-03-06,18.762,18.96,18.394,18.438,4610500
2019-03-07,18.414,18.516,18.32,18.446,4331500
2019-03-08,18.346,18.47,17.972,18.078,5876500
2019-03-11,18.178,18.182,17.74,17.904,7251500
2019-03-12,17.874,18.292,17.874,18.114,5907500
2019-03-13,18.176,18.378,18.13,18.304,5737500
2019-03-14,18.284,18.284,18.052,18.08,4753500
2019-03-15,18.08,18.17,17.84,17.892,10022000
2019-03-18,17.886,18.01,17.804,17.968,8100000
2019-03-19,18.066,18.434,18.004,18.232,5245500
2019-03-20,18.238,18.48,18.142,18.216,7044500
2019-03-21,18.37,18.91,18.252,18.87,6020500
2019-03-22,18.782,18.88,18.494,18.536,4480000
2019-03-25,18.482,19,18.482,18.81,4889000
2019-03-26,18.918,19.136,18.908,18.988,5214500
2019-03-27,18.986,19.16,18.796,18.962,6173000
2019-03-28,18.972,19.17,18.972,19.048,5558500
2019-03-29,19.176,19.716,19.078,19.552,9793000
2019-04-01,19.632,19.848,19.322,19.498,9895000
2019-04-02,19.502,19.544,19.336,19.432,5423000
2019-04-03,19.512,19.828,19.408,19.616,6812000
2019-04-04,19.62,19.92,19.574,19.918,5619500
2019-04-05,19.94,20.294,19.928,20.226,8780000
2019-04-08,20.14,20.382,20.03,20.334,6224000
2019-04-09,20.276,20.39,20.148,20.186,4676000
2019-04-10,20.24,20.27,20.006,20.234,4879000
2019-04-11,20.39,20.602,20.28,20.59,5791500
2019-04-12,20.652,20.948,20.622,20.85,6430500
2019-04-15,20.794,20.984,20.678,20.898,7711000
2019-04-16,20.852,21.164,20.852,21.036,8118000
2019-04-17,21.122,21.216,20.77,20.78,6239000
2019-04-18,20.75,20.89,20.486,20.618,7037000
2019-04-22,20.608,20.64,20.256,20.326,4579000
2019-04-23,20.444,20.712,20.358,20.634,5918000
2019-04-24,20.678,21.018,20.65,20.812,7492500
2019-04-25,20.96,21.596,20.786,21.012,19157000
2019-04-26,21.02,21.134,20.504,21.026,9300500
2019-04-29,21.052,21.17,20.786,20.938,5965000
2019-04-30,20.84,20.922,20.512,20.7,6919500
2019-05-01,20.72,20.76,20.122,20.194,4551500
2019-05-02,20.19,20.608,20.136,20.606,7348000
2019-05-03,20.644,20.952,20.596,20.774,7866000
2019-05-06,20.438,20.694,20.364,20.618,4463500
2019-05-07,20.392,20.456,19.988,20.13,5535000
2019-05-08,20.074,20.468,19.904,20.298,6628500
2019-05-09,20.176,20.578,20.002,20.496,5824500
2019-05-10,20.42,20.612,20.208,20.544,7538500
2019-05-13,20.192,20.322,19.722,19.856,7200000
2019-05-14,19.924,20.19,19.734,20.132,6020500
2019-05-15,19.96,20,19.62,19.852,7250000
2019-05-16,20.004,20.342,19.888,20.208,5426000
2019-05-17,20.108,20.36,20.05,20.136,5350500
2019-05-20,19.99,20.282,19.912,20.254,7195000
2019-05-21,20.326,20.828,20.308,20.706,5500500
2019-05-22,20.568,20.724,20.468,20.58,5280000
2019-05-23,20.386,20.618,20.212,20.406,5968000
2019-05-24,20.406,20.506,20.096,20.228,6027500
2019-05-28,20.268,20.57,20.03,20.04,7346500
2019-05-29,19.92,20.028,19.642,19.854,5982500
2019-05-30,19.924,20.178,19.924,20.154,3039000
2019-05-31,19.932,20.214,19.71,20.156,6141500
2019-06-03,20.142,20.4,20.02,20.246,5183500
2019-06-04,20.452,20.836,20.452,20.828,5594000
2019-06-05,20.998,21.106,20.716,20.936,5042500
2019-06-06,20.994,21.576,20.922,21.454,7098500
2019-06-07,21.528,21.934,21.482,21.714,5455500
2019-06-10,21.904,21.934,21.402,21.428,5306000
2019-06-11,21.536,21.616,21.29,21.466,5263500
2019-06-12,21.498,21.67,21.338,21.456,3579000
2019-06-13,21.602,21.79,21.502,21.632,3727500
2019-06-14,21.65,21.726,21.196,21.228,8430000
2019-06-17,21.144,21.18,20.6,20.824,6606500
2019-06-18,20.956,21.144,20.788,21.014,4595000
2019-06-19,20.818,21.358,20.818,21.248,6008000
2019-06-20,21.31,21.458,21.048,21.354,5157500
2019-06-21,21.39,21.432,21.154,21.352,5305500
2019-06-24,21.536,21.594,21.32,21.372,4198500
2019-06-25,21.394,21.492,21.194,21.326,4290000
2019-06-26,21.368,21.578,21.288,21.34,4075500
2019-06-27,21.358,21.75,21.2,21.64,5864500
2019-06-28,21.698,21.832,21.53,21.76,5664000
2019-07-01,21.986,22.476,21.88,22.122,4873500
2019-07-02,22.15,22.278,21.992,22.104,5274000
2019-07-03,21.882,22.006,21.682,22,4854500
2019-07-05,21.894,22.156,21.804,22.094,4063000
2019-07-08,22.006,22.17,22.002,22.074,3333000
2019-07-09,22.062,22.21,21.868,22.02,4067500
2019-07-10,22.058,22.06,21.656,21.864,3807500
2019-07-11,22.124,22.25,21.92,22.104,5836000
2019-07-12,22.228,22.708,22.186,22.594,4477500
2019-07-15,22.584,22.628,22.144,22.292,4167500
2019-07-16,22.6,22.644,22.434,22.462,4881000
2019-07-17,22.432,22.436,22.192,22.222,4344500
2019-07-18,22.206,22.532,22,22.446,6930000
2019-07-19,22.582,22.85,22.348,22.494,6369000
2019-07-22,22.53,22.838,22.404,22.55,5750500
2019-07-23,22.596,22.636,21.966,22.27,7272000
2019-07-24,22.236,22.604,22.182,22.498,7005000
2019-07-25,21,22.366,21,22.294,14097000
2019-07-26,22.406,22.46,21.886,21.99,7279500
2019-07-29,21.976,22.19,21.842,22.09,5487000
2019-07-30,21.98,22.13,21.792,21.85,4077500
2019-07-31,21.816,22.084,21.59,21.762,6436000
2019-08-01,21.808,21.976,21.316,21.592,6771000
2019-08-02,21.538,21.62,21.314,21.412,5334500
2019-08-05,21.118,21.146,20.39,20.55,7602500
2019-08-06,20.634,21.186,20.538,21.142,5701500
2019-08-07,20.904,21.21,20.742,21.136,4632000
2019-08-08,21.186,21.904,21.138,21.816,5464000
2019-08-09,21.704,22.084,21.486,21.516,4661500
2019-08-12,21.372,21.372,20.422,20.504,7461000
2019-08-13,20.568,21.21,20.262,20.848,6216000
2019-08-14,20.442,20.578,19.952,19.968,6207500
2019-08-15,19.998,20.156,19.72,19.872,6857500
2019-08-16,20.026,20.25,19.94,20.11,5393000
2019-08-19,20.35,20.424,19.934,20.242,6875500
2019-08-20,20.184,20.474,20.106,20.174,4329500
2019-08-21,20.396,20.544,20.238,20.264,4575000
2019-08-22,20.286,20.466,20.122,20.29,4210000
2019-08-23,20.018,20.02,19.186,19.372,10138500
2019-08-26,19.52,19.78,19.406,19.772,5618000
2019-08-27,19.856,19.978,19.79,19.88,6354500
2019-08-28,19.796,20.496,19.764,20.446,6986500
2019-08-29,20.716,20.9,20.566,20.824,5000500
2019-08-30,21.09,21.1,20.282,20.376,4802000
2019-09-03,20.14,20.4,19.848,20.038,6439500
2019-09-04,20.12,20.202,19.834,20.06,5622500
2019-09-05,20.29,20.682,20.13,20.596,7330500
2019-09-06,20.744,20.998,20.666,20.708,10181500
2019-09-09,20.764,20.87,20.378,20.516,8780000
2019-09-10,20.488,21.282,20.352,21.278,6313500
2019-09-11,21.218,21.222,20.716,20.77,4911000
2019-09-12,20.878,20.9,19.754,19.868,10580000
2019-09-13,20.008,20.038,19.384,19.42,11228500
2019-09-16,19.366,19.582,19.07,19.132,8046500
2019-09-17,19.122,19.454,18.93,19.236,6268000
2019-09-18,19.202,19.34,18.506,18.71,11174000
2019-09-19,18.738,18.77,18.36,18.416,8723000
2019-09-20,18.27,18.502,18.05,18.078,10870000
2019-09-23,18.02,18.692,18.018,18.432,7367000
2019-09-24,18.368,18.582,18.182,18.276,4640500
2019-09-25,18.274,18.34,17.968,18.122,5756000
2019-09-26,17.97,18.094,17.682,17.792,8983500
2019-09-27,17.926,18,17.736,17.802,6878500
2019-09-30,17.866,18.2,17.866,18.088,8801500
2019-10-01,18.362,18.404,17.832,17.96,7281000
2019-10-02,18.03,18.212,17.814,18.114,13567000
2019-10-03,18.142,18.662,18.056,18.632,14012500
2019-10-04,18.602,18.868,18.5,18.622,6767000
2019-10-07,18.614,18.794,18.374,18.41,8483000
2019-10-08,18.454,18.71,18.13,18.414,11439500
2019-10-09,18.476,18.79,18.476,18.598,6225000
2019-10-10,18.51,18.702,18.492,18.624,5408500
2019-10-11,18.854,19.064,18.7,18.862,8721500
2019-10-14,18.812,18.908,18.57,18.75,3592000
2019-10-15,18.662,18.818,18.532,18.758,5507000
2019-10-16,18.746,18.948,18.678,18.69,6225500
2019-10-17,18.824,18.858,18.54,18.58,7461500
2019-10-18,18.48,18.778,18.418,18.664,11071500
2019-10-21,18.798,18.798,18.442,18.488,7390000
2019-10-22,18.494,18.93,18.398,18.828,5917500
2019-10-23,18.802,19.06,18.63,19.024,13878000
2019-10-24,19.592,19.77,18.986,19.6,19102000
2019-10-25,19.41,19.538,19.12,19.292,9554500
2019-10-28,19.392,19.53,19.104,19.142,4977500
2019-10-29,19.046,19.104,18.786,19.092,7166500
2019-10-30,19.058,19.426,19.052,19.402,5564500
2019-10-31,19.336,19.354,18.892,19.004,5840000
2019-11-01,19.142,19.178,19.026,19.156,4129000
2019-11-04,19.242,19.488,19.172,19.32,5762500
2019-11-05,19.392,19.64,19.302,19.514,4840000
2019-11-06,19.47,19.512,19.018,19.186,4973000
2019-11-07,19.206,19.406,18.952,18.98,5413000
2019-11-08,18.952,19.038,18.806,18.964,3983000
2019-11-11,18.944,19.304,18.86,19.29,4285000
2019-11-12,19.226,19.334,19.022,19.326,4437000
2019-11-13,19.236,19.618,19.032,19.386,5159500
2019-11-14,19.404,19.656,19.04,19.512,4282500
2019-11-15,19.5,19.744,19.5,19.698,6713000
2019-11-18,19.662,19.796,19.33,19.56,5276500
2019-11-19,19.534,19.548,19.274,19.308,6376000
2019-11-20,19.302,19.394,19.08,19.372,4556500
2019-11-21,19.354,19.6,19.322,19.36,6013000
2019-11-22,19.332,19.47,19.232,19.442,4554500
2019-11-25,19.58,19.642,19.088,19.142,10006500
2019-11-26,19.1,19.46,19.062,19.18,8500500
2019-11-27,19.2,19.26,19.012,19.098,2855500
2019-11-29,19.062,19.088,18.842,18.888,3898500
2019-12-02,18.98,19.238,18.906,19.156,6205000
2019-12-03,18.928,19.166,18.712,18.93,5706000
2019-12-04,18.98,19.308,18.98,19.144,4206500
2019-12-05,19.306,19.712,19.254,19.288,6030000
2019-12-06,19.51,19.662,19.238,19.5,4718000
2019-12-09,19.414,19.874,19.414,19.506,6491000
2019-12-10,19.614,19.644,19.416,19.44,4243000
2019-12-11,19.43,19.596,19.324,19.406,3302000
2019-12-12,19.404,19.724,19.31,19.654,4780500
2019-12-13,19.644,19.696,18.984,18.986,5475000
2019-12-16,19.05,19.122,18.726,18.744,6930000
2019-12-17,18.688,18.886,18.612,18.69,10079500
2019-12-18,18.786,18.818,18.402,18.622,6709000
2019-12-19,18.504,18.594,18.33,18.362,6499000
2019-12-20,18.504,18.666,18.328,18.434,12674500
2019-12-23,18.472,18.614,18.37,18.428,4270500
2019-12-24,18.472,18.79,18.452,18.712,2054000
2019-12-26,18.73,18.812,18.434,18.496,5615500
2019-12-27,18.618,18.724,18.434,18.46,5731000
2019-12-30,18.464,18.692,18.374,18.58,6072500
2019-12-31,18.542,18.752,18.504,18.688,4470500
