Date,Open,High,Low,Close,Volume
2022-01-03,382.5833,400.3567,378.68,399.9267,103931400
2022-01-04,396.5167,402.6667,374.35,383.1967,100248300
2022-01-05,382.2167,390.1133,360.3367,362.7067,80119800
2022-01-06,359,362.6667,340.1667,354.9,90336600
2022-01-07,360.1233,360.31,336.6667,342.32,84164700
2022-01-10,333.3333,353.0333,326.6667,352.7067,91815000
2022-01-11,351.2233,358.6167,346.2733,354.8,66063300
2022-01-12,359.6167,371.6133,357.53,368.74,83739000
2022-01-13,369.69,371.8667,342.18,343.8533,97209900
2022-01-14,339.96,350.6667,337.7933,349.87,72924300
2022-01-18,342.2033,356.93,338.6867,343.5033,66743400
2022-01-19,347.2367,351.5567,331.6667,331.8833,75442500
2022-01-20,336.5767,347.22,331.3333,332.09,70488600
2022-01-21,332.1133,334.85,313.5,314.6333,103416000
2022-01-24,301.5867,311.17,283.8233,310,151565700
2022-01-25,304.7333,317.0867,301.07,306.1333,86595900
2022-01-26,317.4767,329.23,302,312.47,104867400
2022-01-27,311.12,311.7967,276.3333,276.3667,147109500
2022-01-28,277.1867,285.8333,264.0033,282.1167,134789100
2022-01-31,290.9033,312.6633,287.35,312.24,104436000
2022-02-01,311.7367,314.5667,301.6667,310.4167,73138200
2022-02-02,309.3933,310.5,296.47,301.8867,66792900
2022-02-03,294,312.3333,293.5067,297.0467,78855600
2022-02-04,299.0733,312.1667,293.7233,307.7733,73625400
2022-02-07,307.93,315.9233,300.9033,302.4467,60994500
2022-02-08,301.8433,308.7633,298.2667,307.3333,50729100
2022-02-09,311.6667,315.4233,306.6667,310.6667,52259400
2022-02-10,302.79,314.6033,298.9,301.5167,66126900
2022-02-11,303.21,305.32,283.5667,286.6667,79645800
2022-02-14,287.19,299.6267,284.3833,291.92,67756500
2022-02-15,300,307.6667,297.7933,307.4767,57286200
2022-02-16,304.6833,308.81,300.4033,307.7967,51294300
2022-02-17,304.42,306.1667,291.3667,292.1167,55178400
2022-02-18,295.3333,295.6233,279.2033,285.66,68501700
2022-02-22,278.0433,285.5767,267.0333,273.8433,83288100
2022-02-23,276.81,278.4333,253.52,254.68,95256900
2022-02-24,233.4633,267.4933,233.3333,266.9233,135322200
2022-02-25,269.7433,273.1667,260.8,269.9567,76067700
2022-02-28,271.67,292.2867,271.57,290.1433,99006900
2022-03-01,289.8933,296.6267,284.5933,288.1233,74766900
2022-03-02,290.71,295.4933,281.4233,293.2967,74643300
2022-03-03,292.9233,295.48,277.5333,279.7633,61623600
2022-03-04,283.0333,285.2167,275.0533,279.43,66999600
2022-03-07,285.4333,288.7133,268.19,268.1933,72494100
2022-03-08,265.1767,283.33,260.7233,274.8,80399100
2022-03-09,279.8267,286.8533,277.3367,286.3233,59184000
2022-03-10,283.8167,284.8167,270.12,279.4333,58648500
2022-03-11,280.0667,281.2667,264.59,265.1167,67037100
2022-03-14,260.2033,266.9,252.0133,255.4567,71152200
2022-03-15,258.4233,268.5233,252.19,267.2967,66841200
2022-03-16,269.6667,280.6667,267.42,280.0767,84028800
2022-03-17,276.9967,291.6667,275.24,290.5333,66582900
2022-03-18,291.4967,302.6167,289.13,301.7967,100414200
2022-03-21,304.9933,314.2833,302.3633,307.0533,81981600
2022-03-22,310,332.62,307.25,331.3267,105868500
2022-03-23,326.6467,346.9,325.4667,333.0367,120676200
2022-03-24,336.5767,341.4967,329.6,337.9733,68920800
2022-03-25,336,340.6,332.44,336.88,62031600
2022-03-28,355.0333,365.96,351.2,363.9467,102506100
2022-03-29,369.33,371.59,357.7033,366.5233,73614900
2022-03-30,363.7233,371.3167,361.3333,364.6633,59865000
2022-03-31,364.8567,367.7133,358.88,359.2,48992700
2022-04-01,360.3833,364.9167,355.5467,361.53,54263100
2022-04-04,363.1267,383.3033,357.51,381.8167,82035900
2022-04-05,378.7667,384.29,362.4333,363.7533,80075100
2022-04-06,357.8233,359.6667,342.5667,348.5867,89348400
2022-04-07,350.7967,358.8633,340.5133,352.42,79447200
2022-04-08,347.7367,349.48,340.8133,341.83,55013700
2022-04-11,326.8,336.1567,324.88,325.31,59357100
2022-04-12,332.5467,340.3967,325.5333,328.9833,65976000
2022-04-13,327.0267,342.08,324.3667,340.79,55121100
2022-04-14,333.0967,337.57,327.3967,328.3333,58422300
2022-04-18,329.6767,338.3067,324.47,334.7633,51715200
2022-04-19,335.02,344.98,331.7767,342.7167,49847700
2022-04-20,343.3333,344.6667,325.0833,325.7333,70711200
2022-04-21,358.2433,364.0733,332.14,336.26,105416400
2022-04-22,338.3033,344.95,331.3333,335.0167,69696600
2022-04-25,326.3233,336.2067,325.1,332.6733,68341200
2022-04-26,331.81,333.3333,291.6667,292.14,136133700
2022-04-27,299.5267,306,292.4533,293.8367,76956300
2022-04-28,299.9933,300,273.9,292.5033,124948500
2022-04-29,300.75,311.4667,290,290.2533,88133100
2022-05-02,286.9233,302.12,282.6767,300.98,75781500
2022-05-03,301.06,308.0267,296.1967,303.0833,63709500
2022-05-04,301.3133,318.5,295.0933,317.54,81643800
2022-05-05,313.0067,315.2,285.9,291.0933,92519100
2022-05-06,295.6667,296,281.0367,288.55,72903000
2022-05-09,278.8167,281.8767,260.3833,262.37,90810300
2022-05-10,273.1033,275.12,258.0833,266.68,84401700
2022-05-11,265,269.9233,242.4,244.6667,97224600
2022-05-12,233.6667,253.22,226.6667,242.6667,140313000
2022-05-13,257.8267,262.45,250.5233,256.53,92150700
2022-05-16,255.72,256.5867,239.6967,241.4567,86098500
2022-05-17,249.12,254.8267,242.95,253.87,80236200
2022-05-18,248.1733,253.5,233.6033,236.6033,87811800
2022-05-19,235.6667,244.6667,231.37,236.4733,90296700
2022-05-20,237.9967,240.5267,211,221.3,144973200
2022-05-23,218.34,226.6533,212.6867,224.9667,88903500
2022-05-24,217.8433,217.9733,206.8567,209.3867,89092500
2022-05-25,207.95,223.1067,207.67,219.6,92139300
2022-05-26,220.4733,239.5567,217.8867,235.91,106003200
2022-05-27,241.0833,253.2667,240.1767,253.21,89295000
2022-05-31,257.9467,259.6,244.7433,252.7533,101914500
2022-06-01,251.72,257.3267,243.64,246.79,77247900
2022-06-02,244.1567,264.21,242.0667,258.3333,93473100
2022-06-03,243.2267,247.7967,233.4167,234.5167,112393800
2022-06-06,244.3533,244.8667,234.35,238.28,84204600
2022-06-07,234,239.9967,230.0933,238.8867,72808500
2022-06-08,240.0867,249.9633,239.1767,241.8667,76210500
2022-06-09,249.34,255.5467,239.3267,239.7067,96491400
2022-06-10,235.1567,239.5,227.9133,232.23,97536600
2022-06-13,223.1667,226.6333,214.6833,215.7367,102767400
2022-06-14,218.2867,226.33,211.7367,220.89,97988700
2022-06-15,220.9167,235.6633,218.15,233,119131800
2022-06-16,222.7367,225.1667,208.6933,213.1,107390700
2022-06-17,213.4333,220.97,213.1967,216.76,92641800
2022-06-21,224.6033,243.5767,224.3333,237.0367,122793000
2022-06-22,234.5033,246.8333,233.8267,236.0867,101107500
2022-06-23,237.9067,239.3167,228.6367,235.07,104202600
2022-06-24,237.47,246.0667,236.0867,245.7067,95770800
2022-06-27,249.3667,252.07,242.5667,244.92,89178300
2022-06-28,244.4833,249.97,232.3433,232.6633,90391200
2022-06-29,230.5,231.1733,222.2733,228.49,82897200
2022-06-30,224.51,229.4567,218.8633,224.4733,94600500
2022-07-01,227,230.23,222.12,227.2633,74460300
2022-07-05,223,233.1467,216.1667,233.0667,84581100
2022-07-06,230.78,234.5633,227.1867,231.7333,71853600
2022-07-07,233.92,245.3633,232.21,244.5433,81930600
2022-07-08,242.3333,254.98,241.16,250.7633,101854200
2022-07-11,252.1033,253.0633,233.6267,234.3433,99241200
2022-07-12,236.8467,239.7733,228.37,233.07,87930900
2022-07-13,225.5,242.06,225.0333,237.04,97954500
2022-07-14,234.8967,238.6533,229.3333,238.3133,78557400
2022-07-15,240,243.6233,236.89,240.0667,69683100
2022-07-18,244.9367,250.5167,239.6033,240.5467,82537500
2022-07-19,245,247.14,236.9767,245.53,80890200
2022-07-20,246.7833,250.6633,243.4833,247.5,88864200
2022-07-21,255.1067,273.2667,254.8667,271.7067,142032300
2022-07-22,276.22,280.7867,270.7133,272.2433,103472700
2022-07-25,272.2167,274.1467,267.4,268.4333,64073400
2022-07-26,266.5133,267.31,256.2633,258.86,66820800
2022-07-27,263.81,275.9267,261.79,274.82,88110000
2022-07-28,280.0667,283.3,272.8,280.9,84723000
2022-07-29,280.7,298.32,279.1,297.15,95313000
2022-08-01,301.2767,311.8767,295,297.2767,117042900
2022-08-02,294.0033,307.8333,292.6667,300.5867,95577600
2022-08-03,305,309.55,301.15,307.3967,80091000
2022-08-04,311,313.6067,305,308.6333,72256200
2022-08-05,302.67,304.6067,285.5433,288.17,113172900
