Date,Open,High,Low,Close,Volume
2021-01-04,64.55,64.65,62.66,63.5,2177400
2021-01-05,63.2,64.11,62.89,63.45,2297100
2021-01-06,63.7,65.8,63.69,65.36,1942200
2021-01-07,65.46,65.57,63.84,64.61,2969400
2021-01-08,65,65.01,63.51,64.03,2672400
2021-01-11,64,65,63.8,64.77,2021800
2021-01-12,65.02,65.81,63.64,64.01,3261500
2021-01-13,63.7,64.75,63.35,64.09,2496400
2021-01-14,64.46,65.22,64.01,64.76,1720100
2021-01-15,64.73,65.15,63.85,64.75,1653600
2021-01-19,65.23,65.33,63.51,63.9,2639000
2021-01-20,64.6,66.57,64.25,66.25,2788100
2021-01-21,66.39,67.46,65.74,65.9,2040300
2021-01-22,65.88,67.07,65.5,66.52,1911000
2021-01-25,66.32,67.25,65.95,66.6,1755800
2021-01-26,66.65,67.1,65.34,66.57,1609100
2021-01-27,65.79,66.64,64.35,64.78,2227600
2021-01-28,64.55,65.42,64.54,64.96,1391200
2021-01-29,64.49,64.78,63.15,64.31,3402200
2021-02-01,64.56,64.85,62.59,64.19,1917900
2021-02-02,64.5,64.76,63.05,64.22,2028300
2021-02-03,64.45,65.9,64.09,65.47,1597200
2021-02-04,65.51,66.44,65.36,66.22,1324900
2021-02-05,66.44,67.16,66.02,66.18,1667600
2021-02-08,68,69.14,67.57,67.95,2478200
2021-02-09,68.03,69.85,68.03,69.5,2515700
2021-02-10,69.88,70.57,68.64,69.28,3334000
2021-02-11,65,66.38,63.22,65.34,6044200
2021-02-12,65.09,66.41,64.76,65.56,2705000
2021-02-16,66,66.04,64.8,65.67,2594400
2021-02-17,65.6,67.66,65.38,67.22,2260100
2021-02-18,67.26,68.38,67.1,67.63,1907700
2021-02-19,67.78,68.2,67.23,67.52,1673200
2021-02-22,67.83,68.99,67.53,68.36,1832300
2021-02-23,68.78,69.05,67.92,68.19,2031100
2021-02-24,68.35,69.38,68.29,68.87,1379200
2021-02-25,68.85,69.51,67.43,68.31,1667800
2021-02-26,68.19,68.53,67.32,67.67,2087800
2021-03-01,68.28,69.19,68.28,68.54,1614400
2021-03-02,68.86,69.25,68.26,68.68,1811000
2021-03-03,69,70.61,68.69,69.96,2573800
2021-03-04,70.28,72.95,69.77,72.19,4588300
2021-03-05,72.26,73.79,71.51,72.71,3362900
2021-03-08,73.47,74.38,72.77,73.69,2851000
2021-03-09,73.48,73.97,72.11,72.39,3763500
2021-03-10,72.79,74.52,72.22,74.05,2146500
2021-03-11,73,75.11,73,73.98,2469400
2021-03-12,74.5,75.99,74.38,75.51,1506300
2021-03-15,75.6,76.82,75.48,76.58,2337000
2021-03-16,75.86,76.99,75.5,76.26,2025700
2021-03-17,76.76,76.8,75.85,76.38,1682000
2021-03-18,76.43,78.14,76.37,76.93,1793100
2021-03-19,76.47,77.27,76.21,76.75,5884500
2021-03-22,76.36,76.43,74.87,75.47,1976700
2021-03-23,75.62,75.63,73.07,73.41,2267400
2021-03-24,73.11,74.38,72.71,73.57,1736800
2021-03-25,73.92,75.43,72.87,75.35,2099700
2021-03-26,75.3,76.13,74.36,75.98,1671800
2021-03-29,75.99,76.75,75.67,76.4,1439900
2021-03-30,76.49,76.87,75.74,75.95,1439400
2021-03-31,75.68,76.04,74.28,74.3,2346900
2021-04-01,74.18,75.2,73.31,74.87,1985800
2021-04-05,75,75.46,74.13,74.62,1832300
2021-04-06,74.63,76.22,74.53,75.89,1856700
2021-04-07,76.17,76.73,75.29,75.72,1755400
2021-04-08,75.31,76.37,74.87,76.33,1349100
2021-04-09,76.54,76.92,75.97,76.56,1547200
2021-04-12,76.76,77.73,76.7,77.56,1431300
2021-04-13,77.29,77.54,76.7,76.97,1415100
2021-04-14,77.41,78.5,77.39,78.26,1726900
2021-04-15,78.48,78.9,78.06,78.3,1390900
2021-04-16,78.68,79.15,78.38,78.92,1264800
2021-04-19,79.13,79.27,77.95,78.55,1067400
2021-04-20,78.68,79.28,78.14,78.53,1486500
2021-04-21,78.7,79.69,78.4,79.58,1064200
2021-04-22,79.41,79.77,78.56,79.04,1742600
2021-04-23,78.78,79.26,78.52,78.7,1319400
2021-04-26,78.87,78.87,77.85,77.95,1156400
2021-04-27,77.79,77.85,76.37,76.69,2474900
2021-04-28,77.1,77.66,76.98,77.33,1229300
2021-04-29,77.53,77.94,76.88,77.3,1774800
2021-04-30,77.49,77.7,76.89,77.45,1847300
2021-05-03,77.76,79.05,77.74,78.5,2105200
2021-05-04,78.32,78.82,77.06,77.78,2797400
2021-05-05,77.75,78.12,76.91,77.87,2746300
2021-05-06,78.25,78.65,77.92,78.39,1973700
2021-05-07,77.77,78.93,77.68,78.82,3070200
2021-05-10,76.35,79.38,76,78.82,3637600
2021-05-11,78.3,79.45,77.43,79.44,2751000
2021-05-12,79.62,80.71,78.81,79.16,2824300
2021-05-13,79.05,80.84,78.85,80.56,1954400
2021-05-14,81.02,81.79,80.28,80.34,1391200
2021-05-17,80.67,80.99,80.03,80.61,1296100
2021-05-18,80.47,81.02,79.82,79.86,1077000
2021-05-19,79.88,79.97,78.43,79.64,2206400
2021-05-20,79.89,81.25,79.74,80.58,2601300
2021-05-21,80.77,81.49,80.2,80.69,1714900
2021-05-24,80.83,81.17,80.55,80.56,899600
2021-05-25,80.55,80.71,79.91,80.21,1207600
2021-05-26,80.27,80.37,79.22,79.6,1741700
2021-05-27,80.08,81.31,79.35,79.51,2281800
2021-05-28,79.44,80.1,79.3,79.5,1453100
2021-06-01,79.76,80.31,79.3,80.1,2194200
2021-06-02,80.5,80.99,79.67,80.27,1901200
2021-06-03,79.98,80.18,78.25,79.17,2136200
2021-06-04,79.26,79.52,78.33,78.65,1461000
2021-06-07,78.57,78.97,77.65,78.33,1401300
2021-06-08,78.23,78.49,77.52,78.32,1869500
2021-06-09,77.98,78,77.31,77.4,1415500
2021-06-10,77.58,77.65,76.92,76.94,1189200
2021-06-11,77.14,77.4,76.61,77.37,1306900
2021-06-14,77.15,77.5,76.49,77.35,1204000
2021-06-15,77.5,77.76,75.65,75.72,1643700
2021-06-16,75.69,75.8,74.46,74.64,1941900
2021-06-17,74.64,74.86,73.47,73.88,2285600
2021-06-18,73.38,73.41,72.19,72.76,3017900
2021-06-21,73,73.62,72.72,73.57,1591900
2021-06-22,73.91,74.84,73.69,74.21,2017000
2021-06-23,74.39,74.5,73.82,73.83,1067800
2021-06-24,73.67,74.47,73.26,74.28,1873900
2021-06-25,74.3,74.56,73.63,74.5,1653600
2021-06-28,74.56,74.79,73.33,73.6,1337600
2021-06-29,73.83,74.21,73.16,73.32,1279000
2021-06-30,73.4,73.85,73.11,73.76,1423700
2021-07-01,73.93,74.46,73.65,73.84,1298000
2021-07-02,73.88,73.96,73.33,73.62,1047400
2021-07-06,73.02,73.3,72.64,73.03,1911300
2021-07-07,72.83,73.81,72.6,73.39,1531000
2021-07-08,72.76,73.07,72.31,72.64,1364100
2021-07-09,72.98,73.77,72.98,73.55,1430900
2021-07-12,73.33,73.5,72.11,72.55,1624100
2021-07-13,72.67,73.16,71.61,71.77,1518200
2021-07-14,71.86,72,70.68,71.17,2256900
2021-07-15,70.75,71.85,70.66,71.77,1478200
2021-07-16,72.09,72.24,71.29,71.4,1475200
2021-07-19,70.71,71.35,70.09,70.92,1750100
2021-07-20,71,72.18,70.82,71.34,1756900
2021-07-21,71.76,71.89,71.28,71.47,1374100
2021-07-22,71.2,71.22,69.88,70.72,1436000
2021-07-23,70.88,71.56,70.55,71.32,1278100
2021-07-26,71.06,71.68,70.98,71.25,1699800
2021-07-27,71.09,71.99,70.91,71.77,2789100
2021-07-28,71.89,71.95,70.73,71.61,1102600
2021-07-29,72.16,72.6,71.83,71.92,1238300
2021-07-30,71.97,72.34,71.4,71.46,1692700
2021-08-02,71.77,72.54,71.37,71.75,1817100
2021-08-03,71.85,72.26,71.19,71.71,1981400
2021-08-04,71.24,71.33,70.09,70.36,1634500
2021-08-05,70.71,70.87,70.04,70.14,1426100
2021-08-06,70.6,71.36,70.5,71.12,1369300
2021-08-09,75,77.44,74,77.3,5240600
2021-08-10,77.59,79.78,77.55,79.55,3303400
2021-08-11,79.95,80.26,79.03,80.18,2132700
2021-08-12,80.13,80.6,79.36,80.04,2207900
2021-08-13,80.62,82.45,80.41,81.91,2690900
2021-08-16,81.87,81.87,80.52,81.11,1651000
2021-08-17,80.71,81.29,80.24,80.76,1183100
2021-08-18,80.76,81.11,80.03,80.15,1998700
2021-08-19,79.86,81.35,79.34,80.29,1609000
