Date,Open,High,Low,Close,Volume
2018-01-02,4.569,4.671,4.545,4.641,6902000
2018-01-03,4.641,4.866,4.59,4.791,8218000
2018-01-04,4.843,4.859,4.7152,4.765,5647000
2018-01-05,4.81,4.889,4.75,4.835,5841000
2018-01-08,4.85,4.878,4.719,4.787,5727000
2018-01-09,4.801,4.875,4.729,4.742,4435000
2018-01-10,4.767,4.8459,4.673,4.79,5736000
2018-01-11,4.819,4.982,4.739,4.896,8776000
2018-01-12,4.899,4.999,4.812,4.913,8488000
2018-01-16,4.965,5,4.818,4.833,9061000
2018-01-17,4.877,4.966,4.845,4.948,5172000
2018-01-18,4.95,5.025,4.825,4.836,8649000
2018-01-19,4.918,4.9869,4.69,4.736,14905000
2018-01-22,4.757,4.889,4.692,4.865,7145000
2018-01-23,4.877,4.979,4.8019,4.94,5765000
2018-01-24,4.975,5.047,4.817,4.88,8770000
2018-01-25,4.916,4.979,4.871,4.948,4753000
2018-01-26,4.983,5.1949,4.955,5.124,8967000
2018-01-29,5.144,5.149,4.95,5.055,6139000
2018-01-30,4.959,5,4.847,4.869,7174000
2018-01-31,4.911,4.9365,4.762,4.848,7744000
2018-02-01,4.786,4.8185,4.343,4.583,23680000
2018-02-02,4.597,4.7365,4.522,4.676,16993000
2018-02-05,4.584,4.696,4.5,4.51,8309000
2018-02-06,4.404,4.593,4.355,4.547,11596000
2018-02-07,4.52,4.5612,4.417,4.42,11578000
2018-02-08,4.451,4.499,4.303,4.334,5844000
2018-02-09,4.364,4.417,4.07,4.28,9703000
2018-02-12,4.385,4.433,4.209,4.388,7762000
2018-02-13,4.376,4.536,4.362,4.522,7144000
2018-02-14,4.498,4.7905,4.436,4.721,11445000
2018-02-15,4.739,4.844,4.692,4.831,5516000
2018-02-16,4.818,4.911,4.771,4.841,4919000
2018-02-20,4.8,5.039,4.8,5.02,9635000
2018-02-21,5.026,5.174,4.964,4.981,9964000
2018-02-22,4.997,5.094,4.8,4.84,18809000
2018-02-23,5.475,6.019,5.4691,5.994,62295000
2018-02-26,5.99,6.093,5.638,5.737,21588000
2018-02-27,5.687,5.758,5.5545,5.556,11974000
2018-02-28,5.577,5.6944,5.505,5.626,10046000
