Date,Open,High,Low,Close,Volume
2019-01-02,100.24,104.52,99.04,104.01,1947400
2019-01-03,102.4,103,99.11,99.15,2301100
2019-01-04,101.13,103.76,99.66,101.7,3610800
2019-01-07,101.5,104.94,99.29,104.41,2501900
2019-01-08,106.21,109.45,105.25,107.92,2402200
2019-01-09,108.7,109.58,107.19,107.46,1765800
2019-01-10,106.63,110.43,106.2,110,1637200
2019-01-11,109.53,111.69,107.8,109.03,1840300
2019-01-14,108.29,108.5,104.37,104.98,4607700
2019-01-15,105.2,107,102.53,106.49,4232000
2019-01-16,106.81,107.5,104.58,105.93,2150800
2019-01-17,105.14,106.16,104.42,105.37,1602900
2019-01-18,106.65,108.66,106.32,108.26,2567200
2019-01-22,107.69,108.22,106.72,107.33,1534200
2019-01-23,107.86,108.12,99.72,99.81,3736200
2019-01-24,100.43,102.16,99.85,101.49,1874900
2019-01-25,102.5,104.5,101.02,103.7,1815900
2019-01-28,100.75,102.94,100.15,102.39,1599700
2019-01-29,102.51,102.64,98.5,100.81,1569700
2019-01-30,102.81,102.98,100.95,102.6,1369200
2019-01-31,102.91,106.37,102.78,105.55,1684000
2019-02-01,105.4,106,103.53,104.95,1545300
2019-02-04,105.91,107.41,105.46,106.3,1675000
2019-02-05,106.69,109,106.65,107.29,3601600
2019-02-06,96.76,99.82,91.49,92.53,18945000
2019-02-07,92.56,98.57,92,96.39,7948900
2019-02-08,95.4,97.24,94.38,97.14,4714400
2019-02-11,97.63,97.83,92.84,93.44,4459000
2019-02-12,90.85,90.97,86.9,89.25,10361800
2019-02-13,90.05,92.41,88.89,92.14,5514600
2019-02-14,91.62,94.29,90.65,93.28,3286400
2019-02-15,94.03,94.07,92.28,93.3,2401600
2019-02-19,93.08,93.75,91.84,93.27,1857100
2019-02-20,93.48,93.48,86.91,88.67,6564200
2019-02-21,88.76,89.01,87.01,87.59,2758800
2019-02-22,88,88.28,85.96,87.07,2436900
2019-02-25,87.52,87.77,85.57,87.29,2700700
2019-02-26,87.3,88.91,86.44,87.34,2040400
2019-02-27,87.12,88.5,84.41,84.63,3680800
2019-02-28,84.71,87.92,84.56,87.26,3722000
2019-03-01,87.71,88.91,86.93,88.32,2028100
2019-03-04,88.8,89.8,86.32,87.44,2110200
2019-03-05,87.72,87.72,86.22,87.37,1371600
2019-03-06,87.33,88.52,86.96,87.2,1342900
2019-03-07,86.95,88.56,86.17,88.41,1700400
2019-03-08,87.36,87.57,85.83,87.04,2370300
2019-03-11,87.56,90.04,87.27,89.8,2267500
2019-03-12,89.88,90.14,88.93,89.85,2329900
2019-03-13,90.17,96.34,89.54,96.03,7636700
2019-03-14,93.6,93.68,90.78,92.43,3808500
2019-03-15,92.32,94.62,92.32,93.55,2333600
2019-03-18,93.83,94.71,92.62,93.83,1831900
2019-03-19,94.64,96.85,94.47,95.79,2112300
2019-03-20,96.45,97.84,95.53,96.06,2457600
2019-03-21,95.65,99.8,95.6,99.11,2874400
2019-03-22,98.89,100.44,95.8,96.02,1850200
2019-03-25,95.87,96.36,94.51,96.03,1777800
2019-03-26,96.85,98.71,95.9,96.37,2134900
2019-03-27,96.42,96.56,93.78,94.49,1496600
2019-03-28,94.66,96.67,94.1,96.49,1325000
2019-03-29,96.95,97.55,94.05,94.37,2362700
2019-04-01,95.39,96.06,94.39,95.69,1779300
2019-04-02,96.09,97.82,94.73,97.66,2006200
2019-04-03,98.05,99.52,97.72,97.91,1308600
2019-04-04,97.57,97.73,92.93,93.7,3120100
2019-04-05,94.35,95.26,93.68,94.53,1907100
2019-04-08,94.48,94.55,91.4,94.29,1574700
2019-04-09,93.8,94.79,92.94,93.28,1393900
2019-04-10,93.38,95.37,93.38,95.33,1459700
2019-04-11,95.65,96.23,94.8,95.27,1182100
2019-04-12,95.78,95.78,94,94.11,1390500
2019-04-15,94.57,96.17,92.58,92.65,2003800
2019-04-16,93,93.07,89.62,90.94,2536100
2019-04-17,90.94,91.18,87.97,89.74,2313200
2019-04-18,90.44,91.27,89.43,90.74,1728300
2019-04-22,90.75,91.99,89.89,91.92,1562700
2019-04-23,92.25,94.24,92.1,93.29,1548600
2019-04-24,93.44,93.85,92.9,93.6,848600
2019-04-25,93.44,94.22,92.85,92.9,903500
2019-04-26,93.41,96.34,92.98,96.25,1442600
2019-04-29,96.95,98.37,96.78,97.15,2457800
2019-04-30,97.12,97.99,96.24,96.83,1344100
2019-05-01,98.94,100.34,98.57,99.05,2881500
2019-05-02,99.11,100.88,98.56,99.68,1523200
2019-05-03,100,102.38,98.44,101.62,1913800
2019-05-06,99.45,102.15,99.11,101.65,1562800
2019-05-07,100.71,101.43,98.86,99.88,1533100
2019-05-08,102.1,102.4,99.85,101.81,2577300
2019-05-09,100.71,102.9,99.22,102.12,1365400
2019-05-10,101.44,103.68,99.6,103.38,1708000
2019-05-13,101.19,102.03,99.3,100.01,4018500
2019-05-14,101.05,105.97,99.72,103.55,7835500
2019-05-15,102.91,109.44,102.06,107.48,3453400
2019-05-16,107.35,109.36,106.5,107.55,1663500
2019-05-17,106.74,108.49,106,106.66,1245100
2019-05-20,105.86,106.08,102.87,102.98,1840000
2019-05-21,103.15,104.1,101.75,103.75,2087600
2019-05-22,103.78,105.38,103.48,104.23,1612400
2019-05-23,103.18,104.76,102.56,104.38,1492000
2019-05-24,104.55,105.61,103.74,105.02,1196700
2019-05-28,105.74,107.49,105.16,106.54,1702800
2019-05-29,105.63,107.75,105.09,107,2261100
2019-05-30,107.1,107.71,106.09,106.99,1338100
2019-05-31,106,108.83,105.68,108.15,2018400
2019-06-03,106.99,108.26,105.52,105.95,2013300
2019-06-04,108.22,109,105.32,108.99,1972200
2019-06-05,110,111.71,108.69,111.55,1612900
2019-06-06,111.73,113.7,110.21,110.67,1548600
2019-06-07,111.67,112.62,110.9,111.65,1126000
2019-06-10,112.18,112.74,109.93,111.78,1095300
2019-06-11,112.21,112.82,109.71,110.29,955800
2019-06-12,111.1,111.13,108.43,108.71,1434300
2019-06-13,108.86,111.16,108.71,110.72,999000
2019-06-14,110.5,110.77,108.92,110.36,1074600
2019-06-17,109.92,112.02,109.6,110.29,1157400
2019-06-18,111.5,113.34,110.31,111.02,1257700
2019-06-19,110.74,111.36,108.19,111.02,1085100
2019-06-20,112.05,112.81,110.65,111.54,1003200
2019-06-21,111.37,112.94,111.14,112.64,1448000
2019-06-24,112.71,113.91,111.9,113.83,1205700
2019-06-25,113.94,114.52,112.06,112.81,1310100
2019-06-26,113.18,113.96,111.25,111.55,1359100
2019-06-27,112,113.99,111.76,113.39,1279100
2019-06-28,114.03,114.3,111.48,113.53,1551700
2019-07-01,115,116.39,113.27,115.96,1596600
2019-07-02,116.61,118.19,115.98,116.91,1214600
2019-07-03,116.74,118.49,116.6,118.07,1087300
2019-07-05,117.25,117.35,115.2,117.23,1108100
2019-07-08,116.81,116.85,113.27,114.75,1295500
2019-07-09,114.17,115.75,113.01,115.09,786500
2019-07-10,115.89,118.58,115.8,117.16,1019300
2019-07-11,115.81,116.61,113.73,116.53,1610600
2019-07-12,116.31,117.06,115.47,116.46,953100
2019-07-15,116.9,117.16,115.54,117.03,788000
2019-07-16,116.83,117.53,115.78,117.45,778400
2019-07-17,117.55,118.6,117.32,117.6,969800
2019-07-18,117,118.34,115.76,117.7,1042300
2019-07-19,118.46,118.92,115.91,116.06,738500
2019-07-22,116.66,117.45,116,116.66,841400
2019-07-23,117.38,118.2,115.97,118.11,814200
2019-07-24,117.51,119.18,116.54,118.9,946700
2019-07-25,119.02,119.91,117.77,119.25,773700
2019-07-26,120.23,123.46,119.65,121.78,2290600
2019-07-29,122.74,123.73,119.71,123.59,1606700
2019-07-30,121.98,123.74,120.85,123.2,1618400
2019-07-31,123.78,124.7,120.87,122.52,1318000
2019-08-01,121.63,125.54,121.26,122.1,1825100
2019-08-02,121.44,122.16,119.14,121.69,1410000
2019-08-05,119.01,119.86,112.27,115.38,4535900
2019-08-06,124.89,128.5,122.5,124.56,5323200
2019-08-07,123.03,130,122.9,129.4,2459300
2019-08-08,130.52,131.53,129.66,131.39,1527200
2019-08-09,131.12,131.5,127.18,128.87,1336800
2019-08-12,127.58,129.51,126.78,127.62,1364600
2019-08-13,126.89,129.36,125.6,127.53,1490200
2019-08-14,125.92,127.66,125.46,126.22,1731300
2019-08-15,126.5,127.42,125.53,126.16,1212100
2019-08-16,126.67,127.62,125.9,127.2,1488500
2019-08-19,129.25,130.98,128.61,129.86,1047500
2019-08-20,129.77,132.21,128.81,131.43,1142100
2019-08-21,132.88,135.7,131.14,134.21,1897600
2019-08-22,134.34,134.49,131.43,132.39,964000
2019-08-23,132.28,132.53,128.44,128.81,1406200
2019-08-26,129.71,130.56,128.09,130.49,1132100
2019-08-27,131.67,132.15,129.86,130.84,989800
2019-08-28,130.78,131.37,128.64,131.22,723300
2019-08-29,132.95,133.46,131.43,132.4,894300
2019-08-30,133.4,134.41,130.65,131.97,1116800
2019-09-03,130.96,132.68,130.74,131.66,1548900
2019-09-04,133.2,134,132.28,132.74,1101900
2019-09-05,134.3,134.74,129.94,131.35,1169800
2019-09-06,132.04,132.13,130.66,130.76,843300
2019-09-09,130.82,133.42,129.78,132.17,1396000
2019-09-10,130.98,132.26,126.86,128.4,1863500
2019-09-11,128.62,128.79,121.88,122.62,3296400
