Date,Open,High,Low,Close,Volume
2015-01-02,34.21,34.255,33.06,33.445,3591600
2015-01-05,32.94,33.04,32.395,32.65,7147600
2015-01-06,33.43,33.485,32.06,32.11,7748800
2015-01-07,32.56,33.36,32.51,33.28,5930800
2015-01-08,33.54,34.15,33.54,34.135,4548200
2015-01-09,34.275,34.335,33.59,33.825,3034200
2015-01-12,33.88,33.985,33.39,33.565,3150000
2015-01-13,33.795,33.945,32.955,33.3,2925600
2015-01-14,32.77,33.13,32.47,32.875,4109800
2015-01-15,33.045,33.125,32.265,32.325,3467400
2015-01-16,32.255,32.64,31.885,32.6,5010600
2015-01-20,32.66,32.955,32.19,32.735,5030600
2015-01-21,32.705,33.43,32.51,33.29,4968800
2015-01-22,33.54,34.825,33.235,34.71,6830000
2015-01-23,34.7,35.075,34.5,34.91,4372800
2015-01-26,34.94,35.945,34.92,35.805,5022600
2015-01-27,35.105,36.35,35.015,35.98,5357800
2015-01-28,36.175,36.245,35.365,35.435,3591200
2015-01-29,35.625,36.49,35.475,36.4,4797400
2015-01-30,36.195,36.835,35.76,36.04,4787600
2015-02-02,36.1,36.26,35.505,35.975,5351200
2015-02-03,36.285,36.44,35.94,36.415,4900400
2015-02-04,36.4,36.975,36.01,36.785,8923400
2015-02-05,37.035,38.27,36.17,36.65,22097600
2015-02-06,36.71,37.435,36.45,37.055,5889200
2015-02-09,36.96,36.96,36.085,36.34,6428200
2015-02-10,36.645,36.84,36.36,36.685,4014400
2015-02-11,36.69,37.19,36.595,36.89,3520600
2015-02-12,36.985,37.05,36.675,36.975,2811800
2015-02-13,37.005,37.365,36.805,36.88,3146400
2015-02-17,36.78,37.05,36.36,36.45,5519800
2015-02-18,36.435,37.08,36.27,37.06,2896800
2015-02-19,37.025,37.085,36.715,36.915,2639800
2015-02-20,36.87,37.6,36.645,37.515,3613000
2015-02-23,37.9,38.16,37.78,37.935,4069000
2015-02-24,37.935,38.25,37.675,37.775,2817600
2015-02-25,37.96,38.615,37.94,38.225,3970600
2015-02-26,38.315,38.64,38.27,38.505,3398000
