Date,Open,High,Low,Close,Volume
2024-01-02,152.87,157.82,152.55,156.41,674800
2024-01-03,155.49,156.11,152.39,153.04,472200
2024-01-04,153.23,154.08,151.92,152.18,599000
2024-01-05,152.21,155.22,152.21,153.7,660000
2024-01-08,153.82,154.74,152.68,154.41,339500
2024-01-09,153.47,155.57,153.26,154.28,331700
2024-01-10,153.94,157.03,153.45,156.86,335800
2024-01-11,156.41,158.75,156.04,158.39,387300
2024-01-12,159,160.36,157.69,158.59,533800
2024-01-16,157.4,158.14,155.82,157.95,351000
2024-01-17,156.54,158.59,154.19,154.71,392000
2024-01-18,155.22,156.88,154.19,156.39,451000
2024-01-19,156.77,157.82,155.58,157.81,307900
2024-01-22,158.5,159.94,155.81,156.05,497700
2024-01-23,155.92,156.67,152.7,153.81,676200
2024-01-24,154.52,154.52,150.11,153.35,798500
2024-01-25,154.48,157.25,153.69,156.98,543600
2024-01-26,157.73,159.43,156.86,157.57,458300
2024-01-29,156.81,158.12,155.54,156.85,487900
2024-01-30,159.33,161.2,158.9,158.95,570900
2024-01-31,159.81,161.32,158.52,158.81,402000
2024-02-01,158.44,164.81,157.69,163.14,690400
2024-02-02,162.09,164.32,162,162.73,444700
2024-02-05,162.22,164.12,161.7,162.67,409400
2024-02-06,162.18,163.5,161.23,162.15,293100
2024-02-07,162.48,164.34,161.92,162.45,292700
2024-02-08,162.45,163.04,160.47,161.96,368000
2024-02-09,161.99,162.8,161.27,162.38,270300
2024-02-12,161.88,164.96,160.75,164.55,393100
2024-02-13,162.24,163.44,160.19,160.6,397700
2024-02-14,161.8,163.35,160.23,161.71,353700
2024-02-15,163.28,163.64,161.83,162.72,391300
2024-02-16,162.51,163.75,160.85,162.16,309800
2024-02-20,161.09,162.78,160.69,162.43,390800
2024-02-21,162.03,163.4,160.85,163.3,309600
2024-02-22,163.51,165.86,162.78,164.49,660200
2024-02-23,164.7,166.35,164.21,164.31,524300
2024-02-26,164.31,165.79,162.17,164.33,508300
2024-02-27,164.12,165.79,163.03,165.79,826900
2024-02-28,170.58,176.43,161.16,161.73,1813000
2024-02-29,163.13,167.21,161.71,167.06,1004100
2024-03-01,167.06,171.9,166.04,171.12,680600
2024-03-04,170.79,175.53,170.52,174.6,662300
2024-03-05,173.73,177.53,173.73,175.5,556100
2024-03-06,175.89,177.25,173.33,175.95,505100
2024-03-07,177.42,179.41,176.22,177.67,419700
2024-03-08,177.36,178.08,175.67,175.69,516600
2024-03-11,174.82,176.11,170.37,171.29,737300
2024-03-12,170.67,174.94,169.68,174.72,748100
2024-03-13,174.8,176.98,173.32,174.41,428700
2024-03-14,174.01,174.22,171.76,172.93,478600
2024-03-15,169.5,174.65,169.5,173.9,856300
2024-03-18,173.03,177.58,172.6,177.3,515600
2024-03-19,178,180.98,177.86,180.23,767900
2024-03-20,180.08,181.38,178.25,179.89,536200
2024-03-21,180.35,182.29,180,180.77,548100
2024-03-22,180.6,181.07,178.67,180.49,392800
2024-03-25,180.49,181.01,177.64,177.85,552300
2024-03-26,177.85,179.57,177.1,177.31,675700
2024-03-27,179.41,181.93,178.36,181.85,550200
2024-03-28,182.5,183.61,181.73,182.46,699100
2024-04-01,180,180,171.26,175.21,1348000
2024-04-02,174.43,174.43,169.7,172.42,878900
2024-04-03,172.17,174.89,171.48,173.74,488600
2024-04-04,174.98,174.98,171.42,172.34,405000
2024-04-05,172.82,173.95,171.82,173.43,388900
2024-04-08,172.9,173.58,171.48,171.63,428200
2024-04-09,171.72,172.2,169.21,171.5,665600
2024-04-10,169.33,171.85,169.06,170.23,388200
2024-04-11,170.42,171.42,167.79,168.4,399300
2024-04-12,167.85,169.07,165.79,166.79,521400
2024-04-15,169.01,169.98,165.42,166.42,545600
2024-04-16,166.45,166.45,160.74,161.41,795600
2024-04-17,162.08,162.53,159.46,160.03,547100
2024-04-18,155.25,157.18,152.69,153.65,1047600
2024-04-19,154.41,157.47,153.66,157.47,903000
2024-04-22,158.49,161.96,158.1,161.13,672600
2024-04-23,161.66,165.98,161.49,164.91,803900
2024-04-24,164.18,166.69,163.48,165.9,1213400
2024-04-25,174.95,174.95,161.58,165.1,1260200
2024-04-26,163.2,167.74,160.84,166.06,965400
2024-04-29,166.8,169.47,166.8,169.12,650800
2024-04-30,170.03,171.02,168.61,170.43,1004200
2024-05-01,169.42,172.95,168.29,170.19,1161900
2024-05-02,171.14,171.19,167.13,169.89,652000
2024-05-03,171.79,171.79,167.54,167.7,597900
2024-05-06,169.04,169.63,168.58,169.15,811300
2024-05-07,170.58,171.21,169.39,169.5,660700
2024-05-08,168.71,170.52,167.36,169.47,513900
2024-05-09,169.69,177.33,169.69,177.05,710700
2024-05-10,177.05,180.6,176.87,178.09,573400
2024-05-13,178.19,178.63,176.43,178.59,743400
2024-05-14,180.4,181.39,177.39,178.91,1007500
2024-05-15,179.47,182.88,179.32,182.24,562600
2024-05-16,181.31,182.92,178.68,178.98,873500
2024-05-17,179.38,179.38,177.14,177.7,344200
2024-05-20,181.94,181.94,178.14,181.41,597900
2024-05-21,181.18,181.77,177.86,180.2,713900
2024-05-22,179.76,181.55,178.32,178.9,423000
2024-05-23,178.64,178.79,176.38,176.91,476400
2024-05-24,178.46,178.57,176.17,176.37,588300
2024-05-28,175.22,176.29,174.28,175.18,404000
2024-05-29,174.5,181.61,174.43,180.23,900500
2024-05-30,180.33,186.65,180.18,185.9,776900
2024-05-31,186.2,189.95,184.76,189.8,847300
2024-06-03,188.48,189.16,185.5,186.6,634300
2024-06-04,185.86,186.6,181.2,184.64,458100
2024-06-05,185.88,189.83,185.48,189.47,629900
2024-06-06,188.81,190.5,187.6,189.34,541300
2024-06-07,187.54,188.89,187.31,187.53,343800
2024-06-10,186.65,189.3,185.78,188.93,671800
2024-06-11,188.01,188.38,185.6,185.68,608500
2024-06-12,188.16,189.38,186.14,187.24,892300
2024-06-13,186.73,188.67,183.25,188.18,520600
2024-06-14,186.66,188.22,183.25,187.85,590700
2024-06-17,186.75,190.16,186.1,189.81,555100
2024-06-18,189.5,191.28,188.32,190.56,403600
2024-06-20,189.83,191.51,188.34,188.68,349800
2024-06-21,188.81,190.11,187.13,189.1,783700
2024-06-24,189.78,191.92,188.73,191.01,468600
2024-06-25,191.5,193.48,181.82,187.7,899000
2024-06-26,191.19,191.19,186.48,189.67,721600
2024-06-27,189.4,191.58,187.04,191.56,404600
2024-06-28,191.75,194.02,182.21,184.93,1163000
2024-07-01,186.05,188.53,182.07,182.2,559900
2024-07-02,182.52,185.09,180.77,184.72,414500
2024-07-03,184.4,186.45,183.93,185.39,239200
2024-07-05,184.15,184.64,177.65,180.93,893100
2024-07-08,181.74,182.22,177.35,180.63,939300
2024-07-09,181.55,183.21,180.09,180.95,587300
2024-07-10,181.87,182.39,179.31,180.18,736000
2024-07-11,181.62,184.14,180.61,183.95,809000
2024-07-12,184.63,187.23,184.2,184.43,421400
2024-07-15,179.19,183.37,178.06,178.68,709300
2024-07-16,180,183.93,177.37,183.88,1034900
2024-07-17,183.88,189.65,181.4,183.77,865900
2024-07-18,183.51,186.75,180.49,181.48,825600
2024-07-19,183.02,183.02,179.5,180.82,634600
2024-07-22,181.33,183.5,179.81,182.17,610700
2024-07-23,184.37,186.5,181.29,185.3,854300
2024-07-24,187,189.78,185.05,185.97,958700
2024-07-25,192.19,207.7,192,204.99,2759900
2024-07-26,209.58,214.64,206.36,213.69,1474300
2024-07-29,215.65,219.61,214.36,217.43,914800
2024-07-30,217.12,218.96,214.76,215.1,878700
2024-07-31,215.99,216.84,211.75,213.76,1108800
2024-08-01,215.11,218.99,212.79,215.82,849600
2024-08-02,214.34,216.92,210.96,213.21,858500
2024-08-05,209.11,213.67,205.15,211,778400
2024-08-06,211.06,213.6,209.76,212.11,1603600
2024-08-07,213.96,215.28,210.03,212.07,978900
2024-08-08,212.56,218.56,212,218.4,715300
2024-08-09,218.09,218.68,214.86,215.22,502500
2024-08-12,215.18,217.88,214.48,217.74,387300
2024-08-13,218.08,221.66,218.08,220.48,560100
2024-08-14,221.54,224.34,219.93,221.85,534000
2024-08-15,223.03,224.09,219.67,223.27,543700
2024-08-16,223.93,227,222.62,226.44,570600
2024-08-19,226.55,228.28,224.62,227.52,454300
2024-08-20,227.7,229.01,225.9,227.56,553900
2024-08-21,227.56,228.84,226.37,227.8,506500
2024-08-22,228.98,230.49,228.66,229.29,519700
2024-08-23,230.57,233.76,229.79,233.14,684800
2024-08-26,233.37,235.21,231.53,233.04,493800
2024-08-27,232.55,235.6,232.55,235.36,521600
2024-08-28,235.5,237.79,235.5,236.83,619900
