Date,Open,High,Low,Close,Volume
2009-01-02,25.04,25.43,24.38,25.25,10883600
2009-01-05,25.07,25.12,23.93,24.01,14067200
2009-01-06,24.34,24.55,23.38,23.75,16001700
2009-01-07,23.51,23.91,23.28,23.37,16651800
2009-01-08,23.25,23.46,22.93,23.16,11620300
2009-01-09,23.2,23.32,22.22,22.35,12473600
2009-01-12,22.6,22.74,21.42,21.68,18155200
2009-01-13,21.42,22.75,21.3,22.19,20859800
2009-01-14,21.47,21.65,21,21.07,20597700
2009-01-15,21.21,21.21,18.7,19.02,44131000
2009-01-16,19.57,19.98,17.66,18.32,40157400
2009-01-20,17.28,17.91,15.34,15.34,50800200
2009-01-21,16.35,16.51,11.8,16.09,118711200
2009-01-22,14.94,15.81,13.74,13.88,55164600
2009-01-23,13.18,14.85,12.95,14.64,36275900
2009-01-26,14.35,14.88,12.56,13.01,40113000
2009-01-27,12.83,13.76,12.56,13.7,31426100
2009-01-28,15.03,15.5,14.18,15.29,55092800
2009-01-29,14.73,15.51,14.27,14.72,37680400
2009-01-30,15,15.34,14.54,14.84,30595500
2009-02-02,14.48,15.48,14.16,15.28,30754200
2009-02-03,15.45,15.73,13.82,14.11,31703000
2009-02-04,14.38,14.8,14,14.17,29463900
2009-02-05,14.05,15.39,13.62,14.99,39010800
2009-02-06,15.09,16.37,15.06,16.19,35474200
2009-02-09,16.39,17.23,15.91,16.71,25200300
2009-02-10,16.43,16.71,14.28,14.4,38512800
2009-02-11,14.99,15.24,14.48,14.99,23601600
2009-02-12,14.42,14.67,12.75,13.66,49058000
2009-02-13,13.2,13.59,12.37,12.4,44028000
2009-02-17,11.47,11.8,10.72,10.73,51758000
2009-02-18,11.25,11.54,10.09,11.02,44360700
2009-02-19,11.21,11.51,10.73,10.88,36332000
2009-02-20,10.2,10.98,9.71,10.58,62223500
2009-02-23,11.19,12,10.78,11.33,47732800
2009-02-24,11.13,12.72,10.52,12.54,60848300
2009-02-25,12.44,13.35,11.07,12.76,62833200
2009-02-26,13.3,15.09,13.12,14.91,73357000
2009-02-27,13.44,14.83,13.4,14.31,50180100
2009-03-02,13.59,13.85,13.02,13.1,30945500
2009-03-03,13.46,13.7,12.26,12.58,29819800
2009-03-04,13.15,13.27,10.32,11.01,68795600
2009-03-05,10.37,10.68,8.53,9.01,109688700
2009-03-06,9.25,9.7,8.06,8.82,69085300
2009-03-09,8.48,10.34,8.42,10.19,58356900
2009-03-10,11.1,11.4,10.7,11.4,59196300
2009-03-11,12.14,13.3,11.41,12.42,55726000
2009-03-12,12.19,13.99,11.91,13.76,55384600
2009-03-13,14.09,14.58,13.16,13.57,45357800
2009-03-16,14.04,14.85,13.63,13.78,47286300
2009-03-17,13.76,14.56,13.43,14.52,33384300
2009-03-18,14.29,15.85,13.79,15.83,52197400
2009-03-19,16.22,16.23,14.11,14.26,43332900
2009-03-20,14.35,14.63,13.41,13.42,37836700
2009-03-23,14.81,16.2,14.11,15.99,47299700
2009-03-24,15.21,15.96,14.65,14.99,39989500
2009-03-25,15.25,16.08,14.93,16.03,42067700
2009-03-26,16.34,16.72,15.2,16.66,44684800
2009-03-27,15.89,16.36,15.4,15.64,36285000
2009-03-30,14.8,14.95,13.61,13.78,38422100
2009-03-31,14.27,14.8,13.95,14.61,31926200
2009-04-01,13.99,15.19,13.98,14.91,29810700
2009-04-02,15.73,15.9,15.03,15.58,37684900
2009-04-03,15.25,16,14.96,15.97,24158300
2009-04-06,15.13,15.64,14.64,15.24,21866900
2009-04-07,14.63,15.01,14.33,14.42,23212100
2009-04-08,14.61,14.71,13.92,14.36,18286900
2009-04-09,16.9,17.69,15.6,17.64,57380800
2009-04-13,17.04,18.2,16.76,18.01,32203300
2009-04-14,17.36,17.76,16.36,16.55,36578200
2009-04-15,16.55,18.01,16.07,17.89,29008900
2009-04-16,17.91,18.5,17.05,18.06,29915800
2009-04-17,17.84,18.94,17.3,18.6,42563900
2009-04-20,17.88,18.04,15.94,15.94,38981300
2009-04-21,15.9,19.45,15.25,19.27,59247300
2009-04-22,18.39,19.61,17.55,17.65,53124500
2009-04-23,18.03,18.73,17.67,18.37,33758700
2009-04-24,18.33,19.24,18.04,18.97,44910600
2009-04-27,18.5,18.72,17.96,18.14,26378100
2009-04-28,17.8,18.34,17.68,17.68,17737500
2009-04-29,17.87,18.95,17.8,18.79,29236100
2009-04-30,19.03,19.47,18.07,18.22,29909100
2009-05-01,18.18,18.48,17.65,17.96,20269200
2009-05-04,18.64,20.35,18.47,20.34,39171300
2009-05-05,19.86,20.35,19.16,20.12,26142000
2009-05-06,20.58,21.5,19.77,21.29,50208500
2009-05-07,21.84,21.92,19.31,19.56,45219100
2009-05-08,20.48,20.59,19,20.54,45731600
2009-05-11,19.64,19.8,18.47,18.5,43175300
2009-05-12,18,18,17.14,17.89,151560700
2009-05-13,17.67,17.75,17.05,17.4,65749400
2009-05-14,17.27,17.92,17.27,17.84,39788100
2009-05-15,17.75,18.07,17.47,17.67,34651800
2009-05-18,18.2,19.44,18.11,19.35,49163700
2009-05-19,19.57,19.8,18.85,18.86,30524900
2009-05-20,19.19,19.53,18.25,18.48,37298500
2009-05-21,18.22,18.42,17.76,18.11,25962000
2009-05-22,18.21,18.38,17.81,17.83,21050200
2009-05-26,17.76,19.09,17.62,19.04,30423600
2009-05-27,19.07,19.07,17.9,17.96,32205400
2009-05-28,18.1,18.92,17.72,18.92,28342100
2009-05-29,19.03,19.21,18.46,19.2,29735500
2009-06-01,19.52,19.52,18.64,18.9,36465200
2009-06-02,18.93,19.1,17.72,18.12,34048300
2009-06-03,18,18.5,17.8,18.05,21340800
2009-06-04,18.22,18.75,17.83,18.75,25830000
2009-06-05,18.88,19.05,17.96,18,28270800
2009-06-08,17.97,18.47,17.9,18.35,18680800
2009-06-09,18.45,18.54,18.02,18.18,22984900
2009-06-10,18.3,18.34,17.84,18.1,24735100
2009-06-11,18.08,18.58,18.02,18.36,22119600
2009-06-12,18.26,18.63,18.26,18.58,16879300
2009-06-15,18.33,18.56,17.75,17.82,22149900
2009-06-16,17.41,18.25,17.41,17.86,20479500
2009-06-17,18.01,18.21,17.36,17.77,28800000
2009-06-18,17.8,18.21,17.48,18.03,22603200
2009-06-19,18.2,18.2,17.65,17.95,26635800
2009-06-22,17.72,18.01,17.01,17.08,29190300
2009-06-23,17.12,17.73,16.67,17.43,21590800
2009-06-24,17.67,17.88,17.37,17.76,19905400
2009-06-25,17.7,18,17.12,17.79,19876900
2009-06-26,17.77,18.11,17.18,18.02,15934100
2009-06-29,18.09,18.3,17.83,18.19,20756200
2009-06-30,18.16,18.23,17.66,17.92,16886600
2009-07-01,17.93,18.03,17.56,17.58,14048500
2009-07-02,17.48,17.52,17.04,17.04,15357300
2009-07-06,17,17.46,16.74,17.09,22706300
2009-07-07,17.09,17.36,16.87,16.92,16068000
2009-07-08,16.9,17.05,16.11,16.59,26726300
2009-07-09,16.77,16.89,16.45,16.62,17251200
2009-07-10,16.51,16.79,16.34,16.59,13873200
2009-07-13,17.06,17.73,16.81,17.69,22778100
2009-07-14,17.68,17.75,17.17,17.42,15456100
2009-07-15,17.64,18.29,17.53,17.94,32323800
2009-07-16,17.83,18.09,17.64,17.92,15297300
2009-07-17,17.82,18.38,17.74,17.96,17413600
2009-07-20,18,18.34,17.94,18.29,14224100
2009-07-21,18.47,18.49,17.85,18.27,17480300
2009-07-22,18.03,19.35,18,18.96,32830300
2009-07-23,18.99,19.51,18.9,19.42,23376300
2009-07-24,19.32,19.93,19.2,19.77,18750800
2009-07-27,19.82,20.14,19.53,20.07,16724600
2009-07-28,19.78,20.25,19.51,19.95,15980600
2009-07-29,19.81,19.95,19.46,19.68,14407100
2009-07-30,19.95,20.52,19.82,20.48,20598300
2009-07-31,20.43,20.59,20.2,20.41,13121600
2009-08-03,20.77,20.93,20.54,20.87,16089400
2009-08-04,20.72,21.89,20.56,21.7,20693100
2009-08-05,21.93,22.89,21.59,22.79,29954900
2009-08-06,23.24,23.25,22.14,22.4,24162300
2009-08-07,22.79,23.49,22.33,23.25,22483600
2009-08-10,23.03,23.42,22.72,23.02,14480700
2009-08-11,22.62,22.95,21.87,22.1,18364100
2009-08-12,21.85,22.48,21.79,22.02,19478200
2009-08-13,22.33,22.59,21.72,22.55,16424300
2009-08-14,22.49,22.58,22.04,22.49,13714300
2009-08-17,21.76,22.02,21.35,21.4,14439600
2009-08-18,21.57,21.75,21.37,21.51,13105400
2009-08-19,21.18,21.81,21.13,21.58,10836200
2009-08-20,21.57,22.3,21.54,22.07,12231500
2009-08-21,22.42,22.59,22.21,22.28,16106400
2009-08-24,22.44,22.82,21.65,21.72,16287800
2009-08-25,21.86,22.28,21.76,21.92,13245100
2009-08-26,21.72,22.37,21.66,22.11,11542500
2009-08-27,22.09,22.35,21.94,22.25,11425000
2009-08-28,22.47,22.49,22.04,22.43,12394700
2009-08-31,22.05,22.68,21.99,22.62,12854300
2009-09-01,22.28,22.73,21.07,21.24,24150800
2009-09-02,21.15,21.58,20.6,20.66,17478800
2009-09-03,20.88,21.22,20.77,20.95,14596100
2009-09-04,20.93,21.46,20.93,21.45,11381100
2009-09-08,21.72,21.73,20.87,21,14439200
2009-09-09,21.01,21.8,21,21.75,17322800
2009-09-10,21.73,22,21.52,21.72,13530900
2009-09-11,21.7,22.07,21.63,21.86,12192000
2009-09-14,21.64,21.98,21.43,21.98,11212800
2009-09-15,22.02,22.5,21.61,22.17,15163900
2009-09-16,22.24,22.86,21.99,22.82,17747900
2009-09-17,22.97,23,22.17,22.44,16709500
2009-09-18,22.57,22.84,22.27,22.76,17840800
2009-09-21,22.41,22.69,22.34,22.43,10951700
2009-09-22,22.59,22.65,21.98,22.34,17819600
2009-09-23,22.14,22.54,22.07,22.07,14694700
2009-09-24,22.2,22.25,21.84,21.9,19007400
2009-09-25,21.77,22.15,21.65,22.06,17038800
2009-09-28,22.11,22.26,21.9,22.23,14077200
2009-09-29,22.39,22.51,21.72,21.75,18723700
2009-09-30,21.83,22,21.61,21.86,17758000
2009-10-01,21.75,21.85,21.11,21.11,22605800
2009-10-02,20.85,21.62,20.76,21.23,20210900
2009-10-05,21.6,21.7,21.38,21.64,13789300
2009-10-06,21.75,22.18,21.66,22.04,14328900
2009-10-07,21.87,22.27,21.8,22.18,11950800
2009-10-08,22.26,22.82,22.18,22.6,14630800
2009-10-09,22.6,22.97,22.26,22.93,10911400
2009-10-12,22.92,23.04,22.75,23.02,9166600
2009-10-13,22.85,23.06,22.59,22.85,13183400
2009-10-14,23.33,23.99,23.17,23.94,19892200
2009-10-15,23.82,24.03,23.32,24.01,13439200
2009-10-16,23.53,23.59,23.23,23.41,13848200
2009-10-19,23.5,23.9,23.38,23.81,10940800
