Date,Open,High,Low,Close,Volume
2020-01-02,189,191.14,188.72,191.12,8733000
2020-01-03,188.41,190.96,187.92,189.6,4899700
2020-01-06,188,189.21,187.16,189.19,10109500
2020-01-07,189.59,190.1,188.6,188.69,4392300
2020-01-08,189.49,192.5,188.8,191.92,5712000
2020-01-09,193,193.92,192.52,193.25,6748000
2020-01-10,193.5,194.57,193.11,193.77,6586400
2020-01-13,194.44,195.6,194.28,195.33,11290500
2020-01-14,196.74,196.95,195.14,196.05,6236500
2020-01-15,197,200.15,196.32,199.8,10831100
2020-01-16,201,201.5,199.78,200.95,9983700
2020-01-17,201.76,204.75,199.98,204.7,12518900
2020-01-21,204.13,208.39,203.8,207.29,14861700
2020-01-22,207.51,210.13,207.29,207.9,8065000
2020-01-23,207.9,208.4,205.3,206.52,8520800
2020-01-24,207.42,207.99,204.21,205,7812900
2020-01-27,200,203.33,199.1,201.69,7198900
2020-01-28,202.39,203.84,201.78,202.85,7215700
2020-01-29,204.3,205.92,202.51,204.86,7041700
2020-01-30,204,208.5,203.32,208.21,8571900
2020-01-31,201.49,203.98,198.26,198.97,16699600
2020-02-03,199.94,202.26,199.85,200.81,10885900
2020-02-04,203.5,204.92,202.23,203.56,10205900
2020-02-05,205.5,205.6,199.95,202.81,8672400
2020-02-06,203.05,204.63,202.48,203.04,7001200
2020-02-07,201.98,203.83,201.09,202.74,5691100
2020-02-10,201.97,206.13,201.86,205.99,6239500
2020-02-11,207.5,207.67,203.64,203.94,10231900
2020-02-12,205,208.15,205,207.44,7355800
2020-02-13,206.62,208.47,206.05,207.4,9495300
2020-02-14,208.29,210.78,208.01,210.29,6548800
2020-02-18,210,211.5,209.36,211.2,7651500
2020-02-19,212.52,214.17,211.72,213.31,5927500
2020-02-20,212.13,213.69,208.28,211.45,8531900
2020-02-21,209.9,210.22,207.42,208.81,9231500
2020-02-24,197.89,203.77,194.01,198.79,13316800
2020-02-25,198.79,199.89,187.72,188.4,18539000
2020-02-26,190,193.51,187.03,187.21,14214700
2020-02-27,182.12,186.34,180,180.01,17536600
2020-02-28,173.79,182.33,172.98,181.76,22659000
2020-03-02,186.32,192.44,183.1,192.33,17434500
2020-03-03,193.2,194.04,184.5,185.73,15226400
2020-03-04,190.36,194.49,186.17,194.29,10789100
2020-03-05,191.24,191.92,185.64,186.96,10106900
2020-03-06,183.54,185.99,179.98,184.36,15183200
2020-03-09,171.21,179.57,168.31,171.13,20486400
2020-03-10,179.47,182.61,171.88,182.6,16119400
2020-03-11,177.65,178.73,170.2,172.95,14598200
