Date,Open,High,Low,Close,Volume
2024-01-02,18.59,19.07,18.38,18.65,5355600
2024-01-03,18.29,18.36,17.45,17.51,7586500
2024-01-04,17.4,17.42,16.74,16.94,7764500
2024-01-05,16.77,17.25,16.71,16.9,5262500
2024-01-08,16.89,17.5,16.72,17.33,4766600
2024-01-09,17.15,17.4,16.97,17.16,6152800
2024-01-10,17.16,17.34,16.58,17.3,6116000
2024-01-11,17.15,17.18,16.48,16.96,5557900
2024-01-12,17.05,17.13,16.05,16.21,7198400
2024-01-16,15.95,16,15.27,15.43,8577600
2024-01-17,15,15.36,14.89,15.25,8985900
2024-01-18,15.22,15.35,14.93,15.32,5388200
2024-01-19,15.35,15.85,15.1,15.71,5798600
2024-01-22,15.72,16.5,15.65,16.49,7250700
2024-01-23,16.98,17.16,16.38,16.72,5516000
2024-01-24,16.94,17.08,16.72,16.81,6449300
2024-01-25,16.43,17.1,16.32,17.05,8356000
2024-01-26,17.41,17.48,16.8,17.35,9588700
2024-01-29,17.38,17.54,16.95,17.53,5166600
2024-01-30,17.21,17.36,16.91,17.22,5231400
2024-01-31,17.1,17.23,16.44,16.46,8345600
2024-02-01,16.61,16.9,16.02,16.83,8280300
2024-02-02,16.46,16.96,16.13,16.67,8218300
2024-02-05,16.76,16.79,16.12,16.53,10263300
2024-02-06,16.5,17.09,16.28,16.95,11273200
2024-02-07,15.29,15.74,14.44,15.31,29213200
2024-02-08,15.4,15.71,15.18,15.35,10824300
2024-02-09,15.3,15.5,15.04,15.3,7380600
2024-02-12,15.75,17.69,15.71,17.44,15008400
2024-02-13,16.56,16.78,15.81,16.44,11969500
2024-02-14,17.01,17.3,16.63,17.2,7466800
2024-02-15,17.34,17.43,16.95,17.05,6276900
2024-02-16,16.66,16.86,16.45,16.65,7865600
2024-02-20,16.29,16.32,15.92,16.2,8351200
2024-02-21,16.06,16.37,15.84,15.97,7966500
2024-02-22,16.06,16.24,15.8,15.9,5818500
2024-02-23,15.9,16.14,15.79,15.98,5204600
2024-02-26,15.83,15.89,15.3,15.5,8362400
2024-02-27,15.71,16.18,15.61,16.07,6712700
2024-02-28,15.77,16.39,15.61,16.17,5485700
2024-02-29,16.27,16.42,15.95,16.34,29079600
2024-03-01,16.42,16.52,15.79,16.24,8169700
2024-03-04,16.09,16.17,15.51,15.73,7225700
2024-03-05,15.45,15.98,15.3,15.82,5836600
2024-03-06,15.94,16.05,15.58,15.82,5661200
2024-03-07,15.99,16.22,15.85,16.09,5242200
2024-03-08,16.22,16.36,15.94,16.1,5987200
2024-03-11,16.06,16.33,15.99,16,5833300
2024-03-12,15.99,16.15,15.51,15.58,7288500
2024-03-13,15.57,15.88,15.43,15.5,7541300
2024-03-14,15.3,15.34,14.44,14.6,10771400
2024-03-15,14.47,14.84,14.47,14.78,31918900
2024-03-18,14.75,14.82,14.2,14.39,7508500
2024-03-19,14.19,14.62,14.09,14.5,7420300
