Date,Open,High,Low,Close,Volume
1999-01-04,20.0625,20.5625,20,20.4688,607400
1999-01-05,20.4062,20.5,20.3438,20.5,407800
1999-01-06,20.5625,20.875,20.5625,20.8125,605400
1999-01-07,20.75,20.7812,20.5,20.7188,184800
1999-01-08,20.6875,20.75,20.5625,20.5938,294600
1999-01-11,20.6875,20.7188,20.5312,20.6875,537800
1999-01-12,20.625,20.625,20.5,20.5625,455400
1999-01-13,20.125,20.6562,20,20.5,505000
1999-01-14,20.5625,20.5625,20.2812,20.3125,329000
1999-01-15,20.25,20.625,20.0938,20.0938,309800
1999-01-19,20.3125,20.75,20.2812,20.5312,360200
1999-01-20,20.6562,20.9688,20.625,20.9062,630800
1999-01-21,20.7812,20.9375,20.6562,20.875,376600
1999-01-22,20.75,20.8438,20.2812,20.2812,492600
1999-01-25,20.25,20.5625,20.25,20.4688,538600
1999-01-26,20.3438,20.5,20.3125,20.4062,413000
1999-01-27,20.4062,20.5625,20.3125,20.5,984000
1999-01-28,20.5,20.5625,20.375,20.5,540000
1999-01-29,20.4062,20.5,20.25,20.4062,1958400
1999-02-01,20.2812,20.7188,20.25,20.5938,1757600
1999-02-02,20.5312,20.5312,20.375,20.375,1706800
1999-02-03,20.4375,20.4688,20.25,20.25,642400
1999-02-04,20.2188,20.375,20,20.2188,423000
1999-02-05,20.1875,20.25,20,20.125,696400
1999-02-08,20.125,20.375,19.9375,20.375,536200
1999-02-09,20.4688,20.5,20.375,20.4375,824400
1999-02-10,20.5,20.8125,20.3438,20.375,807200
1999-02-11,20.375,20.4375,20.1875,20.4062,339800
1999-02-12,20.3438,20.4375,20.1875,20.2188,594800
1999-02-16,20.25,20.3125,20.0312,20.0938,340800
1999-02-17,20.1875,20.2812,20.125,20.2188,2173800
1999-02-18,20.1875,20.375,20.1562,20.2188,528600
1999-02-19,20.0625,20.375,19.9375,20.2188,559800
1999-02-22,20.2188,20.375,20.125,20.3438,382000
1999-02-23,20.25,20.5,20.25,20.4688,358800
1999-02-24,20.5625,20.6562,20.4375,20.5,395400
1999-02-25,20.5,20.5625,20.4375,20.4688,249400
1999-02-26,20.4375,20.5,20.25,20.5,247200
1999-03-01,20.375,20.4375,20.25,20.3125,390000
1999-03-02,20.25,20.625,20.2188,20.4688,247800
1999-03-03,20.4688,20.5312,20.375,20.4375,589000
1999-03-04,20.4375,20.5312,20.3125,20.5,586600
1999-03-05,20.5625,20.5625,20.25,20.3125,431400
1999-03-08,20.25,20.625,20.25,20.5312,256600
1999-03-09,20.5312,20.625,20.375,20.5625,652200
1999-03-10,20.5,20.5,20.2188,20.375,374800
1999-03-11,20.375,20.4375,20.2812,20.375,383400
1999-03-12,20.3125,20.4688,20.25,20.2812,363400
1999-03-15,20.25,20.375,20.1875,20.3438,245400
1999-03-16,20.4062,20.4375,20.25,20.375,690800
1999-03-17,20.0312,20.375,20,20.375,708200
1999-03-18,20.2812,20.4688,20.2188,20.4062,756400
1999-03-19,20.4062,20.6562,20.4062,20.625,610200
1999-03-22,20.5625,20.8125,20.5,20.5,323400
1999-03-23,20.375,20.5938,20.2812,20.5,555400
1999-03-24,20.5,20.5938,20.375,20.4375,885000
1999-03-25,20.25,20.4375,20.25,20.4062,687600
1999-03-26,20.375,20.8125,20.25,20.6875,380200
1999-03-29,20.6562,20.6875,20.3125,20.5938,294200
1999-03-30,20.5,20.6562,20.375,20.5938,240400
1999-03-31,20.5312,20.75,20.4062,20.625,415800
1999-04-01,20.5938,20.8438,20.4062,20.4375,325800
1999-04-05,20.4375,20.7188,20.4062,20.5,295200
1999-04-06,20.5,20.75,20.4062,20.5,377400
1999-04-07,20.625,20.6875,20.3438,20.4062,964000
1999-04-08,20.375,20.375,20.1875,20.3125,728200
1999-04-09,20.375,20.4688,20.125,20.375,600400
1999-04-12,20.4375,20.7188,20.2812,20.625,364800
1999-04-13,20.625,20.6562,20.375,20.5,449000
1999-04-14,20.5,20.75,20.375,20.6875,722000
1999-04-15,20.7188,21.5,20.7188,21.2812,777600
1999-04-16,21.5,22.4375,21.5,22.375,844400
1999-04-19,22.5,22.9688,22.375,22.6875,1136600
1999-04-20,22.625,22.6562,22.4375,22.5938,602600
1999-04-21,22.5938,23,22.5625,22.8438,1194600
1999-04-22,22.8438,23.375,22.8438,23.1875,550800
1999-04-23,23.1562,23.1875,22.5625,22.7188,516800
1999-04-26,22.7188,22.875,22.375,22.5938,298800
1999-04-27,22.5,22.625,21.875,22.1875,393600
1999-04-28,22.3125,22.625,22.25,22.5938,374000
1999-04-29,22.6562,22.6875,22.4375,22.4375,362400
1999-04-30,22.5625,23.25,22.5625,23.125,844600
1999-05-03,23.0938,23.5,23,23.125,404800
1999-05-04,23,23.3125,23,23.2188,235800
1999-05-05,23.125,23.4062,23,23.375,266600
1999-05-06,23.1875,23.5938,23.1875,23.375,454800
1999-05-07,23.375,23.9688,23.375,23.6875,1422800
1999-05-10,23.6562,24.125,23.625,23.75,764800
1999-05-11,23.75,23.875,23.5312,23.5625,637000
1999-05-12,23.5,23.75,23.3438,23.7188,442000
1999-05-13,23.6875,23.7188,23.25,23.5312,590400
1999-05-14,23.4062,23.5625,23.25,23.4688,334200
1999-05-17,23.1875,23.5625,23.1562,23.375,660200
1999-05-18,23.3125,23.4375,23.0625,23.1875,525000
