Date,Open,High,Low,Close,Volume
2024-01-02,204,205.14,200.34,201.56,559700
2024-01-03,200.65,202.02,198.83,201.21,711800
2024-01-04,201.31,201.81,198.3,198.48,497900
2024-01-05,198.48,200.24,196.45,196.91,475800
2024-01-08,197.66,199.06,196.63,199,432900
2024-01-09,198.12,199.1,197.27,197.57,419900
2024-01-10,199.19,203.58,199.19,203.42,610400
2024-01-11,203.08,204.31,201.63,203.76,446200
2024-01-12,205.14,205.87,203.98,204.18,282900
2024-01-16,203.44,204.06,202.01,202.44,382000
2024-01-17,201.49,203.47,201.06,201.84,414900
2024-01-18,200.75,204.89,200.25,203.99,350300
2024-01-19,204.5,206.89,204.04,205.37,359100
2024-01-22,206.52,207.7,205.22,205.26,336200
2024-01-23,206.17,207.57,205.86,206.35,230400
2024-01-24,206.86,208.04,203.85,203.98,314000
2024-01-25,204.39,205.59,202.23,203.04,341400
2024-01-26,203.24,203.36,201.55,203.11,287200
2024-01-29,203.01,204.82,202.24,202.9,433800
2024-01-30,202.9,203.65,201.22,201.8,1042300
2024-01-31,200.8,203.46,198.23,198.88,705900
2024-02-01,199,200.86,198.32,200.25,546100
2024-02-02,201.17,201.17,198.52,199.6,427500
2024-02-05,199.32,199.98,197.56,198.35,556500
2024-02-06,199.05,200.65,198.26,198.71,513700
2024-02-07,199.34,201.47,198.42,200.28,864100
2024-02-08,201,201.7,199.82,201.02,789700
2024-02-09,202.22,203,197.08,198.38,1484800
2024-02-12,197.61,198.36,193.91,195.84,1140100
2024-02-13,195.33,196.5,192.94,194.51,653900
2024-02-14,194.08,196.37,193.32,195.33,586100
2024-02-15,195.9,197.85,194.69,197.82,605400
2024-02-16,196.91,197.62,194.1,194.24,586400
2024-02-20,193.34,195.2,192,192.23,569300
2024-02-21,192.5,193.21,191.46,192.78,519200
2024-02-22,194.11,196.43,193.13,194.27,635300
2024-02-23,194.36,196.84,194.36,196.56,398700
2024-02-26,196,196,192.62,193.02,548500
2024-02-27,192.18,193.96,192.05,193.56,503800
2024-02-28,192.79,194.98,192.79,194.41,363400
2024-02-29,194.35,195.39,193.29,195.29,964300
2024-03-01,194.15,195.87,192.67,195.23,586400
2024-03-04,195.28,195.81,190.96,192.18,664000
2024-03-05,192.05,192.05,189.52,191.37,683700
2024-03-06,193.09,193.12,191.07,191.34,572500
2024-03-07,191.61,193.54,190.68,192.65,668000
2024-03-08,192.5,192.79,189.85,191.02,610200
2024-03-11,190.55,193.33,190.13,192.83,546400
2024-03-12,192.37,193.22,190.36,191.98,623300
2024-03-13,191.71,192.25,190.81,191.17,447400
2024-03-14,191.25,192.07,189.62,190.58,635400
2024-03-15,189.09,190.9,189.09,190.25,936400
2024-03-18,191,191.93,189.25,190.13,433000
2024-03-19,189.63,192.34,189.63,192.25,467200
2024-03-20,192.58,193,188.97,189.89,496900
2024-03-21,189.34,192.31,188.92,190.82,420300
2024-03-22,192.4,192.41,188.36,188.85,491600
2024-03-25,187.77,188.66,185.19,187.19,653700
2024-03-26,187.12,188.52,186.9,187.1,374700
2024-03-27,188.53,189.74,187.74,189.1,491500
2024-03-28,189.49,190.58,188.85,189.51,618100
2024-04-01,188.81,189.51,187.41,189.34,788700
2024-04-02,189.43,192.23,189.42,191.42,831400
2024-04-03,191.2,191.54,188.63,188.97,607800
2024-04-04,189.21,190.71,186.87,187.03,607100
2024-04-05,187.4,190.06,187.4,187.82,458600
2024-04-08,187.1,188.11,186.47,187.17,708900
2024-04-09,187.9,189.97,187.82,189.69,655800
2024-04-10,187.73,189.39,186.56,188.31,662600
2024-04-11,188.73,191.01,188.73,189.78,605500
2024-04-12,189.33,189.33,185.22,185.43,484100
2024-04-15,187.02,187.02,183.12,183.2,609500
