Date,Open,High,Low,Close,Volume
2008-01-02,51.8328,51.9813,50.5196,50.6338,912129
2008-01-03,51.1134,51.5816,49.1835,49.2292,809585
2008-01-04,48.9665,49.0351,46.5456,46.9567,1591497
2008-01-07,47.6761,47.8703,46.5456,47.7561,1089721
2008-01-08,47.7561,49.0807,46.7626,46.8539,1888272
2008-01-09,47.265,47.916,45.4037,47.6761,1266350
2008-01-10,47.562,49.9029,47.0709,49.332,1314864
2008-01-11,48.6811,50.1998,47.5277,48.624,798814
2008-01-14,49.2406,49.5832,47.1623,48.4527,763260
2008-01-15,48.0073,48.5326,46.9681,47.2993,955914
2008-01-16,47.3107,48.7039,46.2944,47.9616,1222214
2008-01-17,48.0758,48.8409,47.265,47.5277,1252864
2008-01-18,47.5391,48.1101,44.8441,45.6435,1746233
2008-01-22,44.5472,47.8018,44.5358,47.4363,1296474
2008-01-23,46.4543,51.1819,46.3515,50.9535,1680906
2008-01-24,51.376,51.6615,48.761,50.2341,1137797
2008-01-25,50.7594,51.376,49.4918,50.2569,1137797
2008-01-28,49.96,51.5588,49.6631,51.5588,1213107
2008-01-29,49.9029,50.2455,49.3662,49.6175,1823383
2008-01-30,49.4462,50.9193,48.7838,49.2292,1541232
2008-01-31,49.2406,50.8964,48.27,50.4739,1280273
2008-02-01,50.7023,51.7986,49.6745,51.3304,1111526
2008-02-04,51.8671,51.8671,50.2684,50.8393,1250149
2008-02-05,50.1884,50.7137,49.0351,49.1607,1249799
2008-02-06,49.1721,49.3776,47.2308,47.3336,1143577
2008-02-07,47.7104,48.7267,46.5342,48.6468,1035778
2008-02-08,48.2014,48.978,46.4885,47.2879,677967
2008-02-11,47.3907,47.3907,45.8719,46.283,759757
2008-02-12,46.4771,47.3907,46.1688,47.0938,696882
2008-02-13,47.6761,48.1443,46.5114,47.6076,800653
2008-02-14,47.6647,48.4755,47.0595,47.1623,909152
2008-02-15,47.0595,49.0693,47.0595,48.978,1047250
2008-02-19,49.5261,49.823,47.9616,48.0758,1171862
2008-02-20,48.3042,48.7724,47.345,48.5326,1016600
2008-02-21,48.8523,49.2292,47.5277,47.6761,800915
2008-02-22,47.7332,49.0465,46.9681,49.0465,793822
2008-02-25,48.9437,49.606,48.3956,49.606,1252776
2008-02-26,49.0351,50.2455,48.5783,49.5832,1002764
2008-02-27,49.7887,49.9258,48.6354,49.0122,895666
2008-02-28,48.761,49.0922,48.3042,48.4755,850305
2008-02-29,48.3042,48.3499,47.3678,47.7561,1386146
2008-03-03,47.9502,48.5212,47.0367,48.4983,1304793
2008-03-04,47.4363,47.9616,46.911,47.3564,1137885
2008-03-05,47.5962,48.0644,47.1851,47.6761,717549
2008-03-06,47.6419,47.6419,46.0203,46.2487,1014411
2008-03-07,45.929,47.0252,45.1068,46.8083,1665144
2008-03-10,46.6141,47.9959,46.4885,46.774,1765411
2008-03-11,48.0187,49.6974,47.5848,49.469,2197044
2008-03-12,49.1264,51.0563,49.1264,49.4347,1769002
2008-03-13,49.1264,49.5718,47.699,49.0922,1450247
2008-03-14,49.5489,50.1313,47.7675,48.8752,1294372
2008-03-17,47.9045,49.7431,47.562,49.2406,1096201
2008-03-18,49.2292,51.1933,49.0807,51.1591,2101067
2008-03-19,51.1134,52.2439,50.7708,51.3989,1652796
2008-03-20,49.6631,52.8035,49.6631,52.6436,1631779
2008-03-24,53.009,54.9161,52.8491,53.443,2080576
2008-03-25,53.5457,54.5506,53.0433,53.3059,2442590
2008-03-26,53.089,53.2717,52.2211,52.4038,2283826
2008-03-27,52.8149,52.9862,51.3075,51.4674,2602931
2008-03-28,51.5702,52.2325,50.7251,50.9649,1594299
2008-03-31,50.668,52.518,50.668,51.2847,1410578
2008-04-01,51.8785,54.2423,51.7415,54.1966,1769965
2008-04-02,53.8198,54.2423,53.2603,54.1738,1959204
2008-04-03,54.0254,55.213,53.7855,55.213,1402871
2008-04-04,55.2587,55.2815,54.0254,54.3679,1223265
2008-04-07,55.0303,55.0303,53.6143,54.4935,881042
2008-04-08,54.4935,54.8704,53.797,54.1281,1287367
2008-04-09,54.3223,54.4136,53.1803,53.6713,844700
2008-04-10,52.0384,53.8883,52.0155,52.5979,1150495
2008-04-11,51.8557,52.3124,51.6958,51.8899,1150057
2008-04-14,51.4788,52.8491,51.4788,51.9813,846802
2008-04-15,52.5408,52.5637,51.9584,52.438,573759
2008-04-16,52.8834,53.8769,52.5408,53.717,1038055
2008-04-17,53.6713,55.0988,53.5572,55.0759,655286
2008-04-18,55.6355,55.6355,54.1281,54.4365,1537729
2008-04-21,54.2195,54.8475,53.8883,54.151,1147605
2008-04-22,53.9568,54.5278,53.7284,54.2652,629453
2008-04-23,54.6991,55.7611,54.425,55.7611,906174
2008-04-24,55.7383,57.12,55.2815,57.0858,1775482
2008-04-25,57.0287,57.4169,56.3435,57.2228,1027284
2008-04-28,57.0172,57.4398,56.5376,57.12,1401733
2008-04-29,56.8117,57.12,55.7954,56.0466,1283951
2008-04-30,55.9781,56.8574,55.4528,55.4528,872110
2008-05-01,55.4528,56.6975,55.3728,56.6975,1074484
2008-05-02,57.1086,57.5425,55.2472,55.3843,1244632
2008-05-05,55.5099,55.5213,54.6763,55.0645,800477
2008-05-06,54.8133,55.6127,54.3108,55.6127,902321
2008-05-07,55.4985,55.6926,53.1004,53.1917,1102594
2008-05-08,53.1575,53.8997,52.8606,53.2374,1184122
2008-05-09,52.9062,53.9226,52.9062,53.363,645216
2008-05-12,53.6713,54.5278,53.3402,54.4479,891900
2008-05-13,54.5278,54.8133,53.7056,54.425,777359
2008-05-14,54.6991,54.8361,54.3337,54.6763,580414
