Date,Open,High,Low,Close,Volume
1995-01-03,20.25,20.25,19.875,20,8600
1995-01-04,20.125,20.75,20.125,20.75,13100
1995-01-05,20.75,21.375,20.75,21.25,4100
1995-01-06,21.25,21.75,21.25,21.75,15900
1995-01-09,21.75,22,21.75,22,7400
1995-01-10,22,22.125,21.75,21.875,22100
1995-01-11,21.75,21.875,21.75,21.75,3900
1995-01-12,21.625,21.75,21.625,21.75,10300
1995-01-13,21.75,21.875,21.625,21.875,8100
1995-01-16,21.875,22,21.75,22,10300
1995-01-17,21.875,22,21.75,22,6500
1995-01-18,22,22,21.875,21.875,17000
1995-01-19,22,22,21.875,22,4800
1995-01-20,22,22,21.75,21.75,5200
1995-01-23,21.875,21.875,21.75,21.75,4800
1995-01-24,21.875,22,21.75,21.875,7300
1995-01-25,22.125,22.125,21.875,22.125,13800
1995-01-26,22,22.25,21.875,22.25,11700
1995-01-27,22,22.125,21.875,21.875,12800
1995-01-30,21.375,21.5,21.25,21.5,15200
1995-01-31,21.5,21.75,21.25,21.375,8600
1995-02-01,21.5,21.625,21.375,21.5,5900
1995-02-02,21.5,21.625,21.375,21.375,7000
1995-02-03,21.25,22,21.25,22,8900
1995-02-06,22,22.25,22,22.125,13600
1995-02-07,22.25,22.375,22.125,22.375,10300
1995-02-08,22.375,22.375,22.125,22.25,13000
1995-02-09,22.125,22.25,21.75,21.75,15700
1995-02-10,21.75,21.875,21.5,21.75,7700
1995-02-13,21.875,22,21.75,22,8100
1995-02-14,22,22.125,21.875,22.125,6200
1995-02-15,22,22.125,22,22.125,8900
1995-02-16,22,22.375,22,22.25,11800
1995-02-17,22.125,22.25,22,22.25,12500
1995-02-21,22.25,22.375,22.125,22.25,8200
1995-02-22,22.375,22.375,22,22,8600
1995-02-23,22.125,22.375,22.125,22.375,12400
1995-02-24,22.375,22.375,22.25,22.375,9200
1995-02-27,22.125,22.375,22,22.25,14600
1995-02-28,22,22.25,22,22.25,8100
1995-03-01,22.125,22.375,22.125,22.375,8300
1995-03-02,22.375,22.375,22.125,22.375,15300
1995-03-03,22.25,22.25,21.875,22.25,16000
1995-03-06,22.25,22.375,22.125,22.375,9000
1995-03-07,22.375,22.375,22,22.25,13700
1995-03-08,22.125,22.125,22,22.125,6500
1995-03-09,22.125,22.25,21.875,21.875,8800
1995-03-10,22,22.125,21.875,22,10100
1995-03-13,22,22,21.75,21.875,12000
1995-03-14,21.875,22,21.75,22,5800
1995-03-15,21.875,22,21.75,22,13600
1995-03-16,22,22,21.75,21.875,7900
1995-03-17,21.875,22,21.75,21.875,6200
1995-03-20,21.75,22,21.75,21.75,5400
1995-03-21,21.875,22,21.75,21.875,14900
1995-03-22,22,22,21.875,22,10000
1995-03-23,21.875,22,21.5,21.625,10900
1995-03-24,21.625,22,21.625,21.875,6900
1995-03-27,21.625,21.625,21.375,21.375,10200
1995-03-28,21.375,22,21.375,22,10600
1995-03-29,21.875,22,21.875,22,5100
1995-03-30,22,22,21.875,22,10500
1995-03-31,22,22,21.75,21.875,7900
1995-04-03,21.875,22,21.75,21.875,9400
1995-04-04,21.875,22,21.75,22,6300
1995-04-05,22,22,21.875,22,13000
1995-04-06,22,22,21.875,22,39000
1995-04-07,22,22,21.875,21.875,28600
1995-04-10,22,22,21.875,21.875,15500
1995-04-11,22,22.125,21.875,22,15200
1995-04-12,21.875,22,21.875,22,9400
1995-04-13,22,22,21.875,22,13400
1995-04-17,22,22,21.875,21.875,18400
1995-04-18,21.875,22,21.875,22,16500
1995-04-19,22,22,21.875,22,8800
1995-04-20,22,22,21.75,21.875,15400
1995-04-21,21.875,22,21.625,22,11500
1995-04-24,22,22,21.75,22,14200
1995-04-25,22,22,21.625,21.75,11000
1995-04-26,21.75,22,21.625,21.875,14700
1995-04-27,21.75,22,21.75,21.875,14700
1995-04-28,21.875,21.875,21.75,21.75,25900
1995-05-01,21.25,21.375,21.25,21.375,10000
1995-05-02,21.375,21.375,21.25,21.375,6200
1995-05-03,21.375,21.5,21.25,21.5,9300
1995-05-04,21.375,21.375,21.25,21.375,411500
1995-05-05,21.25,21.5,21.25,21.5,20300
1995-05-08,21.5,21.75,21.375,21.625,26200
1995-05-09,21.625,21.75,21.5,21.5,16000
1995-05-10,21.625,21.875,21.5,21.625,23400
1995-05-11,21.75,21.875,21.5,21.625,17500
1995-05-12,21.625,21.875,21.625,21.625,15000
1995-05-15,21.5,21.75,21.375,21.375,20900
1995-05-16,21.5,21.5,21,21.125,47400
1995-05-17,21.25,21.5,21.25,21.25,19300
1995-05-18,21.375,21.5,21.25,21.5,16700
1995-05-19,21.5,22.25,21.375,22.125,23500
1995-05-22,22.25,22.375,22.125,22.375,27500
1995-05-23,22.375,22.375,22,22.125,13700
1995-05-24,22.25,22.25,21.625,21.75,12900
1995-05-25,22,22,21.75,21.875,15500
1995-05-26,22,22.25,21.75,22.125,9700
1995-05-30,22.125,22.25,22,22.25,15700
1995-05-31,22.125,22.375,22,22.25,10000
1995-06-01,22.25,22.5,22,22,17000
1995-06-02,22.125,22.125,21.75,22.125,14400
1995-06-05,22.25,22.375,22,22.375,20400
1995-06-06,22.375,23.125,22.375,23,26700
1995-06-07,23,23.125,21.5,21.875,117200
1995-06-08,21.75,21.75,21.25,21.5,24100
1995-06-09,21.5,21.75,21.375,21.375,26200
1995-06-12,21.5,21.75,21.375,21.625,16300
1995-06-13,21.625,22,21.625,21.875,16600
1995-06-14,21.75,21.875,21.625,21.75,18300
1995-06-15,21.625,21.75,21.625,21.75,20600
1995-06-16,21.75,21.75,21.375,21.75,12900
1995-06-19,21.75,22,21.625,22,17100
1995-06-20,22,22,21.75,21.875,18600
1995-06-21,21.875,22,21.875,22,33800
1995-06-22,22,22.125,21.875,21.875,23200
1995-06-23,22,22,21.625,21.75,13400
1995-06-26,21.625,21.625,21.25,21.375,26500
1995-06-27,21.5,21.5,21.25,21.375,12600
1995-06-28,21.375,21.5,21.25,21.375,8500
1995-06-29,21.5,21.5,21,21,30900
1995-06-30,21.125,21.125,20.375,20.625,38000
1995-07-03,20.75,20.75,20.5,20.5,16000
1995-07-05,20.375,20.75,20.375,20.5,18400
1995-07-06,20.625,21,20.625,20.875,12700
1995-07-07,21,21,20.875,21,27500
1995-07-10,21,21,20.875,21,28600
1995-07-11,21,21.125,20.875,21,25000
1995-07-12,21,21,20.75,20.75,21400
1995-07-13,20.75,21,20.75,21,11400
1995-07-14,21,21.375,20.875,21.375,17800
1995-07-17,21.5,21.5,20.875,21,25900
1995-07-18,20.875,21.125,20.875,21.125,8900
1995-07-19,21,21.25,21,21.125,7400
1995-07-20,21,21,20.625,20.625,32600
1995-07-21,20.5,20.5,20.125,20.25,32700
1995-07-24,20.25,20.25,19.875,20.25,27400
1995-07-25,20.25,20.625,20.25,20.375,19000
1995-07-26,20.25,20.375,20,20.25,12900
1995-07-27,20.25,20.375,20.25,20.25,20000
1995-07-28,20.125,20.375,20.125,20.25,12400
1995-07-31,20.25,20.5,20.25,20.375,23900
1995-08-01,20.25,20.375,20.125,20.25,26500
1995-08-02,19.75,19.875,19.25,19.25,18000
1995-08-03,19.125,19.25,17.25,18.125,108000
1995-08-04,18,19,17.875,19,53500
1995-08-07,18.875,19,18.75,18.875,30100
1995-08-08,18.875,18.875,18.625,18.625,37900
1995-08-09,18.75,18.75,18.5,18.75,25400
1995-08-10,18.5,18.75,18.5,18.75,46500
1995-08-11,18.75,18.75,18.25,18.5,29300
1995-08-14,18.375,18.375,17.75,17.75,28300
1995-08-15,17.625,18.125,17.5,18,38300
1995-08-16,18,18.5,18,18.125,33500
1995-08-17,18.25,18.375,17.875,17.875,35600
1995-08-18,18,18.125,17.875,18,39100
1995-08-21,17.875,18.25,17.75,18,39400
1995-08-22,17.875,18.25,17.75,17.875,38100
