Date,Open,High,Low,Close,Volume
2026-01-02,69.77,70.06,68.91,69.36,2114200
2026-01-05,68.81,71.08,68.7,70.71,2961500
2026-01-06,70.37,70.72,69.24,69.99,2133100
2026-01-07,69.11,69.45,68.03,68.49,2242300
2026-01-08,68.83,70.56,68.45,70.24,2935900
2026-01-09,70.35,70.5,68.36,68.44,2476800
2026-01-12,68.63,69.31,68.37,68.71,2217400
2026-01-13,68.49,68.97,67.57,68,2084000
2026-01-14,68.33,69.76,68.25,69.18,1918700
2026-01-15,69.2,69.78,68.31,68.71,1769400
2026-01-16,68.64,69.04,67.68,67.88,3279600
2026-01-20,66.73,68.32,66.65,67.73,2084700
2026-01-21,67.79,68.25,66.5,67.54,2681100
2026-01-22,67.41,67.64,67,67.52,2639800
2026-01-23,67.6,67.94,66.5,67.12,3969300
2026-01-26,67.69,68.2,66.37,66.88,4333600
2026-01-27,68.88,69.92,65.02,67.23,4420100
2026-01-28,66.87,68.02,66.84,67.67,1990100
2026-01-29,68.17,69.02,67.42,68.26,2481200
2026-01-30,68.18,68.66,67.82,68.58,1732800
2026-02-02,68.54,68.76,67.41,67.77,2842300
2026-02-03,67.47,69.38,67.25,69.19,2070200
2026-02-04,69.49,70.65,69.45,70.19,1778800
2026-02-05,70.59,71.6,70.37,71.29,1700400
2026-02-06,71.29,71.9,70.13,70.41,1520900
2026-02-09,70.49,71.04,68.99,69.25,2044700
2026-02-10,68.73,70.2,68.37,69.92,1557300
2026-02-11,69.77,71.68,69.25,71.54,2447900
2026-02-12,71.79,73.07,71,71.65,2085300
2026-02-13,70.95,71.72,69.31,69.7,2749200
2026-02-17,70.64,71.64,70.4,71.04,1998800
2026-02-18,71.04,71.29,69.9,70.8,1841800
2026-02-19,71.45,72.06,70.05,70.34,2727100
2026-02-20,71.02,71.14,70.36,71.08,1763900
2026-02-23,71.54,72.05,70.6,71,1771500
2026-02-24,70.76,71.73,69.95,71.63,2037600
2026-02-25,71.74,72.04,70.68,71.58,1641200
2026-02-26,72.07,72.37,71.33,71.58,1558600
2026-02-27,71.94,71.94,71.01,71.7,4799500
2026-03-02,71.53,73.42,71.53,73.24,1640000
2026-03-03,72.67,72.73,71.1,72.64,1684400
2026-03-04,72.62,72.62,70.35,70.39,1786400
2026-03-05,69.87,70,68.83,69.57,2909200
2026-03-06,69.34,70.23,68.41,69.92,1677200
2026-03-09,69.62,69.62,67.62,68.24,1926700
2026-03-10,67.79,68.47,67.45,67.86,1673700
2026-03-11,67.78,68.29,67.29,67.86,1491300
2026-03-12,67.34,69.02,66.96,68.7,1454200
2026-03-13,69.44,69.75,68.71,68.76,1392500
2026-03-16,69.02,69.34,68.41,68.53,1541700
2026-03-17,69.12,69.19,68.03,68.85,1542800
2026-03-18,68.22,68.54,66.78,67.26,2210000
2026-03-19,67.52,67.7,65.9,66.22,2167300
2026-03-20,66.04,66.54,65.68,65.74,8514000
2026-03-23,66.68,66.7,65.54,65.55,2498200
2026-03-24,65.53,65.93,64.89,65.03,1800200
2026-03-25,64.84,65.33,63.68,64.49,2661700
2026-03-26,64.6,65.28,64.59,65.26,1874600
2026-03-27,65.74,65.82,64.61,64.74,1844100
2026-03-30,65.31,66.44,65.06,66.25,4206300
2026-03-31,65.63,67.18,65.63,66.28,1878300
2026-04-01,65.37,65.91,64.99,65.28,1545000
2026-04-02,65.28,66.38,65.22,65.99,1235800
2026-04-06,65.72,66.17,65.41,66.16,1057400
2026-04-07,66.12,66.76,65.77,66.68,1351900
2026-04-08,66.01,67.26,65.86,67.22,1713900
2026-04-09,66.66,67.91,66.44,67.21,1455000
2026-04-10,66.94,66.94,65.31,65.7,2049300
2026-04-13,65.67,67.12,65.67,66.96,1511700
2026-04-14,66.42,66.78,65.69,65.99,2864700
2026-04-15,65.85,66.41,65.48,66.1,1757200
2026-04-16,65.94,66.6,65.77,66.27,1622200
2026-04-17,66.37,67.09,65.67,66.83,1858800
2026-04-20,66.9,67.69,65.86,66.2,1723400
2026-04-21,66.3,66.66,65.08,65.4,3618900
2026-04-22,67.28,68.02,65.48,67.5,4476500
2026-04-23,68.18,68.72,67.25,68.45,2834800
2026-04-24,67.96,67.96,66.2,66.53,2211400
2026-04-27,65.5,66.94,65.46,66.2,1944300
2026-04-28,67,67.46,66.57,67.12,1879400
2026-04-29,67.05,67.29,66.32,66.95,2154400
2026-04-30,66.33,67,65.76,66.83,2777700
2026-05-01,67.22,67.93,66.35,66.38,2202400
2026-05-04,66.02,67.23,65.8,66.32,1638000
2026-05-05,66.21,67.05,65.98,66.49,1583500
