Date,Open,High,Low,Close,Volume
2020-01-02,150.25,152.5,149.39,151.74,527800
2020-01-03,149.7,152.37,148.72,152.14,316100
2020-01-06,151.35,152.61,150.99,152.22,331900
2020-01-07,151.79,152.43,150.63,151.83,289800
2020-01-08,151.98,151.99,149.74,149.78,533900
2020-01-09,150.62,152,150.51,151.46,726600
2020-01-10,152,153.65,151.14,152.63,469500
2020-01-13,152.77,156.28,152.77,155.94,606300
2020-01-14,155.95,157.55,155.43,156.49,453500
2020-01-15,156.37,158.72,156.37,157.19,415100
2020-01-16,157.5,158.57,156.95,158.36,452600
2020-01-17,158.78,159.21,157.12,157.59,348400
2020-01-21,156.92,158.21,156.92,157.61,311300
2020-01-22,158.07,158.68,156.85,157.22,506200
2020-01-23,156.77,157.69,156.42,156.55,814600
2020-01-24,157.04,157.23,155.32,155.75,391200
2020-01-27,153.85,156.7,152.88,155.49,615500
2020-01-28,156,157.63,155.92,157.33,204800
2020-01-29,157.44,159.29,156.98,158.11,261200
2020-01-30,157.48,159.08,156.96,157.95,331600
2020-01-31,157.08,157.51,155.07,155.95,567900
2020-02-03,156.6,158.48,156.6,158.29,324100
2020-02-04,159.82,161.21,158.46,158.94,376800
2020-02-05,159.8,161,159.11,159.57,474900
2020-02-06,159.66,160.55,158.8,160.38,197300
2020-02-07,160.03,160.26,158.43,159.09,227100
2020-02-10,158.83,160.16,158.44,160.06,182300
2020-02-11,160.91,162.45,160.71,162.2,247100
2020-02-12,162.34,162.85,161,162.2,464600
2020-02-13,165.46,175.11,165.46,174.38,615000
2020-02-14,174.78,175.21,172.12,174.57,396900
2020-02-18,174.39,175.19,173,173.22,477900
2020-02-19,172.58,176.66,169.93,174.76,473500
2020-02-20,173.34,174.5,170.46,171.67,481500
2020-02-21,171.47,171.72,169.76,170.16,307100
2020-02-24,166.49,168.7,165.15,166.89,337600
2020-02-25,167.31,167.69,162.35,162.57,448300
2020-02-26,162.66,164.63,158.3,158.3,483200
2020-02-27,155.46,160.53,154.81,154.81,468100
2020-02-28,151.56,152.81,147.57,150.56,834400
2020-03-02,151.54,156.67,150.59,156.49,446500
2020-03-03,156.72,159.91,151.92,153.98,485900
2020-03-04,157.05,159.33,155.5,158.9,489200
