Date,Open,High,Low,Close,Volume
2002-01-02,54.5,54.5,53.25,53.66,559500
2002-01-03,53.66,54.04,53.25,53.99,673100
2002-01-04,55,56,54.9,55.52,726000
2002-01-07,55.27,55.75,54.65,55.35,538700
2002-01-08,55.6,55.6,53.9,54.29,637000
2002-01-09,54.29,55.09,53.93,54.15,421100
2002-01-10,53.9,53.9,52.6,53.37,708900
2002-01-11,53.8,54,52.7,53.39,438200
2002-01-14,53.25,53.25,52.1,52.11,801800
2002-01-15,52,52.34,50.85,51.6,718800
2002-01-16,51.75,51.99,51.04,51.04,551200
2002-01-17,51.2,51.81,50.94,51.33,521700
2002-01-18,51.33,52.14,51.3,51.51,625500
2002-01-22,52.1,54.75,52.1,53.72,1967800
2002-01-23,53.6,55.6,53.1,54.92,1321500
2002-01-24,55.4,56.5,55.35,56.23,1419300
2002-01-25,56.2,57.05,56.04,56.8,1291300
2002-01-28,57.55,59.56,57.51,59.56,2728400
2002-01-29,59.56,59.94,57.3,57.64,1405400
2002-01-30,57.25,58,56.66,57.21,1834800
2002-01-31,57.35,59.48,57.35,58.32,1333200
2002-02-01,58.07,58.8,57.77,57.93,828000
2002-02-04,58,58.35,57,57.23,760300
2002-02-05,57.48,57.95,57.09,57.13,879600
2002-02-06,57,57.4,55.25,56.49,1185800
2002-02-07,56.74,58.45,56.69,58.25,1818100
2002-02-08,58.1,59.04,57.7,58.9,769000
2002-02-11,59.15,62.7,59,62.32,1665900
2002-02-12,61.7,62,60.5,60.77,2187700
2002-02-13,60.45,61.49,60.25,60.55,1246100
2002-02-14,60.6,60.95,59.6,60.24,830800
2002-02-15,59.81,61.1,59.81,60.14,1266900
2002-02-19,60.4,60.6,58.5,58.68,1153000
2002-02-20,59,60,58.24,59.88,1529000
2002-02-21,59.85,61.24,59.8,60.25,1169300
2002-02-22,60.1,61.4,60,60,1050500
2002-02-25,60.2,60.59,59.55,60.35,1192400
2002-02-26,60.45,61.36,59.84,61.2,1476900
2002-02-27,61.45,62.7,61.45,61.75,1515300
2002-02-28,61.75,62.1,60.75,61.82,1404000
2002-03-01,61.82,62.48,61.4,62.23,827000
2002-03-04,62.25,65.4,62.25,65.25,2582600
2002-03-05,65,65.01,62.8,62.81,1390700
2002-03-06,62.7,64.22,62.5,64,1325100
2002-03-07,64.01,64.54,63.75,64.46,1781600
2002-03-08,65,65.25,62.9,63.15,1071600
2002-03-11,63.6,63.7,62.75,63.52,616500
2002-03-12,62.9,63.69,62.48,63.5,601100
2002-03-13,62.8,62.93,62,62.3,703300
2002-03-14,62.8,65.4,62.6,65.17,2015000
2002-03-15,65.16,65.97,63.65,65.45,1853500
2002-03-18,65.45,66.67,64.2,64.73,976100
2002-03-19,65.25,66.21,65.04,65.52,627200
2002-03-20,65.52,65.65,64.74,64.98,580200
2002-03-21,64.73,64.82,62.27,62.97,1356500
2002-03-22,62.61,62.85,61.4,61.89,1393300
2002-03-25,61.55,62.05,60.84,60.89,781100
2002-03-26,60.55,63.1,60.1,62.41,865900
2002-03-27,62.41,63.33,62.05,63.01,885800
2002-03-28,62.81,63.4,62.7,62.86,519800
2002-04-01,62.86,62.86,61.29,62.1,466600
2002-04-02,62.1,62.21,60.76,61.57,645500
2002-04-03,61.58,62.28,61.51,61.74,1598500
2002-04-04,61.6,62,60.26,60.99,622000
2002-04-05,60.99,61.98,60.99,61.88,821100
2002-04-08,61.88,61.88,61,61.4,837700
2002-04-09,61.4,61.4,60.33,60.86,964800
2002-04-10,61.06,62.6,60.87,62.34,767000
2002-04-11,62.43,63.3,61.35,61.44,926100
2002-04-12,61.3,61.31,60,60.67,891100
2002-04-15,60.82,61.02,59.3,59.77,983300
2002-04-16,60,61.84,60,61.49,843000
2002-04-17,61.85,62.22,61.35,61.81,693600
2002-04-18,62,62.45,61.25,61.62,674600
2002-04-19,61.81,62.59,61.43,61.7,683700
2002-04-22,61.7,61.7,59.63,59.66,1063400
2002-04-23,59.56,60.39,59.1,59.36,1042900
2002-04-24,59.95,60.88,58,58.64,1355600
2002-04-25,58.89,59.85,57.56,59.46,1500700
2002-04-26,59.85,60.15,58.25,58.49,916200
2002-04-29,58.3,58.9,57.77,57.85,979700
2002-04-30,57.75,60.45,57.7,59.61,996200
2002-05-01,59.4,60.2,58.7,59.39,829900
2002-05-02,60.5,61.58,60.32,61.12,2218700
2002-05-03,61.25,63.5,61.2,62.61,1932100
2002-05-06,63.8,64.25,63.24,63.7,2321000
2002-05-07,64.6,64.88,64.08,64.24,2039500
2002-05-08,64.75,65.16,64.51,64.89,957300
2002-05-09,64.93,64.98,64.48,64.55,820100
2002-05-10,64.52,64.73,63.95,64.01,749700
2002-05-13,64.01,65.13,64,64.99,680500
2002-05-14,65.9,67.9,65.8,67.61,1903100
2002-05-15,67.25,67.86,66.68,67.4,1448800
2002-05-16,67.25,67.26,66.53,66.7,678200
2002-05-17,66.7,67.05,65.2,65.96,734600
2002-05-20,65.96,65.96,65.13,65.51,435900
2002-05-21,65.51,66.05,65.08,65.39,750700
2002-05-22,65.39,66.55,65.24,66.1,889200
2002-05-23,66.1,68.09,65.6,67.83,1244600
2002-05-24,67.83,67.95,66.44,66.55,1117700
2002-05-28,66.56,66.66,65.55,65.75,875900
2002-05-29,65.75,65.95,65.3,65.9,1463800
2002-05-30,65.9,65.94,64.43,65.01,955300
2002-05-31,64.9,66.09,64.9,65.5,892900
2002-06-03,65.5,65.5,63.4,63.4,1203700
2002-06-04,63.41,64.83,63,64.06,1538200
2002-06-05,64.4,65.08,64.21,64.6,737100
2002-06-06,64.8,65.19,64.2,64.59,885400
2002-06-07,63.3,64.95,63.3,64,1510900
2002-06-10,64,64.96,63.95,64.51,632000
2002-06-11,64.76,65.71,63.08,63.1,1516200
2002-06-12,63.35,63.88,63,63.4,1082200
2002-06-13,63.5,64,62.62,62.91,740900
2002-06-14,62.91,62.91,61.34,62.13,920600
2002-06-17,62.85,64.41,62.77,64.3,907700
2002-06-18,64.2,64.87,63.71,64.74,929900
2002-06-19,64.5,65.34,64.22,65,1290100
2002-06-20,64.75,65.27,64.75,64.93,1183900
2002-06-21,64.9,65.3,64,64.35,1061900
2002-06-24,64.35,65.07,63.75,65,945800
2002-06-25,65.4,65.75,64.82,64.99,974500
2002-06-26,63.25,64,62.4,63.61,1364500
2002-06-27,64.1,64.23,62.2,62.96,1229400
2002-06-28,62.97,64.6,62.93,63.85,1397600
2002-07-01,63.85,64.14,62.37,62.8,1413800
2002-07-02,62.8,63.2,61,61.57,1405500
2002-07-03,61.58,62.24,59.8,60.8,1254100
2002-07-05,61.7,62.8,61.5,62.36,625400
2002-07-08,62.65,63.23,62.35,62.88,983900
2002-07-09,62.7,63.62,61.5,61.5,934800
2002-07-10,62.1,62.18,59.56,59.86,814300
2002-07-11,59.86,60,57.85,59.36,1178800
2002-07-12,59.11,59.3,58.27,58.86,707600
2002-07-15,58.61,58.61,55.5,57.66,1286100
2002-07-16,58,58.55,56.5,57.15,1358800
2002-07-17,58.5,59.18,57.68,57.76,1105000
2002-07-18,58.1,58.6,56.3,56.3,1078500
2002-07-19,56,56.06,53.01,53.3,1312300
2002-07-22,53.1,53.23,50.7,51.75,2061100
2002-07-23,51.76,52.6,51.4,52.28,1394800
2002-07-24,51.8,55.75,50.93,55.43,1592100
2002-07-25,55.72,57.1,54.13,54.52,2044100
2002-07-26,54.6,55.95,54.32,55.74,984000
2002-07-29,56.75,60.25,56.59,60.25,1279000
2002-07-30,60,60.16,57.45,58.33,1440700
