Date,Open,High,Low,Close,Volume
2023-01-03,127.41,128.88,126.21,127.28,921100
2023-01-04,128.52,129.36,127.51,128.46,1389400
2023-01-05,129.04,130.08,125.72,126.08,2238300
2023-01-06,126.15,127.21,122.71,125.7,2348900
2023-01-09,128.07,128.67,125.71,126.05,1423600
2023-01-10,125.8,126.45,124.48,125.5,1894200
2023-01-11,126.03,126.29,123.06,124.32,2448300
2023-01-12,124.63,124.68,121.87,123.2,1890600
2023-01-13,122.95,123.71,122.04,123.38,1674100
2023-01-17,123.35,123.38,122.41,123.01,2093400
2023-01-18,123.14,123.85,121.98,122.08,1483300
2023-01-19,121.45,122.5,120.29,121.95,1324900
2023-01-20,122.62,124.62,121.82,124.09,1736500
2023-01-23,124.99,127.16,124.99,125.94,2299800
2023-01-24,125.94,126.28,124.66,125.48,1358300
2023-01-25,124.03,125.58,123.65,124.9,1222500
2023-01-26,125.38,126.22,125.1,125.5,1208500
2023-01-27,125.5,126.56,124.04,125.88,1386700
2023-01-30,125.41,126.11,125.18,125.83,2090700
2023-01-31,126.09,127.36,125.16,127.34,1233800
2023-02-01,128.52,129.89,125.65,127.8,2453600
2023-02-02,128.59,128.83,126.33,127.41,3509600
2023-02-03,127.61,132.28,126.02,129.45,2854100
2023-02-06,129,129.39,127.55,128.52,1541400
2023-02-07,127.51,131.5,127.48,130.94,1739100
2023-02-08,130.18,131.61,130.03,130.76,1211100
2023-02-09,130.94,131.59,128.17,128.29,1228600
2023-02-10,128.3,129.19,127.3,127.91,1196500
2023-02-13,128.19,128.59,127.58,128.05,1247800
2023-02-14,127.75,128.57,126.1,126.71,1395000
2023-02-15,125.77,126.6,125.1,126.51,1022200
2023-02-16,124.76,126.62,124.32,125.11,1410900
2023-02-17,124.79,126.12,124.32,125.97,1026800
2023-02-21,125.28,125.76,123.69,124,1266800
2023-02-22,124.08,124.73,123.19,123.62,1260100
2023-02-23,123.71,124.25,122.07,123.17,993600
2023-02-24,122.75,123.13,121.53,122.7,878300
