Date,Open,High,Low,Close,Volume
2020-01-02,259.03,260.4,255.17,259.14,387800
2020-01-03,256.1,258.65,254.88,256.05,305300
2020-01-06,252.62,258.01,252.62,258.01,322600
2020-01-07,257.5,258.74,256.08,256.47,236300
2020-01-08,251.28,253.48,247.25,247.64,689600
2020-01-09,249.16,250.06,246.19,246.5,766200
2020-01-10,248.08,248.08,243.29,246.27,623600
2020-01-13,247.24,248.92,244.43,248.58,479100
2020-01-14,248.78,249.1,245.92,248.07,416600
2020-01-15,247.39,249.66,245.52,247.8,331200
2020-01-16,249.05,254,247.04,253.93,434000
2020-01-17,252.75,254.27,250.86,252.74,399100
2020-01-21,254.1,257.71,251.71,252.42,561400
2020-01-22,254.34,257.47,253.6,253.75,414400
2020-01-23,253.9,256.13,251.53,254.36,358800
2020-01-24,256.27,256.99,251.57,252.7,223700
2020-01-27,247.31,250,242.57,243.23,425700
2020-01-28,245.08,249.46,245.08,247.98,340800
2020-01-29,247.55,251.69,247.55,250.17,319500
2020-01-30,247.7,249.7,243.34,246.32,246900
2020-01-31,245.5,246.28,238.86,239.02,335900
2020-02-03,240.85,246.08,240.85,242.55,262400
2020-02-04,247.33,251.2,247.33,247.87,251100
2020-02-05,251.18,251.18,246.47,247.81,244200
2020-02-06,248.82,252.85,248.3,252.09,407500
2020-02-07,249.97,249.97,245.45,247.26,385700
2020-02-10,245.11,248.99,245.11,248.55,216200
2020-02-11,249.86,254.69,247.28,247.81,219400
2020-02-12,249.29,252.27,246.41,251.99,377900
2020-02-13,232,237.75,226.18,233.32,1783600
2020-02-14,238.59,241.85,235.1,238.77,921800
2020-02-18,239.14,239.66,232.7,236.66,521600
2020-02-19,238.43,242.54,236.86,240.5,423400
2020-02-20,240.61,243.34,237.39,242.72,443100
2020-02-21,241.4,242.08,235.12,238.39,500900
2020-02-24,229.99,232.68,227.4,227.4,572700
2020-02-25,230.45,231.65,219.57,220,544800
2020-02-26,222.16,225.06,216.9,217.81,549500
2020-02-27,212.11,217.95,206.49,213.93,1021300
2020-02-28,206.71,211.82,204.73,210.97,945200
2020-03-02,212.67,221.87,210.34,221.71,603000
2020-03-03,220.27,227.11,208.34,209.31,949700
2020-03-04,211.93,216.09,205.52,216.04,559000
2020-03-05,209.5,212.73,200.81,203.76,564900
2020-03-06,197.88,204.19,195.93,202.74,647300
2020-03-09,188.4,190.94,183.89,185.26,770300
2020-03-10,192.22,202.5,189.15,202.19,909900
2020-03-11,196.3,199.67,187.69,191.3,516900
2020-03-12,177.23,178.97,161.42,161.51,1028500
2020-03-13,174.51,184.1,163.45,184.02,659300
2020-03-16,155,172.18,150.06,166.08,800300
2020-03-17,170.2,182.74,167.33,180.66,564400
2020-03-18,167.74,186.94,166.34,185.47,803200
2020-03-19,181.86,186.22,169.3,185.07,1202000
2020-03-20,186.07,189.86,177.08,179.38,1701600
2020-03-23,179.85,181.95,163.44,170.72,1176100
2020-03-24,180.09,181.8,167.17,180.55,813400
2020-03-25,180.03,195.19,175.6,186.23,505200
2020-03-26,187.83,197.92,185.96,197.51,505500
2020-03-27,192.71,192.71,180.63,184.57,390700
2020-03-30,186.21,190.36,180.68,188.35,323900
2020-03-31,186.79,189.49,182.1,183.6,521000
2020-04-01,177.56,179.13,174.02,176.46,606000
2020-04-02,173.87,179.75,170.63,174.24,599600
2020-04-03,173.02,179.76,172.01,178.08,598600
2020-04-06,184.78,193.6,184.51,191.85,306400
2020-04-07,199.7,200.38,191.61,192.36,413600
2020-04-08,195.74,198.96,192.23,196.65,252300
2020-04-09,198.83,202.49,197.17,201.22,529300
2020-04-13,201.02,202.6,195,197.91,331700
2020-04-14,204.37,210.28,200.15,206.88,358800
2020-04-15,202.34,202.98,196.24,196.81,389100
2020-04-16,199.71,202.79,196.72,201.6,387500
2020-04-17,204.67,208.61,201.42,202.98,382300
2020-04-20,201.45,207.4,201,202.35,381500
2020-04-21,197.89,199.46,192.42,192.85,379200
2020-04-22,198.19,200.42,194.17,199.41,498800
2020-04-23,200.36,207.87,200.36,200.97,436900
2020-04-24,202.34,208.8,200.68,208.62,418500
2020-04-27,210.46,223.66,209.91,220.93,560400
2020-04-28,235.55,238.23,227.08,228.48,915600
2020-04-29,232.49,248.21,231.51,244.97,640800
2020-04-30,229.13,236.77,225,229.66,578500
2020-05-01,225.48,227,222.6,225.55,349600
2020-05-04,223.14,228.77,220.16,228.77,346900
2020-05-05,229.73,235.75,229.73,233.15,349700
2020-05-06,232.98,235.54,231.3,232.42,219100
2020-05-07,235,237.31,231.66,233.86,276200
2020-05-08,236,243.33,235.27,242.92,270500
2020-05-11,237.13,239.92,234.38,235.26,339200
2020-05-12,236.86,238.88,230.07,230.2,299100
2020-05-13,230.92,231.56,220.52,223.08,445800
2020-05-14,219.49,222.13,215.52,221.77,457000
2020-05-15,219.35,220.76,216.65,217.8,383100
2020-05-18,226.5,237.34,223.86,235.8,571100
2020-05-19,236.11,243.93,235.78,240.55,489900
2020-05-20,242,243.17,239.99,241.49,369900
2020-05-21,242.09,246.35,241.01,244.15,286900
2020-05-22,243.75,245.55,240.46,243.54,301600
2020-05-26,250,259.35,246.69,255.96,558900
2020-05-27,257.29,261.24,254.12,258.67,501900
2020-05-28,258.24,263.69,256.92,257.42,334000
2020-05-29,257.86,261.99,254.1,261.32,490700
2020-06-01,259.33,266.22,258.02,264.97,294100
2020-06-02,265.94,267.08,261.66,264.09,266000
2020-06-03,267.48,272,265.04,269.02,334400
2020-06-04,266.97,267.36,259.26,261.17,345100
2020-06-05,265.17,278.55,263.89,277.55,438200
2020-06-08,273.59,278.6,271.99,277.06,284200
2020-06-09,273.28,275.55,269.97,270.32,316000
2020-06-10,270.46,271.18,266.83,267.08,232400
2020-06-11,259.83,260.8,249.62,250.19,349300
2020-06-12,258.99,260.08,253.06,258.33,305200
2020-06-15,251.63,259.48,249.1,259.41,307100
2020-06-16,267.09,269.67,261,266.46,244500
2020-06-17,266.09,267.52,260.25,260.82,236100
2020-06-18,260.29,263.33,257.81,262.23,188300
2020-06-19,268.08,268.08,253.46,264.41,987000
2020-06-22,262.44,265.14,259.14,261.79,307100
2020-06-23,266.15,266.15,260.29,260.77,292900
2020-06-24,259.84,260.21,246.6,250.5,370000
2020-06-25,248.99,253.93,247.62,253.64,232100
2020-06-26,253.5,256.78,244.6,246.42,813800
2020-06-29,246.96,253.32,244.32,252.05,237600
2020-06-30,252.75,258.06,251.65,255.95,344500
2020-07-01,256.47,256.93,250.95,251.23,224300
2020-07-02,256.49,259.73,254.36,255.04,228600
2020-07-06,260,263.85,258.02,261.63,286200
2020-07-07,260.84,261.9,253.82,254.26,280900
2020-07-08,254.04,257.23,253.56,257.21,278800
2020-07-09,260.9,264.58,258.03,262.01,324900
2020-07-10,264.11,264.11,255.32,260.67,261000
2020-07-13,264.91,265.3,255.07,255.5,211800
2020-07-14,257.08,266.79,256.69,266.47,313500
2020-07-15,272.22,273.23,264.07,268.16,272500
2020-07-16,267.47,269.12,264.68,267.66,287200
2020-07-17,269.1,274.54,269.1,273.1,258500
2020-07-20,274.52,276.72,271.09,276.36,251400
2020-07-21,277.19,279.99,272.33,273.28,256400
2020-07-22,272.75,278.8,272.75,277,244500
2020-07-23,275.51,277.64,272.72,275.71,261000
2020-07-24,272,273.27,267.3,269.98,423100
2020-07-27,270.96,275.32,270.13,273.34,347500
2020-07-28,287.83,287.83,270.53,271.18,458300
2020-07-29,274.31,278.7,272.61,273.85,404600
2020-07-30,271.59,275.71,269.79,274.95,205700
2020-07-31,275.75,281.23,274.39,280.75,472800
2020-08-03,283.42,283.42,278.41,280.72,244500
2020-08-04,280.9,285.11,279.56,284.68,307400
2020-08-05,286.32,289.1,284.03,288.84,228600
2020-08-06,285.18,288.24,284,286.73,241500
2020-08-07,284.73,285.02,281.26,283.04,195100
2020-08-10,282.84,283.98,277.62,280.41,223200
2020-08-11,282.02,284.04,279.68,280.57,183300
2020-08-12,281.97,284.63,280.32,284.01,239600
2020-08-13,283.22,285.95,282.37,285.61,142800
2020-08-14,284.78,286.22,282.9,286.03,163800
2020-08-17,288.49,291.3,286,286.74,214800
2020-08-18,278.61,285.29,278.61,281.96,317300
2020-08-19,282.92,285.25,281.4,283.13,249100
2020-08-20,282.56,282.7,275.29,276.55,182700
2020-08-21,277.41,277.41,273.67,275.33,234900
2020-08-24,279.37,284.55,274.36,275.39,256100
2020-08-25,276.22,281.19,274.45,277.86,328300
2020-08-26,278.21,286.17,278.01,284.74,320500
2020-08-27,287.23,287.71,275.53,277.26,267400
2020-08-28,278.3,280.5,277.7,280.16,259700
2020-08-31,281.29,287.15,281.05,286.53,340700
2020-09-01,287.3,287.47,283.91,287.16,254900
2020-09-02,289.16,295.52,286.1,294.36,360500
2020-09-03,291.16,291.16,267.24,269.25,416800
2020-09-04,268.85,271.29,257.31,260.55,354700
2020-09-08,254.55,255.61,247.7,249.26,556700
2020-09-09,260.28,262.55,253.74,255.11,519900
2020-09-10,255,257.9,248.72,249.44,535600
2020-09-11,252.58,253.22,249.51,249.96,225900
2020-09-14,253.43,255.58,249.03,251.26,303000
2020-09-15,254.18,259.37,253.12,257.46,252000
2020-09-16,260.1,260.2,253.35,254.15,277300
2020-09-17,250.73,256.38,249.4,256.18,289700
2020-09-18,255.95,260.69,253.82,256.15,537900
2020-09-21,251.02,255.96,247.47,248.73,369600
2020-09-22,251,252.86,246.83,252.28,388600
2020-09-23,253.86,254.99,249.4,249.58,308500
2020-09-24,247.31,252.72,247.31,250.67,215700
2020-09-25,251.91,258.7,250.05,257.46,250600
2020-09-28,261.06,264.02,259.05,260.56,272700
2020-09-29,262.21,263.09,257.63,258.92,190500
2020-09-30,258.07,259.39,250.45,252.46,596400
2020-10-01,256.81,259.15,254.34,258.48,461200
2020-10-02,252.52,259.21,252.52,258.81,354500
2020-10-05,261.09,268.47,260.4,268.01,375200
2020-10-06,267.14,273.49,267.14,269.97,378300
2020-10-07,274.01,278.31,272.83,276.58,279100
2020-10-08,277.73,281.4,277.73,279.09,221300
2020-10-09,281.63,284.25,280.99,284,216200
2020-10-12,287.24,289.3,286.25,288.25,277900
2020-10-13,288.83,290.75,286.19,286.73,227300
2020-10-14,288.65,290.7,281.87,284.77,345600
2020-10-15,280.38,287.33,280.38,287.31,204300
2020-10-16,289.96,295.37,289.24,293,218800
2020-10-19,292.2,299.36,291.28,291.57,347600
2020-10-20,293.24,300,292.65,294.83,211100
2020-10-21,295.29,300.33,291.19,291.86,233100
2020-10-22,293.8,301.33,292.25,300.91,321700
2020-10-23,303,304.57,298.23,303.72,293500
2020-10-26,299.9,302.33,293.94,295.1,250800
2020-10-27,295.08,295.08,287.19,289.28,351600
2020-10-28,284.47,287.39,282.08,285.2,300200
2020-10-29,284.72,294.01,282.94,291.97,263000
2020-10-30,290,290.97,281.02,283.64,304300
2020-11-02,289.41,294.97,287.49,293.07,510700
2020-11-03,314.9,322.9,305.56,319.22,571700
2020-11-04,320.42,329.66,317.15,329.18,423400
2020-11-05,333.83,343.83,332.86,340.12,399000
2020-11-06,340.18,348.44,338.59,346.43,370300
2020-11-09,356.99,362.58,352.47,352.71,490000
2020-11-10,352.55,356.61,341.18,345.02,553100
2020-11-11,348.67,356.73,345.62,356.27,297100
2020-11-12,353.67,354.29,339.77,340.78,316700
2020-11-13,344.35,347.73,341.68,345.86,228900
2020-11-16,347.94,348.42,342.09,345.98,292700
2020-11-17,341.77,342.54,338.5,340.79,323300
2020-11-18,343.12,343.94,337.57,337.58,211400
2020-11-19,336.01,367.66,333.06,358.39,1189700
2020-11-20,363.42,363.42,354.16,354.99,694100
2020-11-23,367.1,368.79,358.55,362.69,590100
2020-11-24,368.83,378.82,362.36,373.47,566700
2020-11-25,375.69,379.91,369.29,372.73,345000
2020-11-27,377.02,381.21,375.12,377,206000
2020-11-30,378.48,380.22,369.01,378.42,603300
2020-12-01,381.63,382.71,370.83,372.17,403700
2020-12-02,370.71,373.01,364.57,367.21,385600
2020-12-03,368,374.71,366.02,372.37,263500
2020-12-04,376.02,380.95,375,378.47,255900
2020-12-07,378.28,379.85,372.51,373.83,321100
2020-12-08,373.63,377.25,371.27,375.84,207500
2020-12-09,377.9,382.96,374.4,376.87,215000
2020-12-10,372.81,378.94,369.29,375.14,292300
2020-12-11,372.78,378.6,370.34,377.56,162100
2020-12-14,379.84,386.74,379.84,383.46,309100
2020-12-15,388.07,388.92,380,383.45,311700
2020-12-16,382.11,383.04,375.23,377.41,474300
2020-12-17,378,380.13,372.21,375.43,819500
2020-12-18,377.43,378.5,369.2,373,900400
2020-12-21,366,376.73,363,375.91,505600
2020-12-22,377.5,387.28,375.66,379.96,474600
2020-12-23,382.61,384.6,377.44,379.74,191100
2020-12-24,382.28,382.28,371.4,376.89,138300
2020-12-28,380.47,384,375.74,382.59,251200
2020-12-29,384.69,385.41,376.4,378.04,185500
2020-12-30,380.69,385.76,379.35,383.75,166100
2020-12-31,383.72,385.49,380.46,384.33,176500
