Date,Open,High,Low,Close,Volume
2016-01-04,2038.2,2038.2,1989.6801,2012.66,4304880000
2016-01-05,2013.78,2021.9399,2004.17,2016.71,3706620000
2016-01-06,2011.71,2011.71,1979.05,1990.26,4336660000
2016-01-07,1985.3199,1985.3199,1938.83,1943.09,5076590000
2016-01-08,1945.97,1960.4,1918.46,1922.03,4664940000
2016-01-11,1926.12,1935.65,1901.1,1923.67,4607290000
2016-01-12,1927.83,1947.38,1914.35,1938.6801,4887260000
2016-01-13,1940.34,1950.33,1886.41,1890.28,5087030000
2016-01-14,1891.6801,1934.47,1878.9301,1921.84,5241110000
2016-01-15,1916.6801,1916.6801,1857.83,1880.33,5468460000
2016-01-19,1888.66,1901.4399,1864.6,1881.33,4928350000
2016-01-20,1876.1801,1876.1801,1812.29,1859.33,6416070000
2016-01-21,1861.46,1889.85,1848.98,1868.99,5078810000
2016-01-22,1877.4,1908.85,1877.4,1906.9,4901760000
2016-01-25,1906.28,1906.28,1875.97,1877.08,4401380000
2016-01-26,1878.79,1906.73,1878.79,1903.63,4357940000
2016-01-27,1902.52,1916.99,1872.7,1882.95,4754040000
2016-01-28,1885.22,1902.96,1873.65,1893.36,4693010000
2016-01-29,1894,1940.24,1894,1940.24,5497570000
2016-02-01,1936.9399,1947.2,1920.3,1939.38,4322530000
2016-02-02,1935.26,1935.26,1897.29,1903.03,4463190000
2016-02-03,1907.0699,1918.01,1872.23,1912.53,5172950000
2016-02-04,1911.67,1927.35,1900.52,1915.45,5193320000
2016-02-05,1913.0699,1913.0699,1872.65,1880.05,4929940000
2016-02-08,1873.25,1873.25,1828.46,1853.4399,5636460000
2016-02-09,1848.46,1868.25,1834.9399,1852.21,5183220000
2016-02-10,1857.1,1881.6,1850.3199,1851.86,4471170000
2016-02-11,1847,1847,1810.1,1829.08,5500800000
2016-02-12,1833.4,1864.78,1833.4,1864.78,4696920000
2016-02-16,1871.4399,1895.77,1871.4399,1895.58,4570670000
2016-02-17,1898.8,1930.6801,1898.8,1926.8199,5011540000
2016-02-18,1927.5699,1930,1915.09,1917.83,4436490000
2016-02-19,1916.74,1918.78,1902.17,1917.78,4142850000
2016-02-22,1924.4399,1946.7,1924.4399,1945.5,4054710000
2016-02-23,1942.38,1942.38,1919.4399,1921.27,3890650000
2016-02-24,1917.5601,1932.08,1891,1929.8,4317250000
2016-02-25,1931.87,1951.83,1925.41,1951.7,4118210000
2016-02-26,1954.95,1962.96,1945.78,1948.05,4348510000
2016-02-29,1947.13,1958.27,1931.8101,1932.23,4588180000
2016-03-01,1937.09,1978.35,1937.09,1978.35,4819750000
2016-03-02,1976.6,1986.51,1968.8,1986.45,4666610000
2016-03-03,1985.6,1993.6899,1977.37,1993.4,5081700000
2016-03-04,1994.01,2009.13,1986.77,1999.99,6049930000
2016-03-07,1996.11,2006.12,1989.38,2001.76,4968180000
2016-03-08,1996.88,1996.88,1977.4301,1979.26,4641650000
2016-03-09,1981.4399,1992.6899,1979.84,1989.26,4038120000
2016-03-10,1990.97,2005.08,1969.25,1989.5699,4376790000
2016-03-11,1994.71,2022.37,1994.71,2022.1899,4078620000
2016-03-14,2019.27,2024.5699,2012.05,2019.64,3487850000
2016-03-15,2015.27,2015.9399,2005.23,2015.9301,3560280000
2016-03-16,2014.24,2032.02,2010.04,2027.22,4057020000
2016-03-17,2026.9,2046.24,2022.16,2040.59,4530480000
2016-03-18,2041.16,2052.3601,2041.16,2049.5801,6503140000
2016-03-21,2047.88,2053.9099,2043.14,2051.6001,3376600000
2016-03-22,2048.6399,2056.6001,2040.5699,2049.8,3418460000
2016-03-23,2048.55,2048.55,2034.86,2036.71,3639510000
2016-03-24,2032.48,2036.04,2022.49,2035.9399,3407720000
2016-03-28,2037.89,2042.67,2031.96,2037.05,2809090000
2016-03-29,2035.75,2055.9099,2028.3101,2055.01,3822330000
2016-03-30,2058.27,2072.21,2058.27,2063.95,3590310000
2016-03-31,2063.77,2067.9199,2057.46,2059.74,3715280000
2016-04-01,2056.6201,2075.0701,2043.98,2072.78,3749990000
2016-04-04,2073.1899,2074.02,2062.5701,2066.1299,3485710000
2016-04-05,2062.5,2062.5,2042.5601,2045.17,4154920000
2016-04-06,2045.5601,2067.3301,2043.09,2066.6599,3750800000
2016-04-07,2063.01,2063.01,2033.8,2041.91,3801250000
2016-04-08,2045.54,2060.6299,2041.6899,2047.6,3359530000
2016-04-11,2050.23,2062.9299,2041.88,2041.99,3567840000
2016-04-12,2043.72,2065.05,2039.74,2061.72,4239740000
2016-04-13,2065.9199,2083.1799,2065.9199,2082.4199,4191830000
2016-04-14,2082.8899,2087.8401,2078.1299,2082.78,3765870000
2016-04-15,2083.1001,2083.22,2076.3101,2080.73,3701450000
