,contrib
EURUSD,0.009232274500335381
GBPUSD,0.00295166444192874
AUDUSD,-0.025800254320734337
NZDUSD,-0.027711928037612306
USDJPY,0.024656417202295965
USDCHF,-0.006561896724534555
USDCAD,-0.012078535941603463
EURJPY,-0.0021891008105931814
GBPJPY,0.0033640944703781546
AUDJPY,0.005659799536005186
NZDJPY,-0.008606737338575962
CADJPY,-0.00016156016616185407
CHFJPY,0.01059771742233382
EURGBP,-0.04145285128574238
EURCHF,-0.023616182734676104
EURAUD,-0.025192008856350357
EURCAD,-0.031442882777493936
GBPCHF,-0.03405595084764999
GBPAUD,0.005017757603852518
AUDNZD,0.0031550990698403798
AUDCAD,-0.02026012081666988
