direction,entry,exit,pnl,open_time,close_time,reason
LONG,65.13,64.96,-0.17,2002-08-23T09:42:00+00:00,2002-08-29T10:18:00+00:00,REV
SHORT,64.96,64.98,-0.02,2002-08-29T10:18:00+00:00,2002-09-09T03:42:00+00:00,REV
LONG,64.98,66.69,1.71,2002-09-09T03:42:00+00:00,2002-09-26T11:31:00+00:00,REV
SHORT,66.69,67.13,-0.44,2002-09-26T11:31:00+00:00,2002-10-02T16:48:00+00:00,REV
LONG,67.13,68.80,1.67,2002-10-02T16:48:00+00:00,2002-10-23T08:27:00+00:00,REV
SHORT,68.80,69.40,-0.60,2002-10-23T08:27:00+00:00,2002-10-28T06:59:00+00:00,REV
LONG,69.40,68.61,-0.79,2002-10-28T06:59:00+00:00,2002-10-29T17:10:00+00:00,REV
SHORT,68.61,68.67,-0.06,2002-10-29T17:10:00+00:00,2002-11-04T11:29:00+00:00,REV
LONG,68.67,68.28,-0.39,2002-11-04T11:29:00+00:00,2002-11-08T14:17:00+00:00,REV
SHORT,68.28,67.85,0.43,2002-11-08T14:17:00+00:00,2002-11-14T17:58:00+00:00,REV
LONG,67.85,68.17,0.32,2002-11-14T17:58:00+00:00,2002-11-25T21:00:00+00:00,REV
SHORT,68.17,68.72,-0.55,2002-11-25T21:00:00+00:00,2002-11-29T01:57:00+00:00,REV
LONG,68.72,69.39,0.67,2002-11-29T01:57:00+00:00,2002-12-06T16:04:00+00:00,REV
SHORT,69.39,69.71,-0.32,2002-12-06T16:04:00+00:00,2002-12-12T18:14:00+00:00,REV
LONG,69.71,69.01,-0.70,2002-12-12T18:14:00+00:00,2002-12-13T10:57:00+00:00,REV
SHORT,69.01,67.79,1.22,2002-12-13T10:57:00+00:00,2003-01-03T11:47:00+00:00,REV
LONG,67.79,69.34,1.55,2003-01-03T11:47:00+00:00,2003-01-22T12:24:00+00:00,REV
SHORT,69.34,70.11,-0.77,2003-01-22T12:24:00+00:00,2003-01-27T16:58:00+00:00,REV
LONG,70.11,69.62,-0.49,2003-01-27T16:58:00+00:00,2003-01-29T05:31:00+00:00,REV
SHORT,69.62,70.27,-0.65,2003-01-29T05:31:00+00:00,2003-01-30T16:54:00+00:00,REV
LONG,70.27,71.24,0.97,2003-01-30T16:54:00+00:00,2003-02-14T15:44:00+00:00,REV
SHORT,71.24,71.04,0.20,2003-02-14T15:44:00+00:00,2003-02-21T14:34:00+00:00,REV
LONG,71.04,72.00,0.96,2003-02-21T14:34:00+00:00,2003-03-07T15:05:00+00:00,REV
SHORT,72.00,71.06,0.94,2003-03-07T15:05:00+00:00,2003-03-19T18:51:00+00:00,REV
LONG,71.06,71.55,0.49,2003-03-19T18:51:00+00:00,2003-03-31T11:56:00+00:00,REV
SHORT,71.55,71.95,-0.40,2003-03-31T11:56:00+00:00,2003-04-04T03:09:00+00:00,REV
LONG,71.95,73.98,2.03,2003-04-04T03:09:00+00:00,2003-04-28T01:37:00+00:00,REV
SHORT,73.98,74.72,-0.74,2003-04-28T01:37:00+00:00,2003-04-30T01:00:00+00:00,REV
LONG,74.72,74.78,0.06,2003-04-30T01:00:00+00:00,2003-05-07T16:08:00+00:00,REV
SHORT,74.78,75.83,-1.05,2003-05-07T16:08:00+00:00,2003-05-09T10:43:00+00:00,REV
LONG,75.83,75.15,-0.68,2003-05-09T10:43:00+00:00,2003-05-14T09:30:00+00:00,REV
SHORT,75.15,76.10,-0.95,2003-05-14T09:30:00+00:00,2003-05-19T00:34:00+00:00,REV
LONG,76.10,76.66,0.56,2003-05-19T00:34:00+00:00,2003-05-28T15:44:00+00:00,REV
SHORT,76.66,77.37,-0.71,2003-05-28T15:44:00+00:00,2003-05-30T03:20:00+00:00,REV
LONG,77.37,77.72,0.35,2003-05-30T03:20:00+00:00,2003-06-06T15:51:00+00:00,REV
SHORT,77.72,78.34,-0.62,2003-06-06T15:51:00+00:00,2003-06-12T04:54:00+00:00,REV
LONG,78.34,78.90,0.56,2003-06-12T04:54:00+00:00,2003-06-23T04:35:00+00:00,REV
SHORT,78.90,79.33,-0.43,2003-06-23T04:35:00+00:00,2003-06-26T10:53:00+00:00,REV
LONG,79.33,80.30,0.97,2003-06-26T10:53:00+00:00,2003-07-04T14:40:00+00:00,REV
SHORT,80.30,77.82,2.48,2003-07-04T14:40:00+00:00,2003-07-17T15:07:00+00:00,REV
LONG,77.82,78.71,0.89,2003-07-17T15:07:00+00:00,2003-07-30T13:01:00+00:00,REV
SHORT,78.71,78.22,0.49,2003-07-30T13:01:00+00:00,2003-08-11T20:44:00+00:00,REV
LONG,78.22,78.01,-0.21,2003-08-11T20:44:00+00:00,2003-08-19T19:20:00+00:00,REV
SHORT,78.01,75.38,2.63,2003-08-19T19:20:00+00:00,2003-09-05T11:03:00+00:00,REV
LONG,75.38,76.70,1.32,2003-09-05T11:03:00+00:00,2003-09-17T08:04:00+00:00,REV
SHORT,76.70,76.22,0.48,2003-09-17T08:04:00+00:00,2003-10-02T01:48:00+00:00,REV
LONG,76.22,75.14,-1.08,2003-10-02T01:48:00+00:00,2003-10-09T18:24:00+00:00,REV
SHORT,75.14,75.71,-0.57,2003-10-09T18:24:00+00:00,2003-10-15T17:38:00+00:00,REV
LONG,75.71,76.36,0.65,2003-10-15T17:38:00+00:00,2003-10-27T00:49:00+00:00,REV
SHORT,76.36,76.61,-0.25,2003-10-27T00:49:00+00:00,2003-10-30T11:56:00+00:00,REV
LONG,76.61,77.46,0.85,2003-10-30T11:56:00+00:00,2003-11-17T18:28:00+00:00,REV
SHORT,77.46,78.50,-1.04,2003-11-17T18:28:00+00:00,2003-11-19T11:48:00+00:00,REV
LONG,78.50,79.29,0.79,2003-11-19T11:48:00+00:00,2003-12-05T17:33:00+00:00,REV
SHORT,79.29,79.78,-0.49,2003-12-05T17:33:00+00:00,2003-12-10T09:39:00+00:00,REV
LONG,79.78,79.75,-0.03,2003-12-10T09:39:00+00:00,2003-12-17T08:00:00+00:00,REV
SHORT,79.75,79.79,-0.04,2003-12-17T08:00:00+00:00,2003-12-30T05:29:00+00:00,REV
LONG,79.79,82.22,2.43,2003-12-30T05:29:00+00:00,2004-01-14T22:57:00+00:00,REV
SHORT,82.22,82.58,-0.36,2004-01-14T22:57:00+00:00,2004-01-20T18:27:00+00:00,REV
LONG,82.58,81.93,-0.65,2004-01-20T18:27:00+00:00,2004-01-26T09:25:00+00:00,REV
SHORT,81.93,82.70,-0.77,2004-01-26T09:25:00+00:00,2004-01-28T08:49:00+00:00,REV
LONG,82.70,81.54,-1.16,2004-01-28T08:49:00+00:00,2004-01-29T00:31:00+00:00,REV
SHORT,81.54,81.13,0.41,2004-01-29T00:31:00+00:00,2004-02-06T10:18:00+00:00,REV
LONG,81.13,83.49,2.36,2004-02-06T10:18:00+00:00,2004-02-23T21:20:00+00:00,REV
SHORT,83.49,84.62,-1.13,2004-02-23T21:20:00+00:00,2004-02-25T09:33:00+00:00,REV
LONG,84.62,83.61,-1.01,2004-02-25T09:33:00+00:00,2004-03-03T01:33:00+00:00,REV
SHORT,83.61,84.82,-1.21,2004-03-03T01:33:00+00:00,2004-03-05T18:25:00+00:00,REV
LONG,84.82,83.22,-1.60,2004-03-05T18:25:00+00:00,2004-03-10T15:32:00+00:00,REV
SHORT,83.22,79.25,3.97,2004-03-10T15:32:00+00:00,2004-03-30T03:30:00+00:00,REV
LONG,79.25,80.38,1.13,2004-03-30T03:30:00+00:00,2004-04-13T15:19:00+00:00,REV
SHORT,80.38,80.85,-0.47,2004-04-13T15:19:00+00:00,2004-04-19T05:06:00+00:00,REV
LONG,80.85,79.56,-1.29,2004-04-19T05:06:00+00:00,2004-04-20T12:00:00+00:00,REV
SHORT,79.56,80.60,-1.04,2004-04-20T12:00:00+00:00,2004-04-28T01:52:00+00:00,REV
LONG,80.60,79.32,-1.28,2004-04-28T01:52:00+00:00,2004-04-28T18:06:00+00:00,REV
SHORT,79.32,79.91,-0.59,2004-04-28T18:06:00+00:00,2004-05-04T09:18:00+00:00,REV
LONG,79.91,79.09,-0.82,2004-05-04T09:18:00+00:00,2004-05-07T10:17:00+00:00,REV
SHORT,79.09,79.51,-0.42,2004-05-07T10:17:00+00:00,2004-05-13T04:30:00+00:00,REV
LONG,79.51,78.46,-1.05,2004-05-13T04:30:00+00:00,2004-05-13T12:36:00+00:00,REV
SHORT,78.46,79.19,-0.73,2004-05-13T12:36:00+00:00,2004-05-19T09:33:00+00:00,REV
LONG,79.19,78.75,-0.44,2004-05-19T09:33:00+00:00,2004-05-28T18:26:00+00:00,REV
SHORT,78.75,76.61,2.14,2004-05-28T18:26:00+00:00,2004-06-14T14:04:00+00:00,REV
LONG,76.61,75.73,-0.88,2004-06-14T14:04:00+00:00,2004-06-15T09:04:00+00:00,REV
SHORT,75.73,75.32,0.41,2004-06-15T09:04:00+00:00,2004-06-25T02:46:00+00:00,REV
LONG,75.32,74.58,-0.74,2004-06-25T02:46:00+00:00,2004-06-30T04:10:00+00:00,REV
SHORT,74.58,75.99,-1.41,2004-06-30T04:10:00+00:00,2004-06-30T17:59:00+00:00,REV
LONG,75.99,78.96,2.97,2004-06-30T17:59:00+00:00,2004-07-21T00:59:00+00:00,REV
SHORT,78.96,78.55,0.41,2004-07-21T00:59:00+00:00,2004-07-30T15:42:00+00:00,REV
LONG,78.55,77.80,-0.75,2004-07-30T15:42:00+00:00,2004-08-03T02:01:00+00:00,REV
SHORT,77.80,78.56,-0.76,2004-08-03T02:01:00+00:00,2004-08-05T19:01:00+00:00,REV
LONG,78.56,78.87,0.31,2004-08-05T19:01:00+00:00,2004-08-17T17:16:00+00:00,REV
SHORT,78.87,76.46,2.41,2004-08-17T17:16:00+00:00,2004-09-10T16:49:00+00:00,REV
LONG,76.46,80.16,3.70,2004-09-10T16:49:00+00:00,2004-10-11T15:13:00+00:00,REV
SHORT,80.16,79.86,0.30,2004-10-11T15:13:00+00:00,2004-10-25T21:12:00+00:00,REV
LONG,79.86,79.26,-0.60,2004-10-25T21:12:00+00:00,2004-10-28T00:17:00+00:00,REV
SHORT,79.26,79.60,-0.34,2004-10-28T00:17:00+00:00,2004-11-03T07:41:00+00:00,REV
LONG,79.60,81.01,1.41,2004-11-03T07:41:00+00:00,2004-11-18T17:51:00+00:00,REV
SHORT,81.01,81.50,-0.49,2004-11-18T17:51:00+00:00,2004-11-23T17:53:00+00:00,REV
LONG,81.50,80.83,-0.67,2004-11-23T17:53:00+00:00,2004-11-29T02:35:00+00:00,REV
SHORT,80.83,79.55,1.28,2004-11-29T02:35:00+00:00,2004-12-13T10:47:00+00:00,REV
LONG,79.55,78.84,-0.71,2004-12-13T10:47:00+00:00,2004-12-16T16:52:00+00:00,REV
SHORT,78.84,79.81,-0.97,2004-12-16T16:52:00+00:00,2004-12-20T04:00:00+00:00,REV
LONG,79.81,79.28,-0.53,2004-12-20T04:00:00+00:00,2004-12-21T02:29:00+00:00,REV
SHORT,79.28,79.95,-0.67,2004-12-21T02:29:00+00:00,2004-12-21T12:01:00+00:00,REV
LONG,79.95,79.24,-0.71,2004-12-21T12:01:00+00:00,2004-12-24T02:59:00+00:00,REV
SHORT,79.24,79.89,-0.65,2004-12-24T02:59:00+00:00,2004-12-27T02:22:00+00:00,REV
LONG,79.89,80.03,0.14,2004-12-27T02:22:00+00:00,2004-12-31T04:55:00+00:00,REV
SHORT,80.03,80.44,-0.41,2004-12-31T04:55:00+00:00,2005-01-04T12:13:00+00:00,REV
LONG,80.44,79.66,-0.78,2005-01-04T12:13:00+00:00,2005-01-05T14:13:00+00:00,REV
SHORT,79.66,77.84,1.82,2005-01-05T14:13:00+00:00,2005-01-19T09:43:00+00:00,REV
LONG,77.84,80.02,2.18,2005-01-19T09:43:00+00:00,2005-02-01T12:59:00+00:00,REV
SHORT,80.02,80.53,-0.51,2005-02-01T12:59:00+00:00,2005-02-02T10:12:00+00:00,REV
LONG,80.53,82.60,2.07,2005-02-02T10:12:00+00:00,2005-02-14T03:59:00+00:00,REV
SHORT,82.60,83.01,-0.41,2005-02-14T03:59:00+00:00,2005-02-17T10:45:00+00:00,REV
LONG,83.01,83.13,0.12,2005-02-17T10:45:00+00:00,2005-02-22T03:02:00+00:00,REV
SHORT,83.13,82.99,0.14,2005-02-22T03:02:00+00:00,2005-02-28T07:38:00+00:00,REV
LONG,82.99,82.50,-0.49,2005-02-28T07:38:00+00:00,2005-03-01T02:31:00+00:00,REV
SHORT,82.50,83.01,-0.51,2005-03-01T02:31:00+00:00,2005-03-04T16:10:00+00:00,REV
LONG,83.01,82.62,-0.39,2005-03-04T16:10:00+00:00,2005-03-09T15:15:00+00:00,REV
SHORT,82.62,82.95,-0.33,2005-03-09T15:15:00+00:00,2005-03-17T15:22:00+00:00,REV
LONG,82.95,82.46,-0.49,2005-03-17T15:22:00+00:00,2005-03-22T03:55:00+00:00,REV
SHORT,82.46,83.32,-0.86,2005-03-22T03:55:00+00:00,2005-03-22T21:15:00+00:00,REV
LONG,83.32,82.41,-0.91,2005-03-22T21:15:00+00:00,2005-03-23T00:24:00+00:00,REV
SHORT,82.41,82.49,-0.08,2005-03-23T00:24:00+00:00,2005-03-28T08:24:00+00:00,REV
LONG,82.49,82.70,0.21,2005-03-28T08:24:00+00:00,2005-04-06T08:19:00+00:00,REV
SHORT,82.70,83.46,-0.76,2005-04-06T08:19:00+00:00,2005-04-07T09:23:00+00:00,REV
LONG,83.46,83.30,-0.16,2005-04-07T09:23:00+00:00,2005-04-14T09:38:00+00:00,REV
SHORT,83.30,83.03,0.27,2005-04-14T09:38:00+00:00,2005-04-21T02:52:00+00:00,REV
