direction,entry,exit,pnl,open_time,close_time,reason
LONG,7.808960,7.806300,-0.002660,2008-09-03T04:17:00+00:00,2008-09-08T04:01:00+00:00,REV
SHORT,7.806300,7.771660,0.034640,2008-09-08T04:01:00+00:00,2008-09-25T05:57:00+00:00,REV
LONG,7.771660,7.764300,-0.007360,2008-09-25T05:57:00+00:00,2008-09-29T14:22:00+00:00,REV
SHORT,7.764300,7.773660,-0.009360,2008-09-29T14:22:00+00:00,2008-10-02T22:57:00+00:00,REV
LONG,7.773660,7.767600,-0.006060,2008-10-02T22:57:00+00:00,2008-10-06T13:17:00+00:00,REV
SHORT,7.767600,7.773960,-0.006360,2008-10-06T13:17:00+00:00,2008-10-07T18:14:00+00:00,REV
LONG,7.773960,7.765300,-0.008660,2008-10-07T18:14:00+00:00,2008-10-08T12:42:00+00:00,REV
SHORT,7.765300,7.760360,0.004940,2008-10-08T12:42:00+00:00,2008-10-20T04:52:00+00:00,REV
LONG,7.760360,7.754400,-0.005960,2008-10-20T04:52:00+00:00,2008-10-20T20:03:00+00:00,REV
SHORT,7.754400,7.752260,0.002140,2008-10-20T20:03:00+00:00,2008-11-06T17:39:00+00:00,REV
LONG,7.752260,7.750500,-0.001760,2008-11-06T17:39:00+00:00,2008-11-10T01:17:00+00:00,REV
SHORT,7.750500,7.751360,-0.000860,2008-11-10T01:17:00+00:00,2008-11-12T03:18:00+00:00,REV
LONG,7.751360,7.750500,-0.000860,2008-11-12T03:18:00+00:00,2008-11-14T09:11:00+00:00,REV
SHORT,7.750500,7.752160,-0.001660,2008-11-14T09:11:00+00:00,2008-11-17T00:00:00+00:00,REV
LONG,7.752160,7.750500,-0.001660,2008-11-17T00:00:00+00:00,2008-11-17T11:20:00+00:00,REV
SHORT,7.750500,7.751460,-0.000960,2008-11-17T11:20:00+00:00,2008-11-21T00:17:00+00:00,REV
LONG,7.751460,7.752000,0.000540,2008-11-21T00:17:00+00:00,2008-11-27T18:16:00+00:00,REV
SHORT,7.752000,7.753160,-0.001160,2008-11-27T18:16:00+00:00,2008-12-03T18:00:00+00:00,REV
LONG,7.753160,7.751600,-0.001560,2008-12-03T18:00:00+00:00,2008-12-05T04:29:00+00:00,REV
SHORT,7.751600,7.751460,0.000140,2008-12-05T04:29:00+00:00,2008-12-15T00:00:00+00:00,REV
LONG,7.751460,7.750300,-0.001160,2008-12-15T00:00:00+00:00,2008-12-15T01:59:00+00:00,REV
SHORT,7.750300,7.751460,-0.001160,2008-12-15T01:59:00+00:00,2008-12-16T16:09:00+00:00,REV
LONG,7.751460,7.750300,-0.001160,2008-12-16T16:09:00+00:00,2008-12-17T10:57:00+00:00,REV
SHORT,7.750300,7.751460,-0.001160,2008-12-17T10:57:00+00:00,2008-12-19T18:03:00+00:00,REV
LONG,7.751460,7.750500,-0.000960,2008-12-19T18:03:00+00:00,2008-12-24T00:57:00+00:00,REV
SHORT,7.750500,7.751860,-0.001360,2008-12-24T00:57:00+00:00,2008-12-24T14:24:00+00:00,REV
LONG,7.751860,7.750500,-0.001360,2008-12-24T14:24:00+00:00,2008-12-29T09:42:00+00:00,REV
SHORT,7.750500,7.751760,-0.001260,2008-12-29T09:42:00+00:00,2009-01-02T01:59:00+00:00,REV
LONG,7.751760,7.754200,0.002440,2009-01-02T01:59:00+00:00,2009-01-13T00:10:00+00:00,REV
SHORT,7.754200,7.758960,-0.004760,2009-01-13T00:10:00+00:00,2009-01-15T02:21:00+00:00,REV
LONG,7.758960,7.758300,-0.000660,2009-01-15T02:21:00+00:00,2009-01-20T02:56:00+00:00,REV
SHORT,7.758300,7.760460,-0.002160,2009-01-20T02:56:00+00:00,2009-01-26T21:41:00+00:00,REV
LONG,7.760460,7.757400,-0.003060,2009-01-26T21:41:00+00:00,2009-01-29T05:19:00+00:00,REV
SHORT,7.757400,7.755560,0.001840,2009-01-29T05:19:00+00:00,2009-02-06T08:39:00+00:00,REV
LONG,7.755560,7.753500,-0.002060,2009-02-06T08:39:00+00:00,2009-02-06T20:24:00+00:00,REV
SHORT,7.753500,7.753160,0.000340,2009-02-06T20:24:00+00:00,2009-02-13T04:01:00+00:00,REV
LONG,7.753160,7.753900,0.000740,2009-02-13T04:01:00+00:00,2009-02-20T04:08:00+00:00,REV
SHORT,7.753900,7.754860,-0.000960,2009-02-20T04:08:00+00:00,2009-02-25T20:17:00+00:00,REV
LONG,7.754860,7.757200,0.002340,2009-02-25T20:17:00+00:00,2009-03-06T00:14:00+00:00,REV
SHORT,7.757200,7.750760,0.006440,2009-03-06T00:14:00+00:00,2009-03-26T07:18:00+00:00,REV
LONG,7.750760,7.750200,-0.000560,2009-03-26T07:18:00+00:00,2009-03-31T02:53:00+00:00,REV
SHORT,7.750200,7.751260,-0.001060,2009-03-31T02:53:00+00:00,2009-03-31T22:18:00+00:00,REV
LONG,7.751260,7.750100,-0.001160,2009-03-31T22:18:00+00:00,2009-04-01T20:12:00+00:00,REV
SHORT,7.750100,7.751460,-0.001360,2009-04-01T20:12:00+00:00,2009-04-03T12:38:00+00:00,REV
LONG,7.751460,7.750200,-0.001260,2009-04-03T12:38:00+00:00,2009-04-08T22:20:00+00:00,REV
SHORT,7.750200,7.751460,-0.001260,2009-04-08T22:20:00+00:00,2009-04-10T06:53:00+00:00,REV
LONG,7.751460,7.750300,-0.001160,2009-04-10T06:53:00+00:00,2009-04-14T17:45:00+00:00,REV
SHORT,7.750300,7.751160,-0.000860,2009-04-14T17:45:00+00:00,2009-04-17T11:24:00+00:00,REV
LONG,7.751160,7.750200,-0.000960,2009-04-17T11:24:00+00:00,2009-04-20T03:13:00+00:00,REV
SHORT,7.750200,7.750660,-0.000460,2009-04-20T03:13:00+00:00,2009-04-28T03:54:00+00:00,REV
LONG,7.750660,7.750100,-0.000560,2009-04-28T03:54:00+00:00,2009-04-28T08:39:00+00:00,REV
SHORT,7.750100,7.750960,-0.000860,2009-04-28T08:39:00+00:00,2009-05-04T00:00:00+00:00,REV
LONG,7.750960,7.750100,-0.000860,2009-05-04T00:00:00+00:00,2009-05-04T16:13:00+00:00,REV
SHORT,7.750100,7.751060,-0.000960,2009-05-04T16:13:00+00:00,2009-05-06T05:54:00+00:00,REV
LONG,7.751060,7.750100,-0.000960,2009-05-06T05:54:00+00:00,2009-05-08T17:28:00+00:00,REV
SHORT,7.750100,7.750960,-0.000860,2009-05-08T17:28:00+00:00,2009-05-13T10:47:00+00:00,REV
LONG,7.750960,7.750200,-0.000760,2009-05-13T10:47:00+00:00,2009-05-15T00:08:00+00:00,REV
SHORT,7.750200,7.751360,-0.001160,2009-05-15T00:08:00+00:00,2009-05-15T07:09:00+00:00,REV
LONG,7.751360,7.751700,0.000340,2009-05-15T07:09:00+00:00,2009-05-22T13:04:00+00:00,REV
SHORT,7.751700,7.752960,-0.001260,2009-05-22T13:04:00+00:00,2009-05-27T07:33:00+00:00,REV
LONG,7.752960,7.751800,-0.001160,2009-05-27T07:33:00+00:00,2009-05-29T05:54:00+00:00,REV
SHORT,7.751800,7.750860,0.000940,2009-05-29T05:54:00+00:00,2009-06-23T00:00:00+00:00,REV
LONG,7.750860,7.749800,-0.001060,2009-06-23T00:00:00+00:00,2009-06-24T11:22:00+00:00,REV
SHORT,7.749800,7.750360,-0.000560,2009-06-24T11:22:00+00:00,2009-07-01T00:17:00+00:00,REV
LONG,7.750360,7.749700,-0.000660,2009-07-01T00:17:00+00:00,2009-07-01T19:28:00+00:00,REV
SHORT,7.749700,7.750560,-0.000860,2009-07-01T19:28:00+00:00,2009-07-06T03:00:00+00:00,REV
LONG,7.750560,7.749800,-0.000760,2009-07-06T03:00:00+00:00,2009-07-08T00:06:00+00:00,REV
